EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0,0,INITIAL_BUFFERING,Starting,0
0,0,0,INITIAL_BUFFERING,Starting,0
0.000438928604126,0,1,INITIAL_BUFFERING,Writing,89283
0.000634908676147,0,1,PLAY,InitialBuffering-Play,0
0.0177130699158,0,0,PLAY,StillPlaying,89283
0.254997014999,0,1,PLAY,Writing,262537.0
1.6466550827,1,2,PLAY,Writing,791182.0
2.02566504478,2,1,PLAY,StillPlaying,262537.0
3.26667308807,3,2,PLAY,Writing,2484135.0
4.02581000328,4,1,PLAY,StillPlaying,791182.0
6.02583408356,6,0,PLAY,StillPlaying,2484135.0
6.5906560421,6,1,PLAY,Writing,4219897.0
8.02579307556,8,0,PLAY,StillPlaying,4219897.0
8.12265610695,8,1,PLAY,Writing,2484135.0
10.0260229111,10,0,PLAY,StillPlaying,2484135.0
12.0258641243,12,0,BUFFERING,Play-Buffering,0
12.0780110359,12,1,BUFFERING,Writing,4219897.0
12.0782129765,12,1,PLAY,Buffering-Play,0
12.0945289135,12,0,PLAY,StillPlaying,4219897.0
14.1034100056,14,0,BUFFERING,Play-Buffering,0
14.1443738937,14,1,BUFFERING,Writing,2484135.0
14.1445150375,14,1,PLAY,Buffering-Play,0
14.1696479321,14,0,PLAY,StillPlaying,2484135.0
15.3994591236,15,1,PLAY,Writing,4219897.0
16.1785829067,16,0,PLAY,StillPlaying,4219897.0
16.2994749546,16,1,PLAY,Writing,2484135.0
18.1788260937,18,0,PLAY,StillPlaying,2484135.0
18.2348101139,18,1,PLAY,Writing,4219897.0
20.1785480976,20,0,PLAY,StillPlaying,4219897.0
20.2466599941,20,1,PLAY,Writing,2484135.0
20.394742012,20,2,PLAY,Writing,4219897.0
20.5480160713,20,3,PLAY,Writing,4219897.0
20.6792230606,20,4,PLAY,Writing,4219897.0
20.8253059387,20,5,PLAY,Writing,4219897.0
20.9860889912,20,6,PLAY,Writing,4219897.0
21.2248721123,21,7,PLAY,Writing,4219897.0
21.7304270267,21,8,PLAY,Writing,4219897.0
21.9262809753,21,9,PLAY,Writing,4219897.0
22.0442900658,21,10,PLAY,Writing,4219897.0
22.1519811153,21,11,PLAY,Writing,4219897.0
22.1785280704,22,10,PLAY,StillPlaying,2484135.0
22.2529330254,22,11,PLAY,Writing,4219897.0
24.1790020466,24,10,PLAY,StillPlaying,4219897.0
26.1789329052,26,9,PLAY,StillPlaying,4219897.0
26.3506820202,26,10,PLAY,Writing,4219897.0
28.1788299084,28,9,PLAY,StillPlaying,4219897.0
28.6593110561,28,10,PLAY,Writing,4219897.0
29.0324010849,28,11,PLAY,Writing,4219897.0
30.1784789562,30,10,PLAY,StillPlaying,4219897.0
32.1786980629,32,9,PLAY,StillPlaying,4219897.0
34.1788220406,34,8,PLAY,StillPlaying,4219897.0
34.5466609001,34,9,PLAY,Writing,4219897.0
36.1785581112,36,8,PLAY,StillPlaying,4219897.0
38.1785321236,38,7,PLAY,StillPlaying,4219897.0
38.2544229031,38,8,PLAY,Writing,4219897.0
40.1785418987,40,7,PLAY,StillPlaying,4219897.0
40.2277879715,40,8,PLAY,Writing,4219897.0
42.1788349152,42,7,PLAY,StillPlaying,4219897.0
42.2158639431,42,8,PLAY,Writing,4219897.0
44.1785330772,44,7,PLAY,StillPlaying,4219897.0
44.2889280319,44,8,PLAY,Writing,4219897.0
46.1785480976,46,7,PLAY,StillPlaying,4219897.0
46.2807910442,46,8,PLAY,Writing,2484135.0
48.178565979,48,7,PLAY,StillPlaying,4219897.0
48.3470189571,48,8,PLAY,Writing,4219897.0
50.1785440445,50,7,PLAY,StillPlaying,4219897.0
50.3303039074,50,8,PLAY,Writing,2484135.0
51.4851748943,51,9,PLAY,Writing,791182.0
52.1785740852,52,8,PLAY,StillPlaying,4219897.0
52.3588709831,52,9,PLAY,Writing,2484135.0
54.1785349846,54,8,PLAY,StillPlaying,4219897.0
54.2693810463,54,9,PLAY,Writing,4219897.0
55.4470119476,55,10,PLAY,Writing,2484135.0
56.1785869598,56,9,PLAY,StillPlaying,4219897.0
56.3743629456,56,10,PLAY,Writing,4219897.0
58.1785480976,58,9,PLAY,StillPlaying,4219897.0
60.1785418987,60,8,PLAY,StillPlaying,4219897.0
60.2646679878,60,9,PLAY,Writing,4219897.0
62.1785440445,62,8,PLAY,StillPlaying,2484135.0
63.5186700821,63,9,PLAY,Writing,4219897.0
64.1785600185,64,8,PLAY,StillPlaying,4219897.0
64.2761449814,64,9,PLAY,Writing,4219897.0
66.1785480976,66,8,PLAY,StillPlaying,2484135.0
66.3513889313,66,9,PLAY,Writing,4219897.0
68.1785330772,68,8,PLAY,StillPlaying,791182.0
68.2996749878,68,9,PLAY,Writing,4219897.0
70.1785469055,70,8,PLAY,StillPlaying,2484135.0
70.2303240299,70,9,PLAY,Writing,2484135.0
72.1785349846,72,8,PLAY,StillPlaying,4219897.0
72.2358419895,72,9,PLAY,Writing,4219897.0
74.1785559654,74,8,PLAY,StillPlaying,2484135.0
74.2390260696,74,9,PLAY,Writing,2484135.0
76.1785459518,76,8,PLAY,StillPlaying,4219897.0
76.2156779766,76,9,PLAY,Writing,791182.0
78.1785600185,78,8,PLAY,StillPlaying,4219897.0
78.3373799324,78,9,PLAY,Writing,2484135.0
79.3789958954,79,10,PLAY,Writing,791182.0
80.1785609722,80,9,PLAY,StillPlaying,4219897.0
80.2746860981,80,10,PLAY,Writing,2484135.0
82.1674809456,81,11,PLAY,Writing,791182.0
82.1785271168,82,10,PLAY,StillPlaying,4219897.0
84.178812027,84,9,PLAY,StillPlaying,4219897.0
84.530657053,84,10,PLAY,Writing,2484135.0
86.015032053,85,11,PLAY,Writing,791182.0
86.1784629822,86,10,PLAY,StillPlaying,4219897.0
88.1785719395,88,9,PLAY,StillPlaying,2484135.0
88.4109940529,88,10,PLAY,Writing,2484135.0
89.2422571182,89,11,PLAY,Writing,791182.0
90.1784610748,90,10,PLAY,StillPlaying,4219897.0
92.1785840988,92,9,PLAY,StillPlaying,2484135.0
92.2332820892,92,10,PLAY,Writing,2484135.0
94.1785430908,94,9,PLAY,StillPlaying,791182.0
94.3434810638,94,10,PLAY,Writing,4219897.0
96.1785569191,96,9,PLAY,StillPlaying,2484135.0
96.3466711044,96,10,PLAY,Writing,2484135.0
98.1785669327,98,9,PLAY,StillPlaying,791182.0
100.178549051,100,8,PLAY,StillPlaying,2484135.0
100.387392998,100,9,PLAY,Writing,4219897.0
100.934401989,100,10,PLAY,Writing,2484135.0
101.947048903,101,11,PLAY,Writing,4219897.0
102.178458929,102,10,PLAY,StillPlaying,791182.0
104.178546906,104,9,PLAY,StillPlaying,2484135.0
104.299679995,104,10,PLAY,Writing,2484135.0
106.178544044,106,9,PLAY,StillPlaying,791182.0
106.23477006,106,10,PLAY,Writing,4219897.0
108.178544998,108,9,PLAY,StillPlaying,2484135.0
108.246701002,108,10,PLAY,Writing,4219897.0
110.178555012,110,9,PLAY,StillPlaying,791182.0
110.294667959,110,10,PLAY,Writing,4219897.0
111.452174902,111,11,PLAY,Writing,4219897.0
112.178462029,112,10,PLAY,StillPlaying,2484135.0
113.877500057,113,11,PLAY,Writing,2484135.0
114.178462029,114,10,PLAY,StillPlaying,4219897.0
116.178568125,116,9,PLAY,StillPlaying,2484135.0
118.178534031,118,8,PLAY,StillPlaying,4219897.0
118.590656996,118,9,PLAY,Writing,4219897.0
120.178558111,120,8,PLAY,StillPlaying,2484135.0
120.334661007,120,9,PLAY,Writing,2484135.0
122.178555012,122,8,PLAY,StillPlaying,4219897.0
123.366750956,123,9,PLAY,Writing,4219897.0
