EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0,0,INITIAL_BUFFERING,Starting,0
0,0,0,INITIAL_BUFFERING,Starting,0
0.00020694732666,0,1,INITIAL_BUFFERING,Writing,89283
0.00080394744873,0,1,PLAY,InitialBuffering-Play,0
0.00181698799133,0,0,PLAY,StillPlaying,89283
0.13764500618,0,1,PLAY,Writing,262537.0
1.80019783974,1,2,PLAY,Writing,791182.0
2.00315594673,2,1,PLAY,StillPlaying,262537.0
4.00302100182,4,0,PLAY,StillPlaying,791182.0
5.27461886406,5,1,PLAY,Writing,2484135.0
5.37041091919,5,2,PLAY,Writing,791182.0
6.00301885605,6,1,PLAY,StillPlaying,2484135.0
8.00272989273,8,0,PLAY,StillPlaying,791182.0
8.7783498764,8,1,PLAY,Writing,2484135.0
10.0029978752,10,0,PLAY,StillPlaying,2484135.0
11.6264369488,11,1,PLAY,Writing,791182.0
12.0027580261,12,0,PLAY,StillPlaying,791182.0
14.0031080246,14,0,BUFFERING,Play-Buffering,0
14.0163679123,14,1,BUFFERING,Writing,2484135.0
14.0166749954,14,1,PLAY,Buffering-Play,0
14.0173418522,14,0,PLAY,StillPlaying,2484135.0
15.070720911,15,1,PLAY,Writing,791182.0
16.0174889565,16,0,PLAY,StillPlaying,791182.0
18.0178210735,18,0,BUFFERING,Play-Buffering,0
18.0242199898,18,1,BUFFERING,Writing,2484135.0
18.0245449543,18,1,PLAY,Buffering-Play,0
18.0252640247,18,0,PLAY,StillPlaying,2484135.0
20.0254559517,20,0,BUFFERING,Play-Buffering,0
20.0278120041,20,1,BUFFERING,Writing,791182.0
20.0281028748,20,1,PLAY,Buffering-Play,0
20.0286018848,20,0,PLAY,StillPlaying,791182.0
22.0294759274,22,0,BUFFERING,Play-Buffering,0
22.0411529541,22,1,BUFFERING,Writing,2484135.0
22.0414700508,22,1,PLAY,Buffering-Play,0
22.0421860218,22,0,PLAY,StillPlaying,2484135.0
22.2208609581,22,1,PLAY,Writing,791182.0
22.2810719013,22,2,PLAY,Writing,2484135.0
22.3190040588,22,3,PLAY,Writing,791182.0
22.3451600075,22,4,PLAY,Writing,2484135.0
22.398239851,22,5,PLAY,Writing,4219897.0
22.4513299465,22,6,PLAY,Writing,4219897.0
22.4961259365,22,7,PLAY,Writing,4219897.0
22.5531280041,22,8,PLAY,Writing,4219897.0
23.6607239246,23,9,PLAY,Writing,4219897.0
23.7409360409,23,10,PLAY,Writing,4219897.0
23.7744150162,23,11,PLAY,Writing,4219897.0
24.0422580242,24,10,PLAY,StillPlaying,791182.0
26.0424809456,26,9,PLAY,StillPlaying,2484135.0
28.0425329208,28,8,PLAY,StillPlaying,791182.0
30.042593956,30,7,PLAY,StillPlaying,2484135.0
32.0425269604,32,6,PLAY,StillPlaying,4219897.0
34.0425479412,34,5,PLAY,StillPlaying,4219897.0
36.0422739983,36,4,PLAY,StillPlaying,4219897.0
38.0425448418,38,3,PLAY,StillPlaying,4219897.0
38.926347971,38,4,PLAY,Writing,4219897.0
40.0422968864,40,3,PLAY,StillPlaying,4219897.0
42.0425269604,42,2,PLAY,StillPlaying,4219897.0
44.0422730446,44,1,PLAY,StillPlaying,4219897.0
45.238822937,45,2,PLAY,Writing,2484135.0
46.0422940254,46,1,PLAY,StillPlaying,4219897.0
48.0422730446,48,0,PLAY,StillPlaying,2484135.0
48.1583409309,48,1,PLAY,Writing,791182.0
50.0422840118,50,0,PLAY,StillPlaying,791182.0
52.0426318645,52,0,BUFFERING,Play-Buffering,0
52.052339077,52,1,BUFFERING,Writing,2484135.0
52.0526459217,52,1,PLAY,Buffering-Play,0
52.0532288551,52,0,PLAY,StillPlaying,2484135.0
54.0536799431,54,0,BUFFERING,Play-Buffering,0
54.0591828823,54,1,BUFFERING,Writing,791182.0
54.0595588684,54,1,PLAY,Buffering-Play,0
54.060270071,54,0,PLAY,StillPlaying,791182.0
55.0561728477,54,1,PLAY,Writing,262537.0
56.0607950687,56,0,PLAY,StillPlaying,262537.0
58.0611698627,58,0,BUFFERING,Play-Buffering,0
58.0628900528,58,1,BUFFERING,Writing,791182.0
58.0632200241,58,1,PLAY,Buffering-Play,0
58.0640919209,58,0,PLAY,StillPlaying,791182.0
59.0548448563,58,1,PLAY,Writing,262537.0
60.0643110275,60,0,PLAY,StillPlaying,262537.0
61.7383470535,61,1,PLAY,Writing,791182.0
62.0644769669,62,0,PLAY,StillPlaying,791182.0
63.2700438499,63,1,PLAY,Writing,262537.0
64.0642969608,64,0,PLAY,StillPlaying,262537.0
65.3463468552,65,1,PLAY,Writing,791182.0
66.0643508434,66,0,PLAY,StillPlaying,791182.0
67.1503779888,67,1,PLAY,Writing,262537.0
68.0643260479,68,0,PLAY,StillPlaying,262537.0
70.0644609928,70,0,BUFFERING,Play-Buffering,0
70.0675928593,70,1,BUFFERING,Writing,791182.0
70.0678429604,70,1,PLAY,Buffering-Play,0
70.068655014,70,0,PLAY,StillPlaying,791182.0
70.9743509293,70,1,PLAY,Writing,262537.0
72.0692429543,72,0,PLAY,StillPlaying,262537.0
73.0624768734,72,1,PLAY,Writing,791182.0
73.7986929417,73,2,PLAY,Writing,262537.0
74.0693659782,74,1,PLAY,StillPlaying,791182.0
76.0692269802,76,0,PLAY,StillPlaying,262537.0
76.098348856,76,1,PLAY,Writing,791182.0
76.588424921,76,2,PLAY,Writing,262537.0
78.0464348793,77,3,PLAY,Writing,791182.0
78.0692930222,78,2,PLAY,StillPlaying,791182.0
80.0692260265,80,1,PLAY,StillPlaying,262537.0
82.0692279339,82,0,PLAY,StillPlaying,791182.0
82.9275820255,82,1,PLAY,Writing,2484135.0
84.0692470074,84,0,PLAY,StillPlaying,2484135.0
84.3666219711,84,1,PLAY,Writing,791182.0
86.0692410469,86,0,PLAY,StillPlaying,791182.0
88.0693230629,88,0,BUFFERING,Play-Buffering,0
88.0762379169,88,1,BUFFERING,Writing,2484135.0
88.0765368938,88,1,PLAY,Buffering-Play,0
88.0773210526,88,0,PLAY,StillPlaying,2484135.0
90.077903986,90,0,BUFFERING,Play-Buffering,0
90.0798130035,90,1,BUFFERING,Writing,791182.0
90.0800659657,90,1,PLAY,Buffering-Play,0
90.0805878639,90,0,PLAY,StillPlaying,791182.0
92.0814070702,92,0,BUFFERING,Play-Buffering,0
92.0908689499,92,1,BUFFERING,Writing,2484135.0
92.0911889076,92,1,PLAY,Buffering-Play,0
92.0921289921,92,0,PLAY,StillPlaying,2484135.0
94.0924329758,94,0,BUFFERING,Play-Buffering,0
94.0952279568,94,1,BUFFERING,Writing,791182.0
94.0955350399,94,1,PLAY,Buffering-Play,0
94.0962469578,94,0,PLAY,StillPlaying,791182.0
96.0966060162,96,0,BUFFERING,Play-Buffering,0
96.1015388966,96,1,BUFFERING,Writing,2484135.0
96.1018328667,96,1,PLAY,Buffering-Play,0
96.1023540497,96,0,PLAY,StillPlaying,2484135.0
97.6994850636,97,1,PLAY,Writing,791182.0
98.0463418961,97,2,PLAY,Writing,2484135.0
98.1030359268,98,1,PLAY,StillPlaying,791182.0
100.102936029,100,0,PLAY,StillPlaying,2484135.0
101.226336002,101,1,PLAY,Writing,791182.0
102.10293889,102,0,PLAY,StillPlaying,791182.0
104.103008986,104,0,BUFFERING,Play-Buffering,0
104.10590601,104,1,BUFFERING,Writing,2484135.0
104.106204033,104,1,PLAY,Buffering-Play,0
104.106713057,104,0,PLAY,StillPlaying,2484135.0
105.431509018,105,1,PLAY,Writing,791182.0
106.107218981,106,0,PLAY,StillPlaying,791182.0
106.771062851,106,1,PLAY,Writing,2484135.0
107.317471981,107,2,PLAY,Writing,791182.0
