EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0,0,INITIAL_BUFFERING,Starting,0
0,0,0,INITIAL_BUFFERING,Starting,0
0.000297069549561,0,1,INITIAL_BUFFERING,Writing,89283
0.000577926635742,0,1,PLAY,InitialBuffering-Play,0
0.0203158855438,0,0,PLAY,StillPlaying,89283
0.0388679504395,0,1,PLAY,Writing,89283
0.987637996674,0,2,PLAY,Writing,262537
2.02491593361,2,1,PLAY,StillPlaying,89283
2.36763000488,2,2,PLAY,Writing,262537
4.02516388893,4,1,PLAY,StillPlaying,262537
4.06002497673,4,2,PLAY,Writing,262537
5.03200006485,5,3,PLAY,Writing,262537
6.02511787415,6,2,PLAY,StillPlaying,262537
6.1479549408,6,3,PLAY,Writing,262537
6.87244009972,6,4,PLAY,Writing,262537
7.49924397469,7,5,PLAY,Writing,262537
7.80397295952,7,6,PLAY,Writing,262537
8.02489590645,8,5,PLAY,StillPlaying,262537
8.1276409626,8,6,PLAY,Writing,262537
9.18370199203,9,7,PLAY,Writing,262537
9.52318191528,9,8,PLAY,Writing,262537
9.71564388275,9,9,PLAY,Writing,262537
10.0248439312,10,8,PLAY,StillPlaying,262537
10.1076340675,10,9,PLAY,Writing,262537
11.0526659489,11,10,PLAY,Writing,262537
11.9556410313,11,11,PLAY,Writing,262537
12.0248160362,12,10,PLAY,StillPlaying,262537
12.7729589939,12,11,PLAY,Writing,262537
13.3916668892,13,12,PLAY,Writing,262537
14.0248088837,14,11,PLAY,StillPlaying,262537
14.163640976,14,12,PLAY,Writing,262537
15.2836410999,15,13,PLAY,Writing,262537
16.024846077,16,12,PLAY,StillPlaying,262537
16.0837860107,16,13,PLAY,Writing,262537
16.5382459164,16,14,PLAY,Writing,262537
16.6965000629,16,15,PLAY,Writing,262537
17.5307629108,17,16,PLAY,Writing,262537
17.7218248844,17,17,PLAY,Writing,262537
18.0248200893,18,16,PLAY,StillPlaying,262537
18.0840010643,18,17,PLAY,Writing,262537
19.4076368809,19,18,PLAY,Writing,262537
20.0251100063,20,17,PLAY,StillPlaying,262537
20.0867300034,20,18,PLAY,Writing,262537
20.7887809277,20,19,PLAY,Writing,262537
21.6132659912,21,20,PLAY,Writing,262537
22.0248339176,22,19,PLAY,StillPlaying,262537
22.2996480465,22,20,PLAY,Writing,791182
24.0248250961,24,19,PLAY,StillPlaying,262537
24.5036370754,24,20,PLAY,Writing,791182
26.0251441002,26,19,PLAY,StillPlaying,262537
26.0577349663,26,20,PLAY,Writing,791182
28.0249290466,28,19,PLAY,StillPlaying,262537
28.0250000954,28,20,PLAY,Writing,791182
30.0248579979,30,19,PLAY,StillPlaying,262537
30.2279679775,30,20,PLAY,Writing,791182
32.0251441002,32,19,PLAY,StillPlaying,262537
32.0571379662,32,20,PLAY,Writing,791182
33.2569088936,33,21,PLAY,Writing,791182
34.024846077,34,20,PLAY,StillPlaying,262537
34.0685710907,34,21,PLAY,Writing,791182
36.0248339176,36,20,PLAY,StillPlaying,262537
36.0560069084,36,21,PLAY,Writing,791182
38.0251309872,38,20,PLAY,StillPlaying,262537
38.0720050335,38,21,PLAY,Writing,791182
40.0247600079,40,20,PLAY,StillPlaying,262537
40.0281779766,40,21,PLAY,Writing,791182
42.0248188972,42,20,PLAY,StillPlaying,262537
42.11895895,42,21,PLAY,Writing,791182
44.0248498917,44,20,PLAY,StillPlaying,262537
44.1756379604,44,21,PLAY,Writing,791182
46.0248348713,46,20,PLAY,StillPlaying,262537
46.1479430199,46,21,PLAY,Writing,791182
47.5239949226,47,22,PLAY,Writing,791182
48.0248758793,48,21,PLAY,StillPlaying,262537
48.0719618797,48,22,PLAY,Writing,791182
49.1931068897,49,23,PLAY,Writing,791182
50.0248510838,50,22,PLAY,StillPlaying,262537
50.1356320381,50,23,PLAY,Writing,791182
52.0250198841,52,22,PLAY,StillPlaying,262537
52.0386331081,52,23,PLAY,Writing,791182
52.9637050629,52,24,PLAY,Writing,791182
54.0250968933,54,23,PLAY,StillPlaying,262537
54.1276390553,54,24,PLAY,Writing,791182
56.0253260136,56,23,PLAY,StillPlaying,262537
56.2716329098,56,24,PLAY,Writing,791182
58.0248510838,58,23,PLAY,StillPlaying,262537
58.1368439198,58,24,PLAY,Writing,791182
60.024684906,60,25,PLAY,Writing,791182
60.0248858929,60,24,PLAY,StillPlaying,262537
61.3085119724,61,25,PLAY,Writing,791182
62.0248410702,62,24,PLAY,StillPlaying,791182
62.0527069569,62,25,PLAY,Writing,791182
62.4482889175,62,26,PLAY,Writing,791182
63.5239760876,63,27,PLAY,Writing,791182
64.0248479843,64,26,PLAY,StillPlaying,791182
64.0640380383,64,27,PLAY,Writing,791182
64.7762699127,64,28,PLAY,Writing,791182
66.0248498917,66,27,PLAY,StillPlaying,791182
66.1239900589,66,28,PLAY,Writing,791182
67.5050859451,67,29,PLAY,Writing,791182
67.8383309841,67,30,PLAY,Writing,791182
68.0248470306,68,29,PLAY,StillPlaying,791182
68.0683178902,68,30,PLAY,Writing,791182
69.0817708969,69,31,PLAY,Writing,791182
70.0248420238,70,30,PLAY,StillPlaying,791182
70.0727899075,70,31,PLAY,Writing,791182
70.4324948788,70,32,PLAY,Writing,791182
72.0248389244,72,31,PLAY,StillPlaying,791182
72.2556350231,72,32,PLAY,Writing,2484135
74.0251500607,74,31,PLAY,StillPlaying,791182
74.0820128918,74,32,PLAY,Writing,2484135
76.0248539448,76,31,PLAY,StillPlaying,791182
78.0248520374,78,30,PLAY,StillPlaying,791182
78.1196351051,78,31,PLAY,Writing,2484135
79.0642209053,79,32,PLAY,Writing,791182
80.0251350403,80,31,PLAY,StillPlaying,791182
80.1079950333,80,32,PLAY,Writing,2484135
82.0248680115,82,31,PLAY,StillPlaying,791182
82.0661399364,82,32,PLAY,Writing,2484135
84.0248360634,84,31,PLAY,StillPlaying,791182
84.1036570072,84,32,PLAY,Writing,2484135
86.0248439312,86,31,PLAY,StillPlaying,791182
86.0836679935,86,32,PLAY,Writing,2484135
88.0251278877,88,31,PLAY,StillPlaying,791182
88.0640120506,88,32,PLAY,Writing,2484135
88.2922868729,88,33,PLAY,Writing,2484135
90.0247659683,90,32,PLAY,StillPlaying,791182
90.1032068729,90,33,PLAY,Writing,2484135
92.0248188972,92,32,PLAY,StillPlaying,791182
92.0640940666,92,33,PLAY,Writing,2484135
94.0248339176,94,32,PLAY,StillPlaying,791182
94.08811903,94,33,PLAY,Writing,2484135
94.3534519672,94,34,PLAY,Writing,2484135
96.0251150131,96,33,PLAY,StillPlaying,791182
96.0767140388,96,34,PLAY,Writing,2484135
97.355932951,97,35,PLAY,Writing,2484135
98.0252459049,98,34,PLAY,StillPlaying,791182
98.0729899406,98,35,PLAY,Writing,2484135
100.024816036,100,34,PLAY,StillPlaying,791182
100.140534878,100,35,PLAY,Writing,2484135
102.024849892,102,34,PLAY,StillPlaying,791182
102.107842922,102,35,PLAY,Writing,2484135
104.024868011,104,34,PLAY,StillPlaying,791182
104.127640963,104,35,PLAY,Writing,2484135
106.024837017,106,34,PLAY,StillPlaying,791182
106.147986889,106,35,PLAY,Writing,2484135
108.024851084,108,34,PLAY,StillPlaying,791182
108.081948996,108,35,PLAY,Writing,2484135
110.024847984,110,34,PLAY,StillPlaying,791182
110.199713945,110,35,PLAY,Writing,2484135
112.02481699,112,34,PLAY,StillPlaying,791182
112.076567888,112,35,PLAY,Writing,2484135
114.024844885,114,34,PLAY,StillPlaying,791182
114.123986006,114,35,PLAY,Writing,2484135
116.024832964,116,34,PLAY,StillPlaying,791182
116.067692995,116,35,PLAY,Writing,2484135
