EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0,0,INITIAL_BUFFERING,Starting,0
0,0,0,INITIAL_BUFFERING,Starting,0
0.000599145889282,0,1,INITIAL_BUFFERING,Writing,89283
0.00525403022766,0,1,PLAY,InitialBuffering-Play,0
0.00650715827942,0,0,PLAY,StillPlaying,89283
0.967547178268,0,1,PLAY,Writing,89283
1.86669802666,1,2,PLAY,Writing,89283
2.00745010376,2,1,PLAY,StillPlaying,89283
2.84053015709,2,2,PLAY,Writing,89283
3.76152420044,3,3,PLAY,Writing,89283
4.00741410255,4,2,PLAY,StillPlaying,89283
4.85059118271,4,3,PLAY,Writing,89283
5.94187116623,5,4,PLAY,Writing,89283
6.00741910934,6,3,PLAY,StillPlaying,89283
6.85881209373,6,4,PLAY,Writing,89283
7.79876613617,7,5,PLAY,Writing,89283
8.00779914856,8,4,PLAY,StillPlaying,89283
8.82582116127,8,5,PLAY,Writing,89283
9.79734110832,9,6,PLAY,Writing,89283
10.0074372292,10,5,PLAY,StillPlaying,89283
10.8093791008,10,6,PLAY,Writing,89283
11.6634452343,11,7,PLAY,Writing,89283
12.0074191093,12,6,PLAY,StillPlaying,89283
12.5787291527,12,7,PLAY,Writing,89283
13.6482961178,13,8,PLAY,Writing,89283
14.00745821,14,7,PLAY,StillPlaying,89283
14.602492094,14,8,PLAY,Writing,89283
15.6694130898,15,9,PLAY,Writing,89283
16.0479030609,16,8,PLAY,StillPlaying,89283
16.7178602219,16,9,PLAY,Writing,89283
17.6432771683,17,10,PLAY,Writing,89283
18.0074541569,18,9,PLAY,StillPlaying,89283
20.0074260235,20,8,PLAY,StillPlaying,89283
20.7627952099,20,9,PLAY,Writing,262537
21.823759079,21,10,PLAY,Writing,89283
22.0074241161,22,9,PLAY,StillPlaying,89283
22.7685480118,22,10,PLAY,Writing,89283
23.5905630589,23,11,PLAY,Writing,89283
24.0074150562,24,10,PLAY,StillPlaying,89283
24.7702581882,24,11,PLAY,Writing,89283
26.0074241161,26,10,PLAY,StillPlaying,89283
28.0074651241,28,9,PLAY,StillPlaying,89283
30.0074241161,30,8,PLAY,StillPlaying,89283
32.0074210167,32,7,PLAY,StillPlaying,89283
34.0074892044,34,6,PLAY,StillPlaying,89283
34.7344801426,34,7,PLAY,Writing,89283
35.6596291065,35,8,PLAY,Writing,89283
36.0074360371,36,7,PLAY,StillPlaying,89283
36.7745079994,36,8,PLAY,Writing,89283
37.6559431553,37,9,PLAY,Writing,89283
38.0074260235,38,8,PLAY,StillPlaying,262537
38.6186611652,38,9,PLAY,Writing,89283
39.5722310543,39,10,PLAY,Writing,89283
40.0074310303,40,9,PLAY,StillPlaying,89283
40.5235130787,40,10,PLAY,Writing,89283
41.4570410252,41,11,PLAY,Writing,89283
42.0077841282,42,10,PLAY,StillPlaying,89283
42.4232461452,42,11,PLAY,Writing,89283
44.0469150543,44,10,PLAY,StillPlaying,89283
45.8069281578,45,11,PLAY,Writing,262537
46.0074310303,46,10,PLAY,StillPlaying,89283
48.0074410439,48,9,PLAY,StillPlaying,89283
49.8574302197,49,10,PLAY,Writing,89283
50.0074181557,50,9,PLAY,StillPlaying,89283
50.9331820011,50,10,PLAY,Writing,89283
51.8873040676,51,11,PLAY,Writing,89283
52.0074341297,52,10,PLAY,StillPlaying,89283
52.6478230953,52,11,PLAY,Writing,89283
53.8385720253,53,12,PLAY,Writing,89283
54.0077781677,54,11,PLAY,StillPlaying,89283
56.0074751377,56,10,PLAY,StillPlaying,89283
58.0074372292,58,9,PLAY,StillPlaying,89283
60.0074501038,60,8,PLAY,StillPlaying,89283
62.0074372292,62,7,PLAY,StillPlaying,89283
64.0075461864,64,6,PLAY,StillPlaying,89283
66.0074381828,66,5,PLAY,StillPlaying,262537
68.0074520111,68,4,PLAY,StillPlaying,89283
70.0074360371,70,3,PLAY,StillPlaying,89283
72.0074300766,72,2,PLAY,StillPlaying,89283
74.0074751377,74,1,PLAY,StillPlaying,89283
76.007417202,76,0,PLAY,StillPlaying,89283
78.0077240467,78,0,BUFFERING,Play-Buffering,0
156.625274181,78,1,BUFFERING,Writing,4219897
156.627226114,78,1,PLAY,Buffering-Play,0
156.627772093,78,0,PLAY,StillPlaying,4219897
157.801073074,79,1,PLAY,Writing,89283
158.628492117,80,0,PLAY,StillPlaying,89283
160.628406048,82,0,BUFFERING,Play-Buffering,0
162.603405237,82,1,BUFFERING,Writing,89283
162.605218172,82,1,PLAY,Buffering-Play,0
162.605741024,82,0,PLAY,StillPlaying,89283
163.680438042,83,1,PLAY,Writing,89283
164.551619053,83,2,PLAY,Writing,89283
164.606475115,84,1,PLAY,StillPlaying,89283
165.68664217,85,2,PLAY,Writing,89283
166.605987072,86,1,PLAY,StillPlaying,89283
166.609995127,86,2,PLAY,Writing,89283
167.359062195,86,3,PLAY,Writing,89283
168.390397072,87,4,PLAY,Writing,89283
168.606008053,88,3,PLAY,StillPlaying,89283
170.606465101,90,2,PLAY,StillPlaying,89283
171.963509083,91,3,PLAY,Writing,89283
172.605991125,92,2,PLAY,StillPlaying,89283
173.04699111,92,3,PLAY,Writing,89283
173.988333225,93,4,PLAY,Writing,89283
174.605999231,94,3,PLAY,StillPlaying,89283
174.893374205,94,4,PLAY,Writing,89283
175.83428216,95,5,PLAY,Writing,89283
176.605986118,96,4,PLAY,StillPlaying,89283
176.766367197,96,5,PLAY,Writing,89283
177.831061125,97,6,PLAY,Writing,89283
178.606377125,98,5,PLAY,StillPlaying,89283
178.785256147,98,6,PLAY,Writing,89283
179.881713152,99,7,PLAY,Writing,89283
180.605986118,100,6,PLAY,StillPlaying,89283
180.904649019,100,7,PLAY,Writing,89283
181.839499235,101,8,PLAY,Writing,89283
182.606382132,102,7,PLAY,StillPlaying,89283
182.964401007,102,8,PLAY,Writing,89283
183.976295233,103,9,PLAY,Writing,89283
184.606001139,104,8,PLAY,StillPlaying,89283
184.914834023,104,9,PLAY,Writing,89283
185.965930223,105,10,PLAY,Writing,89283
186.606010199,106,9,PLAY,StillPlaying,89283
188.606469154,108,8,PLAY,StillPlaying,89283
190.537531137,109,9,PLAY,Writing,89283
190.605988026,110,8,PLAY,StillPlaying,89283
191.475125074,110,9,PLAY,Writing,89283
192.28008604,111,10,PLAY,Writing,89283
192.606011152,112,9,PLAY,StillPlaying,89283
193.286016226,112,10,PLAY,Writing,89283
194.253990173,113,11,PLAY,Writing,89283
194.606033087,114,10,PLAY,StillPlaying,89283
195.115231037,114,11,PLAY,Writing,89283
196.258971214,115,12,PLAY,Writing,89283
196.60601902,116,11,PLAY,StillPlaying,89283
198.606437206,118,10,PLAY,StillPlaying,89283
200.60640502,120,9,PLAY,StillPlaying,89283
202.605987072,122,8,PLAY,StillPlaying,89283
204.606014013,124,7,PLAY,StillPlaying,89283
206.606016159,126,6,PLAY,StillPlaying,89283
208.605976105,128,5,PLAY,StillPlaying,89283
210.633439064,130,4,PLAY,StillPlaying,89283
212.606041193,132,3,PLAY,StillPlaying,89283
214.606004,134,2,PLAY,StillPlaying,89283
216.606010199,136,1,PLAY,StillPlaying,89283
218.606381178,138,0,PLAY,StillPlaying,89283
220.60631609,140,0,BUFFERING,Play-Buffering,0
247.049861193,140,1,BUFFERING,Writing,4219897
247.054152012,140,1,PLAY,Buffering-Play,0
247.055642128,140,0,PLAY,StillPlaying,4219897
248.319849014,141,1,PLAY,Writing,89283
249.056436062,142,0,PLAY,StillPlaying,89283
249.377197027,142,1,PLAY,Writing,89283
250.327082157,143,2,PLAY,Writing,89283
251.056518078,144,1,PLAY,StillPlaying,89283
251.278282166,144,2,PLAY,Writing,89283
