EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0,0,INITIAL_BUFFERING,Starting,0
0,0,0,INITIAL_BUFFERING,Starting,0
0.000396966934204,0,1,INITIAL_BUFFERING,Writing,89283
0.00377297401428,0,1,PLAY,InitialBuffering-Play,0
0.00517892837524,0,0,PLAY,StillPlaying,89283
1.0124540329,1,1,PLAY,Writing,262537.0
2.00847291946,2,0,PLAY,StillPlaying,262537.0
3.27204799652,3,1,PLAY,Writing,791182.0
4.00844693184,4,0,PLAY,StillPlaying,791182.0
5.57521891594,5,1,PLAY,Writing,262537.0
6.00838398933,6,0,PLAY,StillPlaying,262537.0
8.00876998901,8,0,BUFFERING,Play-Buffering,0
9.5844039917,8,1,BUFFERING,Writing,791182.0
9.58942604065,8,1,PLAY,Buffering-Play,0
9.59158086777,8,0,PLAY,StillPlaying,791182.0
10.8948960304,9,1,PLAY,Writing,262537.0
11.5923168659,10,0,PLAY,StillPlaying,262537.0
13.5934040546,12,0,BUFFERING,Play-Buffering,0
14.5305869579,12,1,BUFFERING,Writing,791182.0
14.5326218605,12,1,PLAY,Buffering-Play,0
14.5331869125,12,0,PLAY,StillPlaying,791182.0
16.3162539005,13,1,PLAY,Writing,262537.0
16.5333349705,14,0,PLAY,StillPlaying,262537.0
18.5341260433,16,0,BUFFERING,Play-Buffering,0
20.7856869698,16,1,BUFFERING,Writing,791182.0
20.7891569138,16,1,PLAY,Buffering-Play,0
20.7896618843,16,0,PLAY,StillPlaying,791182.0
21.8649039268,17,1,PLAY,Writing,262537.0
22.7895228863,18,0,PLAY,StillPlaying,262537.0
24.7898910046,20,0,BUFFERING,Play-Buffering,0
26.1820960045,20,1,BUFFERING,Writing,791182.0
26.1842708588,20,1,PLAY,Buffering-Play,0
26.1848468781,20,0,PLAY,StillPlaying,791182.0
27.2034549713,21,1,PLAY,Writing,262537.0
28.1852369308,22,0,PLAY,StillPlaying,262537.0
30.1862230301,24,0,BUFFERING,Play-Buffering,0
31.6782078743,24,1,BUFFERING,Writing,791182.0
31.6802458763,24,1,PLAY,Buffering-Play,0
31.6808109283,24,0,PLAY,StillPlaying,791182.0
32.8988318443,25,1,PLAY,Writing,262537.0
33.6807329655,26,0,PLAY,StillPlaying,262537.0
35.6810460091,28,0,BUFFERING,Play-Buffering,0
38.0194928646,28,1,BUFFERING,Writing,791182.0
38.024034977,28,1,PLAY,Buffering-Play,0
38.0259878635,28,0,PLAY,StillPlaying,791182.0
39.3069808483,29,1,PLAY,Writing,262537.0
40.0270678997,30,0,PLAY,StillPlaying,262537.0
42.0270440578,32,0,BUFFERING,Play-Buffering,0
44.6850140095,32,1,BUFFERING,Writing,791182.0
44.68759799,32,1,PLAY,Buffering-Play,0
44.6881899834,32,0,PLAY,StillPlaying,791182.0
45.9388680458,33,1,PLAY,Writing,262537.0
46.6884939671,34,0,PLAY,StillPlaying,262537.0
48.6888420582,36,0,BUFFERING,Play-Buffering,0
50.8229079247,36,1,BUFFERING,Writing,791182.0
50.8252370358,36,1,PLAY,Buffering-Play,0
50.8258919716,36,0,PLAY,StillPlaying,791182.0
52.1013050079,37,1,PLAY,Writing,262537.0
52.8268039227,38,0,PLAY,StillPlaying,262537.0
54.8266689777,40,0,BUFFERING,Play-Buffering,0
57.236782074,40,1,BUFFERING,Writing,791182.0
57.2390620708,40,1,PLAY,Buffering-Play,0
57.2396149635,40,0,PLAY,StillPlaying,791182.0
58.5883660316,41,1,PLAY,Writing,262537.0
59.2399189472,42,0,PLAY,StillPlaying,262537.0
61.2402899265,44,0,BUFFERING,Play-Buffering,0
64.1482548714,44,1,BUFFERING,Writing,791182.0
64.1535589695,44,1,PLAY,Buffering-Play,0
64.1555800438,44,0,PLAY,StillPlaying,791182.0
65.1149828434,44,1,PLAY,Writing,262537.0
66.1565680504,46,0,PLAY,StillPlaying,262537.0
68.1565160751,48,0,BUFFERING,Play-Buffering,0
72.2386748791,48,1,BUFFERING,Writing,791182.0
72.2412369251,48,1,PLAY,Buffering-Play,0
72.24198699,48,0,PLAY,StillPlaying,791182.0
72.5980949402,48,1,PLAY,Writing,89283.0
73.5936799049,49,2,PLAY,Writing,262537.0
74.2428309917,50,1,PLAY,StillPlaying,89283.0
76.2428369522,52,0,PLAY,StillPlaying,262537.0
77.0289740562,52,1,PLAY,Writing,791182.0
78.0468070507,53,2,PLAY,Writing,262537.0
78.2427449226,54,1,PLAY,StillPlaying,791182.0
80.2428200245,56,0,PLAY,StillPlaying,262537.0
82.2434740067,58,0,BUFFERING,Play-Buffering,0
82.362954855,58,1,BUFFERING,Writing,791182.0
82.3672549725,58,1,PLAY,Buffering-Play,0
82.3690290451,58,0,PLAY,StillPlaying,791182.0
83.0268950462,58,1,PLAY,Writing,262537.0
84.3698039055,60,0,PLAY,StillPlaying,262537.0
85.5319058895,61,1,PLAY,Writing,791182.0
86.3699228764,62,0,PLAY,StillPlaying,791182.0
86.7272410393,62,1,PLAY,Writing,262537.0
88.3696968555,64,0,PLAY,StillPlaying,262537.0
90.3706829548,66,0,BUFFERING,Play-Buffering,0
90.5692849159,66,1,BUFFERING,Writing,791182.0
90.575168848,66,1,PLAY,Buffering-Play,0
90.5771000385,66,0,PLAY,StillPlaying,791182.0
91.5521979332,66,1,PLAY,Writing,262537.0
92.5776178837,68,0,PLAY,StillPlaying,262537.0
94.5782420635,70,0,BUFFERING,Play-Buffering,0
95.1629469395,70,1,BUFFERING,Writing,791182.0
95.1673069,70,1,PLAY,Buffering-Play,0
95.1692738533,70,0,PLAY,StillPlaying,791182.0
95.8617370129,70,1,PLAY,Writing,262537.0
97.1701059341,72,0,PLAY,StillPlaying,262537.0
99.1706750393,74,0,BUFFERING,Play-Buffering,0
99.6872110367,74,1,BUFFERING,Writing,791182.0
99.6925079823,74,1,PLAY,Buffering-Play,0
99.6939320564,74,0,PLAY,StillPlaying,791182.0
100.783710957,75,1,PLAY,Writing,262537.0
101.694638968,76,0,PLAY,StillPlaying,262537.0
103.695347071,78,0,BUFFERING,Play-Buffering,0
104.300471067,78,1,BUFFERING,Writing,791182.0
104.305167913,78,1,PLAY,Buffering-Play,0
104.306894064,78,0,PLAY,StillPlaying,791182.0
105.739681959,79,1,PLAY,Writing,262537.0
106.307231903,80,0,PLAY,StillPlaying,262537.0
108.307575941,82,0,BUFFERING,Play-Buffering,0
110.337462902,82,1,BUFFERING,Writing,791182.0
110.342984915,82,1,PLAY,Buffering-Play,0
110.344617844,82,0,PLAY,StillPlaying,791182.0
111.396013975,83,1,PLAY,Writing,262537.0
112.345273018,84,0,PLAY,StillPlaying,262537.0
114.345555067,86,0,BUFFERING,Play-Buffering,0
114.615010023,86,1,BUFFERING,Writing,791182.0
114.617225885,86,1,PLAY,Buffering-Play,0
114.617836952,86,0,PLAY,StillPlaying,791182.0
116.538487911,87,1,PLAY,Writing,262537.0
116.618109941,88,0,PLAY,StillPlaying,262537.0
118.61843586,90,0,BUFFERING,Play-Buffering,0
120.279286861,90,1,BUFFERING,Writing,791182.0
120.281513929,90,1,PLAY,Buffering-Play,0
120.282145977,90,0,PLAY,StillPlaying,791182.0
121.022882938,90,1,PLAY,Writing,262537.0
122.282981873,92,0,PLAY,StillPlaying,262537.0
123.886247873,93,1,PLAY,Writing,791182.0
124.282464027,94,0,PLAY,StillPlaying,791182.0
124.923725843,94,1,PLAY,Writing,262537.0
126.283241987,96,0,PLAY,StillPlaying,262537.0
128.282841921,98,0,BUFFERING,Play-Buffering,0
128.966215849,98,1,BUFFERING,Writing,791182.0
128.968441963,98,1,PLAY,Buffering-Play,0
