EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0,0,INITIAL_BUFFERING,Starting,0
0,0,0,INITIAL_BUFFERING,Starting,0
0.000522136688232,0,1,INITIAL_BUFFERING,Writing,89283
0.0038321018219,0,1,PLAY,InitialBuffering-Play,0
0.00509214401245,0,0,PLAY,StillPlaying,89283
0.968841075897,0,1,PLAY,Writing,89283.0
2.00839614868,2,0,PLAY,StillPlaying,89283.0
3.44402503967,3,1,PLAY,Writing,262537.0
4.00794696808,4,0,PLAY,StillPlaying,262537.0
4.42535614967,4,1,PLAY,Writing,89283.0
6.00797796249,6,0,PLAY,StillPlaying,89283.0
7.6388771534,7,1,PLAY,Writing,262537.0
8.00793504715,8,0,PLAY,StillPlaying,262537.0
8.70754599571,8,1,PLAY,Writing,89283.0
10.0476911068,10,0,PLAY,StillPlaying,89283.0
11.6789581776,11,1,PLAY,Writing,262537.0
12.007928133,12,0,PLAY,StillPlaying,262537.0
12.7512681484,12,1,PLAY,Writing,89283.0
14.0080080032,14,0,PLAY,StillPlaying,89283.0
15.7507779598,15,1,PLAY,Writing,262537.0
16.0084061623,16,0,PLAY,StillPlaying,262537.0
16.7207889557,16,1,PLAY,Writing,89283.0
18.0079991817,18,0,PLAY,StillPlaying,89283.0
18.9028971195,18,1,PLAY,Writing,262537.0
19.9366090298,19,2,PLAY,Writing,89283.0
20.0079300404,20,1,PLAY,StillPlaying,262537.0
22.0079381466,22,0,PLAY,StillPlaying,89283.0
22.1843860149,22,1,PLAY,Writing,262537.0
23.0908601284,23,2,PLAY,Writing,89283.0
24.0079491138,24,1,PLAY,StillPlaying,262537.0
26.0083770752,26,0,PLAY,StillPlaying,89283.0
26.1000189781,26,1,PLAY,Writing,262537.0
27.1639151573,27,2,PLAY,Writing,89283.0
28.0079331398,28,1,PLAY,StillPlaying,262537.0
30.0079700947,30,0,PLAY,StillPlaying,89283.0
30.2305870056,30,1,PLAY,Writing,262537.0
31.1622431278,31,2,PLAY,Writing,89283.0
32.0079381466,32,1,PLAY,StillPlaying,262537.0
34.0079600811,34,0,PLAY,StillPlaying,89283.0
34.0859689713,34,1,PLAY,Writing,262537.0
35.3469631672,35,2,PLAY,Writing,89283.0
36.0079400539,36,1,PLAY,StillPlaying,262537.0
38.0079300404,38,0,PLAY,StillPlaying,89283.0
38.5566000938,38,1,PLAY,Writing,262537.0
39.4976019859,39,2,PLAY,Writing,89283.0
40.0079610348,40,1,PLAY,StillPlaying,262537.0
42.0080039501,42,0,PLAY,StillPlaying,89283.0
42.5009331703,42,1,PLAY,Writing,262537.0
43.5893449783,43,2,PLAY,Writing,89283.0
44.0079870224,44,1,PLAY,StillPlaying,262537.0
46.0465991497,46,0,PLAY,StillPlaying,89283.0
46.6921451092,46,1,PLAY,Writing,262537.0
47.6647400856,47,2,PLAY,Writing,89283.0
48.0079369545,48,1,PLAY,StillPlaying,262537.0
50.0079541206,50,0,PLAY,StillPlaying,89283.0
50.6516211033,50,1,PLAY,Writing,262537.0
51.608476162,51,2,PLAY,Writing,89283.0
52.0079319477,52,1,PLAY,StillPlaying,262537.0
54.0079510212,54,0,PLAY,StillPlaying,89283.0
54.6302530766,54,1,PLAY,Writing,262537.0
55.5850460529,55,2,PLAY,Writing,89283.0
56.0083460808,56,1,PLAY,StillPlaying,262537.0
57.6255381107,57,2,PLAY,Writing,262537.0
58.0079519749,58,1,PLAY,StillPlaying,89283.0
58.5687761307,58,2,PLAY,Writing,89283.0
60.0079431534,60,1,PLAY,StillPlaying,262537.0
61.2663581371,61,2,PLAY,Writing,262537.0
62.007930994,62,1,PLAY,StillPlaying,89283.0
62.0821881294,62,2,PLAY,Writing,89283.0
64.0079290867,64,1,PLAY,StillPlaying,262537.0
64.9718029499,64,2,PLAY,Writing,262537.0
66.0079391003,66,1,PLAY,StillPlaying,89283.0
66.1091899872,66,2,PLAY,Writing,89283.0
68.0079400539,68,1,PLAY,StillPlaying,262537.0
68.2750511169,68,2,PLAY,Writing,262537.0
69.1144189835,69,3,PLAY,Writing,89283.0
70.0079331398,70,2,PLAY,StillPlaying,89283.0
72.0079510212,72,1,PLAY,StillPlaying,262537.0
72.0138499737,72,2,PLAY,Writing,262537.0
73.0754201412,73,3,PLAY,Writing,89283.0
74.0079300404,74,2,PLAY,StillPlaying,89283.0
76.0080420971,76,1,PLAY,StillPlaying,262537.0
76.4053561687,76,2,PLAY,Writing,262537.0
77.0454931259,77,3,PLAY,Writing,89283.0
78.0079829693,78,2,PLAY,StillPlaying,89283.0
80.0080189705,80,1,PLAY,StillPlaying,262537.0
80.5647699833,80,2,PLAY,Writing,262537.0
81.5291659832,81,3,PLAY,Writing,89283.0
82.0079350471,82,2,PLAY,StillPlaying,89283.0
84.0079391003,84,1,PLAY,StillPlaying,262537.0
84.4849541187,84,2,PLAY,Writing,262537.0
85.3737120628,85,3,PLAY,Writing,89283.0
86.0079660416,86,2,PLAY,StillPlaying,89283.0
87.5898690224,87,3,PLAY,Writing,262537.0
88.0083351135,88,2,PLAY,StillPlaying,262537.0
88.5320000648,88,3,PLAY,Writing,89283.0
90.0079770088,90,2,PLAY,StillPlaying,89283.0
91.2760181427,91,3,PLAY,Writing,262537.0
92.0079581738,92,2,PLAY,StillPlaying,262537.0
92.3277480602,92,3,PLAY,Writing,89283.0
94.0079381466,94,2,PLAY,StillPlaying,89283.0
94.5050001144,94,3,PLAY,Writing,262537.0
95.3766641617,95,4,PLAY,Writing,89283.0
96.0079600811,96,3,PLAY,StillPlaying,262537.0
98.0079431534,98,2,PLAY,StillPlaying,89283.0
98.1344511509,98,3,PLAY,Writing,262537.0
99.0712311268,99,4,PLAY,Writing,89283.0
100.008339167,100,3,PLAY,StillPlaying,262537.0
101.95126009,101,4,PLAY,Writing,262537.0
102.007940054,102,3,PLAY,StillPlaying,89283.0
102.885475159,102,4,PLAY,Writing,89283.0
104.007945061,104,3,PLAY,StillPlaying,262537.0
105.738267183,105,4,PLAY,Writing,262537.0
106.007927179,106,3,PLAY,StillPlaying,89283.0
106.825427055,106,4,PLAY,Writing,89283.0
108.007964134,108,3,PLAY,StillPlaying,262537.0
109.568056107,109,4,PLAY,Writing,262537.0
110.007964134,110,3,PLAY,StillPlaying,89283.0
110.51196003,110,4,PLAY,Writing,89283.0
112.007961035,112,3,PLAY,StillPlaying,262537.0
113.413107157,113,4,PLAY,Writing,262537.0
114.007934093,114,3,PLAY,StillPlaying,89283.0
114.442909956,114,4,PLAY,Writing,89283.0
116.007974148,116,3,PLAY,StillPlaying,262537.0
117.438044071,117,4,PLAY,Writing,262537.0
118.007969141,118,3,PLAY,StillPlaying,89283.0
118.386140108,118,4,PLAY,Writing,89283.0
120.007965088,120,3,PLAY,StillPlaying,262537.0
121.260693073,121,4,PLAY,Writing,262537.0
122.007951975,122,3,PLAY,StillPlaying,89283.0
122.380388975,122,4,PLAY,Writing,89283.0
124.007936001,124,3,PLAY,StillPlaying,262537.0
126.007960081,126,2,PLAY,StillPlaying,89283.0
126.041201115,126,3,PLAY,Writing,262537.0
127.004615068,126,4,PLAY,Writing,89283.0
128.008000135,128,3,PLAY,StillPlaying,262537.0
129.984977961,129,4,PLAY,Writing,262537.0
130.007985115,130,3,PLAY,StillPlaying,89283.0
130.87037611,130,4,PLAY,Writing,89283.0
132.104597092,132,3,PLAY,StillPlaying,262537.0
133.93880415,133,4,PLAY,Writing,262537.0
134.007923126,134,3,PLAY,StillPlaying,89283.0
134.914155006,134,4,PLAY,Writing,89283.0
136.007929087,136,3,PLAY,StillPlaying,262537.0
138.007963181,138,2,PLAY,StillPlaying,89283.0
