EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0,0,INITIAL_BUFFERING,Starting,0
0,0,0,INITIAL_BUFFERING,Starting,0
0.000526189804077,0,1,INITIAL_BUFFERING,Writing,89283
0.00502610206604,0,1,PLAY,InitialBuffering-Play,0
0.00660610198975,0,0,PLAY,StillPlaying,89283
1.03116416931,1,1,PLAY,Writing,89283
1.96361804008,1,2,PLAY,Writing,89283
2.00752401352,2,1,PLAY,StillPlaying,89283
2.93753004074,2,2,PLAY,Writing,89283
3.85114002228,3,3,PLAY,Writing,89283
4.00757217407,4,2,PLAY,StillPlaying,89283
4.94336605072,4,3,PLAY,Writing,89283
6.00754404068,6,2,PLAY,StillPlaying,89283
6.03225302696,6,3,PLAY,Writing,89283
7.00698399544,6,4,PLAY,Writing,89283
7.94612598419,7,5,PLAY,Writing,89283
8.00760316849,8,4,PLAY,StillPlaying,89283
8.9752061367,8,5,PLAY,Writing,89283
9.94614601135,9,6,PLAY,Writing,89283
10.0079791546,10,5,PLAY,StillPlaying,89283
10.8969810009,10,6,PLAY,Writing,89283
11.8274841309,11,7,PLAY,Writing,89283
12.0075631142,12,6,PLAY,StillPlaying,89283
12.6094191074,12,7,PLAY,Writing,89283
13.6668269634,13,8,PLAY,Writing,89283
14.0079441071,14,7,PLAY,StillPlaying,89283
16.0075781345,16,6,PLAY,StillPlaying,89283
16.8480331898,16,7,PLAY,Writing,262537
17.8042960167,17,8,PLAY,Writing,89283
18.0076081753,18,7,PLAY,StillPlaying,89283
20.0075860023,20,6,PLAY,StillPlaying,89283
21.8701879978,21,7,PLAY,Writing,262537
22.007543087,22,6,PLAY,StillPlaying,89283
24.0076041222,24,5,PLAY,StillPlaying,89283
24.2123680115,24,6,PLAY,Writing,89283
25.3065671921,25,7,PLAY,Writing,89283
26.0075531006,26,6,PLAY,StillPlaying,89283
26.4144551754,26,7,PLAY,Writing,89283
28.0075521469,28,6,PLAY,StillPlaying,89283
28.2952070236,28,7,PLAY,Writing,89283
29.1174881458,29,8,PLAY,Writing,89283
30.0075550079,30,7,PLAY,StillPlaying,262537
32.0075562,32,6,PLAY,StillPlaying,89283
32.2424590588,32,7,PLAY,Writing,262537
33.2712540627,33,8,PLAY,Writing,89283
34.0075850487,34,7,PLAY,StillPlaying,262537
36.0075531006,36,6,PLAY,StillPlaying,89283
37.3978731632,37,7,PLAY,Writing,262537
38.0075490475,38,6,PLAY,StillPlaying,89283
38.8233041763,38,7,PLAY,Writing,89283
40.007609129,40,6,PLAY,StillPlaying,89283
40.3539690971,40,7,PLAY,Writing,89283
41.3770320415,41,8,PLAY,Writing,89283
42.0075659752,42,7,PLAY,StillPlaying,89283
44.0075919628,44,6,PLAY,StillPlaying,89283
44.9023489952,44,7,PLAY,Writing,262537
46.0076241493,46,6,PLAY,StillPlaying,262537
47.3151061535,47,7,PLAY,Writing,89283
48.0075440407,48,6,PLAY,StillPlaying,89283
48.2459220886,48,7,PLAY,Writing,89283
49.2148840427,49,8,PLAY,Writing,89283
50.0075800419,50,7,PLAY,StillPlaying,262537
52.0079510212,52,6,PLAY,StillPlaying,89283
52.6777560711,52,7,PLAY,Writing,262537
53.6024341583,53,8,PLAY,Writing,89283
54.0075449944,54,7,PLAY,StillPlaying,89283
56.0075831413,56,6,PLAY,StillPlaying,89283
57.9558870792,57,7,PLAY,Writing,262537
58.0075640678,58,6,PLAY,StillPlaying,262537
59.6394860744,59,7,PLAY,Writing,89283
60.0076591969,60,6,PLAY,StillPlaying,89283
60.3646540642,60,7,PLAY,Writing,89283
61.5692989826,61,8,PLAY,Writing,89283
62.0075321198,62,7,PLAY,StillPlaying,89283
64.0075540543,64,6,PLAY,StillPlaying,89283
66.0075919628,66,5,PLAY,StillPlaying,262537
66.012704134,66,6,PLAY,Writing,262537
68.0075809956,68,5,PLAY,StillPlaying,89283
68.6535470486,68,6,PLAY,Writing,89283
69.5924150944,69,7,PLAY,Writing,89283
70.0075650215,70,6,PLAY,StillPlaying,262537
70.6685910225,70,7,PLAY,Writing,89283
72.0075571537,72,6,PLAY,StillPlaying,89283
72.2945461273,72,7,PLAY,Writing,89283
73.3855500221,73,8,PLAY,Writing,89283
74.0075540543,74,7,PLAY,StillPlaying,89283
75.7281060219,75,8,PLAY,Writing,262537
76.0075480938,76,7,PLAY,StillPlaying,89283
77.957681179,77,8,PLAY,Writing,262537
78.0075571537,78,7,PLAY,StillPlaying,262537
80.0076270103,80,6,PLAY,StillPlaying,89283
81.3040571213,81,7,PLAY,Writing,262537
82.0075571537,82,6,PLAY,StillPlaying,89283
82.2636110783,82,7,PLAY,Writing,89283
84.0075631142,84,6,PLAY,StillPlaying,89283
84.4108819962,84,7,PLAY,Writing,89283
85.3521780968,85,8,PLAY,Writing,89283
86.0075480938,86,7,PLAY,StillPlaying,89283
87.7080540657,87,8,PLAY,Writing,262537
88.0076329708,88,7,PLAY,StillPlaying,89283
90.0075950623,90,6,PLAY,StillPlaying,262537
90.421847105,90,7,PLAY,Writing,262537
91.3131551743,91,8,PLAY,Writing,89283
92.0091199875,92,7,PLAY,StillPlaying,262537
94.0075461864,94,6,PLAY,StillPlaying,262537
94.1827681065,94,7,PLAY,Writing,262537
95.6713161469,95,8,PLAY,Writing,89283
96.0075490475,96,7,PLAY,StillPlaying,89283
98.0075650215,98,6,PLAY,StillPlaying,89283
98.5104310513,98,7,PLAY,Writing,262537
100.007616043,100,6,PLAY,StillPlaying,89283
100.194900036,100,7,PLAY,Writing,89283
101.105051994,101,8,PLAY,Writing,89283
102.00754714,102,7,PLAY,StillPlaying,262537
104.007559061,104,6,PLAY,StillPlaying,262537
104.213577032,104,7,PLAY,Writing,262537
105.174322128,105,8,PLAY,Writing,89283
106.007549047,106,7,PLAY,StillPlaying,89283
108.007629156,108,6,PLAY,StillPlaying,262537
108.188349009,108,7,PLAY,Writing,262537
109.235346079,109,8,PLAY,Writing,89283
110.007956982,110,7,PLAY,StillPlaying,89283
112.007589102,112,6,PLAY,StillPlaying,262537
112.020797968,112,7,PLAY,Writing,262537
112.996119976,112,8,PLAY,Writing,89283
114.007652998,114,7,PLAY,StillPlaying,89283
115.919166088,115,8,PLAY,Writing,262537
116.007549047,116,7,PLAY,StillPlaying,89283
118.007560015,118,6,PLAY,StillPlaying,262537
118.880095005,118,7,PLAY,Writing,262537
119.843335152,119,8,PLAY,Writing,89283
120.007558107,120,7,PLAY,StillPlaying,89283
122.00756216,122,6,PLAY,StillPlaying,262537
122.828701019,122,7,PLAY,Writing,262537
123.743319035,123,8,PLAY,Writing,89283
124.007544041,124,7,PLAY,StillPlaying,89283
126.007699966,126,6,PLAY,StillPlaying,262537
126.811269045,126,7,PLAY,Writing,262537
127.907715082,127,8,PLAY,Writing,89283
128.007575989,128,7,PLAY,StillPlaying,89283
130.007578135,130,6,PLAY,StillPlaying,262537
131.023581982,131,7,PLAY,Writing,262537
131.930651188,131,8,PLAY,Writing,89283
132.007549047,132,7,PLAY,StillPlaying,262537
134.007978201,134,6,PLAY,StillPlaying,89283
134.516928196,134,7,PLAY,Writing,262537
135.736764193,135,8,PLAY,Writing,89283
136.007555008,136,7,PLAY,StillPlaying,262537
138.029081106,138,6,PLAY,StillPlaying,89283
138.470412016,138,7,PLAY,Writing,262537
139.690134048,139,8,PLAY,Writing,89283
140.007568121,140,7,PLAY,StillPlaying,262537
142.007584095,142,6,PLAY,StillPlaying,89283
142.500779152,142,7,PLAY,Writing,262537
143.711120129,143,8,PLAY,Writing,89283
144.007616997,144,7,PLAY,StillPlaying,262537
146.007625103,146,6,PLAY,StillPlaying,89283
