EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0,0,INITIAL_BUFFERING,Starting,0
0,0,0,INITIAL_BUFFERING,Starting,0
0.00052809715271,0,1,INITIAL_BUFFERING,Writing,89283
0.004643201828,0,1,PLAY,InitialBuffering-Play,0
0.0060830116272,0,0,PLAY,StillPlaying,89283
0.257211208344,0,1,PLAY,Writing,89283
0.46510219574,0,2,PLAY,Writing,89283
0.692224025726,0,3,PLAY,Writing,89283
0.950025081635,0,4,PLAY,Writing,89283
1.22212505341,1,5,PLAY,Writing,89283
2.0074441433,2,4,PLAY,StillPlaying,89283
2.00997018814,2,5,PLAY,Writing,262537
2.7010011673,2,6,PLAY,Writing,262537
3.44437098503,3,7,PLAY,Writing,262537
4.00704216957,4,6,PLAY,StillPlaying,89283
4.11077618599,4,7,PLAY,Writing,262537
4.6363120079,4,8,PLAY,Writing,262537
5.28958201408,5,9,PLAY,Writing,262537
6.00705504417,6,8,PLAY,StillPlaying,89283
6.94626998901,6,9,PLAY,Writing,791182
8.00743699074,8,8,PLAY,StillPlaying,89283
9.140802145,9,9,PLAY,Writing,791182
9.89435911179,9,10,PLAY,Writing,262537
10.0073740482,10,9,PLAY,StillPlaying,89283
10.675112009,10,10,PLAY,Writing,262537
12.0070850849,12,9,PLAY,StillPlaying,262537
13.014852047,13,10,PLAY,Writing,791182
14.007461071,14,9,PLAY,StillPlaying,262537
15.2848031521,15,10,PLAY,Writing,791182
16.0070970058,16,9,PLAY,StillPlaying,262537
17.3680109978,17,10,PLAY,Writing,791182
18.007433176,18,9,PLAY,StillPlaying,262537
19.5981070995,19,10,PLAY,Writing,791182
20.0070981979,20,9,PLAY,StillPlaying,262537
21.792522192,21,10,PLAY,Writing,791182
22.0070211887,22,9,PLAY,StillPlaying,262537
24.0071451664,24,8,PLAY,StillPlaying,791182
24.0600891113,24,9,PLAY,Writing,791182
26.0074729919,26,8,PLAY,StillPlaying,791182
26.281979084,26,9,PLAY,Writing,791182
27.0234160423,27,10,PLAY,Writing,262537
27.8050479889,27,11,PLAY,Writing,262537
28.0070111752,28,10,PLAY,StillPlaying,262537
29.9711902142,29,11,PLAY,Writing,791182
30.0070240498,30,10,PLAY,StillPlaying,262537
32.0071690083,32,9,PLAY,StillPlaying,791182
32.1645331383,32,10,PLAY,Writing,791182
34.0073959827,34,9,PLAY,StillPlaying,791182
36.0071041584,36,8,PLAY,StillPlaying,791182
37.712872982,37,9,PLAY,Writing,791182
38.0070230961,38,8,PLAY,StillPlaying,791182
40.0071032047,40,7,PLAY,StillPlaying,791182
42.007130146,42,6,PLAY,StillPlaying,791182
44.0070981979,44,5,PLAY,StillPlaying,791182
46.0071201324,46,4,PLAY,StillPlaying,262537
48.0071179867,48,3,PLAY,StillPlaying,262537
50.0070741177,50,2,PLAY,StillPlaying,791182
50.0214149952,50,3,PLAY,Writing,262537
52.0075190067,52,2,PLAY,StillPlaying,791182
54.0070500374,54,1,PLAY,StillPlaying,791182
56.0075399876,56,0,PLAY,StillPlaying,262537
58.0073931217,58,0,BUFFERING,Play-Buffering,0
62.5582060814,58,1,BUFFERING,Writing,89283
62.5601501465,58,1,PLAY,Buffering-Play,0
62.5607571602,58,0,PLAY,StillPlaying,89283
62.7959330082,58,1,PLAY,Writing,89283
63.0301001072,58,2,PLAY,Writing,89283
63.2688801289,58,3,PLAY,Writing,89283
63.4521331787,58,4,PLAY,Writing,89283
63.7195920944,59,5,PLAY,Writing,89283
64.0079960823,59,6,PLAY,Writing,89283
64.5485091209,59,7,PLAY,Writing,262537
64.5609722137,60,6,PLAY,StillPlaying,89283
65.1515631676,60,7,PLAY,Writing,262537
65.8748810291,61,8,PLAY,Writing,262537
66.5609960556,62,7,PLAY,StillPlaying,89283
66.5957109928,62,8,PLAY,Writing,262537
68.561109066,64,7,PLAY,StillPlaying,89283
69.1266171932,64,8,PLAY,Writing,791182
69.8189640045,65,9,PLAY,Writing,262537
70.5610351562,66,8,PLAY,StillPlaying,89283
70.5994610786,66,9,PLAY,Writing,262537
72.2850999832,67,10,PLAY,Writing,791182
72.5610032082,68,9,PLAY,StillPlaying,89283
74.524777174,69,10,PLAY,Writing,791182
74.5609781742,70,9,PLAY,StillPlaying,89283
76.3188951015,71,10,PLAY,Writing,791182
76.5609710217,72,9,PLAY,StillPlaying,262537
78.1484470367,73,10,PLAY,Writing,791182
78.5609741211,74,9,PLAY,StillPlaying,262537
79.8459990025,75,10,PLAY,Writing,791182
80.5432271957,75,11,PLAY,Writing,262537
80.5610342026,76,10,PLAY,StillPlaying,262537
82.5611031055,78,9,PLAY,StillPlaying,262537
82.7602682114,78,10,PLAY,Writing,791182
84.4547131062,79,11,PLAY,Writing,791182
84.5609769821,80,10,PLAY,StillPlaying,791182
86.2628769875,81,11,PLAY,Writing,791182
86.5613532066,82,10,PLAY,StillPlaying,262537
88.5610442162,84,9,PLAY,StillPlaying,262537
90.5614490509,86,8,PLAY,StillPlaying,791182
90.5714440346,86,9,PLAY,Writing,791182
91.2945740223,86,10,PLAY,Writing,262537
92.0144062042,87,11,PLAY,Writing,262537
92.5610320568,88,10,PLAY,StillPlaying,791182
92.6710801125,88,11,PLAY,Writing,262537
93.3328020573,88,12,PLAY,Writing,262537
94.5611310005,90,11,PLAY,StillPlaying,791182
96.5610830784,92,10,PLAY,StillPlaying,791182
98.5610561371,94,9,PLAY,StillPlaying,791182
100.561139107,96,8,PLAY,StillPlaying,262537
102.561106205,98,7,PLAY,StillPlaying,791182
104.561046124,100,6,PLAY,StillPlaying,791182
106.561524153,102,5,PLAY,StillPlaying,791182
108.561122179,104,4,PLAY,StillPlaying,791182
110.561102152,106,3,PLAY,StillPlaying,262537
112.561165094,108,2,PLAY,StillPlaying,262537
114.561035156,110,1,PLAY,StillPlaying,262537
115.937991142,111,2,PLAY,Writing,4219897
116.561057091,112,1,PLAY,StillPlaying,262537
118.561139107,114,0,PLAY,StillPlaying,4219897
120.599795103,116,0,BUFFERING,Play-Buffering,0
123.851147175,116,1,BUFFERING,Writing,89283
123.853199005,116,1,PLAY,Buffering-Play,0
123.853742123,116,0,PLAY,StillPlaying,89283
124.120151997,116,1,PLAY,Writing,89283
124.360567093,116,2,PLAY,Writing,89283
124.605713129,116,3,PLAY,Writing,89283
124.870005131,117,4,PLAY,Writing,89283
125.112131119,117,5,PLAY,Writing,89283
125.270796061,117,6,PLAY,Writing,89283
125.815645218,118,5,PLAY,StillPlaying,89283
126.050219059,118,6,PLAY,Writing,262537
126.759863138,118,7,PLAY,Writing,262537
127.516533136,119,8,PLAY,Writing,262537
127.816021204,120,7,PLAY,StillPlaying,89283
128.269565105,120,8,PLAY,Writing,262537
129.816145182,122,7,PLAY,StillPlaying,89283
130.550562143,122,8,PLAY,Writing,791182
131.302736044,123,9,PLAY,Writing,262537
131.816018105,124,8,PLAY,StillPlaying,89283
132.091518164,124,9,PLAY,Writing,262537
132.87054801,125,10,PLAY,Writing,262537
133.816082001,126,9,PLAY,StillPlaying,89283
135.019278049,127,10,PLAY,Writing,791182
135.816102028,128,9,PLAY,StillPlaying,89283
136.998911142,129,10,PLAY,Writing,791182
137.815689087,130,9,PLAY,StillPlaying,262537
139.815741062,132,8,PLAY,StillPlaying,262537
140.703476191,132,9,PLAY,Writing,791182
141.815713167,134,8,PLAY,StillPlaying,262537
143.815798044,136,7,PLAY,StillPlaying,262537
145.815719128,138,6,PLAY,StillPlaying,791182
146.452229023,138,7,PLAY,Writing,791182
147.198984146,139,8,PLAY,Writing,262537
147.815721989,140,7,PLAY,StillPlaying,262537
147.869924068,140,8,PLAY,Writing,262537
