EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0,0,INITIAL_BUFFERING,Starting,0
0,0,0,INITIAL_BUFFERING,Starting,0
0.000893831253052,0,1,INITIAL_BUFFERING,Writing,89283
0.00659990310669,0,1,PLAY,InitialBuffering-Play,0
0.0081799030304,0,0,PLAY,StillPlaying,89283
0.0191929340363,0,1,PLAY,Writing,89283
0.0536439418793,0,2,PLAY,Writing,89283
0.0905518531799,0,3,PLAY,Writing,262537
0.18708896637,0,4,PLAY,Writing,791182
0.576757907867,0,5,PLAY,Writing,2484135
1.59586882591,1,6,PLAY,Writing,4219897
2.00968790054,2,5,PLAY,StillPlaying,89283
2.24066495895,2,6,PLAY,Writing,4219897
2.84317493439,2,7,PLAY,Writing,4219897
3.25912094116,3,8,PLAY,Writing,4219897
3.57515692711,3,9,PLAY,Writing,4219897
3.87887692451,3,10,PLAY,Writing,4219897
4.00970482826,4,9,PLAY,StillPlaying,89283
4.54024386406,4,10,PLAY,Writing,4219897
5.42703485489,5,11,PLAY,Writing,4219897
5.87417793274,5,12,PLAY,Writing,4219897
6.01001286507,6,11,PLAY,StillPlaying,262537
8.00966501236,8,10,PLAY,StillPlaying,791182
10.010144949,10,9,PLAY,StillPlaying,2484135
10.2117488384,10,10,PLAY,Writing,4219897
10.8809528351,10,11,PLAY,Writing,4219897
11.3058829308,11,12,PLAY,Writing,4219897
12.0101108551,12,11,PLAY,StillPlaying,4219897
14.0096399784,14,10,PLAY,StillPlaying,4219897
15.5696349144,15,11,PLAY,Writing,4219897
15.7753949165,15,12,PLAY,Writing,4219897
16.0095119476,16,11,PLAY,StillPlaying,4219897
18.0096309185,18,10,PLAY,StillPlaying,4219897
19.9318668842,19,11,PLAY,Writing,4219897
20.0139319897,20,10,PLAY,StillPlaying,4219897
20.1326599121,20,11,PLAY,Writing,4219897
20.2530488968,20,12,PLAY,Writing,4219897
22.0102238655,22,11,PLAY,StillPlaying,4219897
24.0096268654,24,10,PLAY,StillPlaying,4219897
24.3722398281,24,11,PLAY,Writing,4219897
24.4750978947,24,12,PLAY,Writing,4219897
26.0096478462,26,11,PLAY,StillPlaying,4219897
28.009677887,28,10,PLAY,StillPlaying,4219897
28.6376059055,28,11,PLAY,Writing,4219897
28.7675199509,28,12,PLAY,Writing,4219897
30.010327816,30,11,PLAY,StillPlaying,4219897
32.0101459026,32,10,PLAY,StillPlaying,4219897
32.895293951,32,11,PLAY,Writing,4219897
33.0483698845,33,12,PLAY,Writing,4219897
34.010185957,34,11,PLAY,StillPlaying,4219897
36.0101909637,36,10,PLAY,StillPlaying,4219897
37.2482278347,37,11,PLAY,Writing,4219897
37.2843308449,37,12,PLAY,Writing,4219897
38.0547978878,38,11,PLAY,StillPlaying,4219897
40.010174036,40,10,PLAY,StillPlaying,4219897
41.3456068039,41,11,PLAY,Writing,4219897
41.4217238426,41,12,PLAY,Writing,4219897
42.010010004,42,11,PLAY,StillPlaying,4219897
44.0102128983,44,10,PLAY,StillPlaying,4219897
45.5187759399,45,11,PLAY,Writing,4219897
45.6348869801,45,12,PLAY,Writing,4219897
46.0102698803,46,11,PLAY,StillPlaying,4219897
48.010160923,48,10,PLAY,StillPlaying,4219897
49.7294299603,49,11,PLAY,Writing,4219897
49.7899928093,49,12,PLAY,Writing,4219897
50.009570837,50,11,PLAY,StillPlaying,4219897
52.0096578598,52,10,PLAY,StillPlaying,4219897
53.8566060066,53,11,PLAY,Writing,4219897
53.9736969471,53,12,PLAY,Writing,4219897
54.0095019341,54,11,PLAY,StillPlaying,4219897
56.0096828938,56,10,PLAY,StillPlaying,4219897
58.0096139908,58,9,PLAY,StillPlaying,4219897
58.2718229294,58,10,PLAY,Writing,4219897
58.5037558079,58,11,PLAY,Writing,4219897
58.8163068295,58,12,PLAY,Writing,4219897
60.0101559162,60,11,PLAY,StillPlaying,4219897
62.0102238655,62,10,PLAY,StillPlaying,4219897
62.8933830261,62,11,PLAY,Writing,4219897
62.9450240135,62,12,PLAY,Writing,4219897
64.0100979805,64,11,PLAY,StillPlaying,4219897
66.0101838112,66,10,PLAY,StillPlaying,4219897
67.0419149399,67,11,PLAY,Writing,4219897
67.1107909679,67,12,PLAY,Writing,4219897
68.0101048946,68,11,PLAY,StillPlaying,4219897
70.0103139877,70,10,PLAY,StillPlaying,4219897
71.2427170277,71,11,PLAY,Writing,4219897
71.290006876,71,12,PLAY,Writing,4219897
72.0117998123,72,11,PLAY,StillPlaying,4219897
74.0102078915,74,10,PLAY,StillPlaying,4219897
75.3610470295,75,11,PLAY,Writing,4219897
75.4256119728,75,12,PLAY,Writing,4219897
76.0101158619,76,11,PLAY,StillPlaying,4219897
78.0103719234,78,10,PLAY,StillPlaying,4219897
79.514674902,79,11,PLAY,Writing,4219897
79.6277220249,79,12,PLAY,Writing,4219897
80.010078907,80,11,PLAY,StillPlaying,4219897
82.010324955,82,10,PLAY,StillPlaying,4219897
83.7240328789,83,11,PLAY,Writing,4219897
83.7930698395,83,12,PLAY,Writing,4219897
84.0100739002,84,11,PLAY,StillPlaying,4219897
86.0101518631,86,10,PLAY,StillPlaying,4219897
87.8570349216,87,11,PLAY,Writing,4219897
87.9187209606,87,12,PLAY,Writing,4219897
88.0099899769,88,11,PLAY,StillPlaying,4219897
90.0101919174,90,10,PLAY,StillPlaying,4219897
92.0117638111,92,10,PLAY,Writing,4219897
92.0134990215,92,10,PLAY,StillPlaying,4219897
92.1277418137,92,11,PLAY,Writing,4219897
92.2999429703,92,12,PLAY,Writing,4219897
94.0101950169,94,11,PLAY,StillPlaying,4219897
96.0096859932,96,10,PLAY,StillPlaying,4219897
96.4344959259,96,11,PLAY,Writing,4219897
96.7094628811,96,12,PLAY,Writing,4219897
98.0096619129,98,11,PLAY,StillPlaying,4219897
100.009620905,100,10,PLAY,StillPlaying,4219897
100.824327946,100,11,PLAY,Writing,4219897
100.987290859,100,12,PLAY,Writing,4219897
102.010206938,102,11,PLAY,StillPlaying,4219897
104.009642839,104,10,PLAY,StillPlaying,4219897
105.052963018,105,11,PLAY,Writing,4219897
105.142644882,105,12,PLAY,Writing,4219897
106.009661913,106,11,PLAY,StillPlaying,4219897
108.00967598,108,10,PLAY,StillPlaying,4219897
109.218668938,109,11,PLAY,Writing,4219897
109.295739889,109,12,PLAY,Writing,4219897
110.009629011,110,11,PLAY,StillPlaying,4219897
112.009642839,112,10,PLAY,StillPlaying,4219897
113.381438971,113,11,PLAY,Writing,4219897
113.471525908,113,12,PLAY,Writing,4219897
114.009621859,114,11,PLAY,StillPlaying,4219897
116.009624958,116,10,PLAY,StillPlaying,4219897
117.558897972,117,11,PLAY,Writing,4219897
117.650040865,117,12,PLAY,Writing,4219897
118.009603977,118,11,PLAY,StillPlaying,4219897
120.009655952,120,10,PLAY,StillPlaying,4219897
121.738641977,121,11,PLAY,Writing,4219897
121.840023994,121,12,PLAY,Writing,4219897
122.009590864,122,11,PLAY,StillPlaying,4219897
124.009614944,124,10,PLAY,StillPlaying,4219897
125.923193932,125,11,PLAY,Writing,4219897
126.016700029,126,10,PLAY,StillPlaying,4219897
126.048156977,126,11,PLAY,Writing,4219897
126.161201,126,12,PLAY,Writing,4219897
128.010115862,128,11,PLAY,StillPlaying,4219897
130.010169029,130,10,PLAY,StillPlaying,4219897
130.250439882,130,11,PLAY,Writing,4219897
130.353510857,130,12,PLAY,Writing,4219897
132.009680033,132,11,PLAY,StillPlaying,4219897
134.010231018,134,10,PLAY,StillPlaying,4219897
134.424563885,134,11,PLAY,Writing,4219897
134.470330954,134,12,PLAY,Writing,4219897
