EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0,0,INITIAL_BUFFERING,Starting,0
0,0,0,INITIAL_BUFFERING,Starting,0
0.000591039657593,0,1,INITIAL_BUFFERING,Writing,89283
0.00481796264648,0,1,PLAY,InitialBuffering-Play,0
0.00659894943237,0,0,PLAY,StillPlaying,89283
0.0138139724731,0,1,PLAY,Writing,89283
0.0326569080353,0,2,PLAY,Writing,89283
0.0727488994598,0,3,PLAY,Writing,262537
0.156071901321,0,4,PLAY,Writing,791182
0.569401025772,0,5,PLAY,Writing,2484135
1.58892583847,1,6,PLAY,Writing,4219897
2.00823092461,2,5,PLAY,StillPlaying,89283
2.50742387772,2,6,PLAY,Writing,4219897
3.21310687065,3,7,PLAY,Writing,4219897
3.49098300934,3,8,PLAY,Writing,4219897
3.75471782684,3,9,PLAY,Writing,4219897
4.0079729557,4,8,PLAY,StillPlaying,89283
4.06670403481,4,9,PLAY,Writing,4219897
4.5445098877,4,10,PLAY,Writing,4219897
5.71924901009,5,11,PLAY,Writing,4219897
6.00753188133,6,10,PLAY,StillPlaying,262537
6.5431189537,6,11,PLAY,Writing,4219897
7.22128987312,7,12,PLAY,Writing,4219897
8.00754785538,8,11,PLAY,StillPlaying,791182
10.0076858997,10,10,PLAY,StillPlaying,2484135
12.008646965,12,9,PLAY,StillPlaying,4219897
12.3993659019,12,10,PLAY,Writing,4219897
13.0856029987,13,11,PLAY,Writing,4219897
13.4117288589,13,12,PLAY,Writing,4219897
14.0075478554,14,11,PLAY,StillPlaying,4219897
16.0080378056,16,10,PLAY,StillPlaying,4219897
17.7831959724,17,11,PLAY,Writing,4219897
17.9543848038,17,12,PLAY,Writing,4219897
18.0078868866,18,11,PLAY,StillPlaying,4219897
20.0080428123,20,10,PLAY,StillPlaying,4219897
22.0084209442,22,9,PLAY,StillPlaying,4219897
22.1306648254,22,10,PLAY,Writing,4219897
22.4505548477,22,11,PLAY,Writing,4219897
22.6903059483,22,12,PLAY,Writing,4219897
24.0080549717,24,11,PLAY,StillPlaying,4219897
26.0081169605,26,10,PLAY,StillPlaying,4219897
27.0090219975,27,11,PLAY,Writing,4219897
27.3125858307,27,12,PLAY,Writing,4219897
28.0096759796,28,11,PLAY,StillPlaying,4219897
30.0080549717,30,10,PLAY,StillPlaying,4219897
31.6070668697,31,11,PLAY,Writing,4219897
31.8053529263,31,12,PLAY,Writing,4219897
32.0079529285,32,11,PLAY,StillPlaying,4219897
34.0100150108,34,10,PLAY,StillPlaying,4219897
36.0089948177,36,9,PLAY,StillPlaying,4219897
36.0625460148,36,10,PLAY,Writing,4219897
36.1126458645,36,11,PLAY,Writing,4219897
36.1568720341,36,12,PLAY,Writing,4219897
38.008024931,38,11,PLAY,StillPlaying,4219897
40.0094118118,40,10,PLAY,StillPlaying,4219897
40.2586228848,40,11,PLAY,Writing,4219897
40.3350629807,40,12,PLAY,Writing,4219897
42.0076258183,42,11,PLAY,StillPlaying,4219897
44.0076608658,44,10,PLAY,StillPlaying,4219897
44.4154410362,44,11,PLAY,Writing,4219897
44.5068488121,44,12,PLAY,Writing,4219897
46.0097429752,46,11,PLAY,StillPlaying,4219897
48.0080459118,48,10,PLAY,StillPlaying,4219897
48.5986440182,48,11,PLAY,Writing,4219897
48.6695549488,48,12,PLAY,Writing,4219897
50.0080969334,50,11,PLAY,StillPlaying,4219897
52.0096039772,52,10,PLAY,StillPlaying,4219897
52.7786009312,52,11,PLAY,Writing,4219897
52.9106090069,52,12,PLAY,Writing,4219897
54.0076429844,54,11,PLAY,StillPlaying,4219897
56.0080218315,56,10,PLAY,StillPlaying,4219897
57.2714979649,57,11,PLAY,Writing,4219897
57.4825689793,57,12,PLAY,Writing,4219897
58.0079469681,58,11,PLAY,StillPlaying,4219897
60.0081248283,60,10,PLAY,StillPlaying,4219897
61.6015298367,61,11,PLAY,Writing,4219897
61.6785969734,61,12,PLAY,Writing,4219897
62.0078868866,62,11,PLAY,StillPlaying,4219897
64.0080850124,64,10,PLAY,StillPlaying,4219897
65.721405983,65,11,PLAY,Writing,4219897
65.7794280052,65,12,PLAY,Writing,4219897
66.0075750351,66,11,PLAY,StillPlaying,4219897
68.0081329346,68,10,PLAY,StillPlaying,4219897
69.9546768665,69,11,PLAY,Writing,4219897
70.0101728439,70,10,PLAY,StillPlaying,4219897
70.0415220261,70,11,PLAY,Writing,4219897
70.0865938663,70,12,PLAY,Writing,4219897
72.0080640316,72,11,PLAY,StillPlaying,4219897
74.00801301,74,10,PLAY,StillPlaying,4219897
74.1435709,74,11,PLAY,Writing,4219897
74.2106080055,74,12,PLAY,Writing,4219897
76.0081160069,76,11,PLAY,StillPlaying,4219897
78.0080428123,78,10,PLAY,StillPlaying,4219897
78.2743008137,78,11,PLAY,Writing,4219897
78.3662860394,78,12,PLAY,Writing,4219897
80.0076818466,80,11,PLAY,StillPlaying,4219897
82.0664899349,82,10,PLAY,StillPlaying,4219897
82.4483950138,82,11,PLAY,Writing,4219897
82.5045588017,82,12,PLAY,Writing,4219897
84.0075960159,84,11,PLAY,StillPlaying,4219897
86.0080058575,86,10,PLAY,StillPlaying,4219897
86.5746438503,86,11,PLAY,Writing,4219897
86.6305789948,86,12,PLAY,Writing,4219897
88.0096919537,88,11,PLAY,StillPlaying,4219897
90.0076889992,90,10,PLAY,StillPlaying,4219897
90.681787014,90,11,PLAY,Writing,4219897
90.7762539387,90,12,PLAY,Writing,4219897
92.0081219673,92,11,PLAY,StillPlaying,4219897
94.0096008778,94,10,PLAY,StillPlaying,4219897
94.8746569157,94,11,PLAY,Writing,4219897
94.9942748547,94,12,PLAY,Writing,4219897
96.0076448917,96,11,PLAY,StillPlaying,4219897
98.0076158047,98,10,PLAY,StillPlaying,4219897
99.1546869278,99,11,PLAY,Writing,4219897
99.2611529827,99,12,PLAY,Writing,4219897
100.007656813,100,11,PLAY,StillPlaying,4219897
102.008111,102,10,PLAY,StillPlaying,4219897
103.35313201,103,11,PLAY,Writing,4219897
103.427124023,103,12,PLAY,Writing,4219897
104.008571863,104,11,PLAY,StillPlaying,4219897
106.007642031,106,10,PLAY,StillPlaying,4219897
107.528681993,107,11,PLAY,Writing,4219897
107.598590851,107,12,PLAY,Writing,4219897
108.008056879,108,11,PLAY,StillPlaying,4219897
110.009760857,110,10,PLAY,StillPlaying,4219897
111.692917824,111,11,PLAY,Writing,4219897
111.78628087,111,12,PLAY,Writing,4219897
112.00799799,112,11,PLAY,StillPlaying,4219897
114.007983923,114,10,PLAY,StillPlaying,4219897
115.902323961,115,11,PLAY,Writing,4219897
115.998669863,115,12,PLAY,Writing,4219897
116.007884979,116,11,PLAY,StillPlaying,4219897
118.008008957,118,10,PLAY,StillPlaying,4219897
120.008294821,120,9,PLAY,StillPlaying,4219897
120.114861965,120,10,PLAY,Writing,4219897
120.218356848,120,11,PLAY,Writing,4219897
120.334658861,120,12,PLAY,Writing,4219897
122.008076906,122,11,PLAY,StillPlaying,4219897
124.007999897,124,10,PLAY,StillPlaying,4219897
124.44659996,124,11,PLAY,Writing,4219897
124.560462952,124,12,PLAY,Writing,4219897
126.007967949,126,11,PLAY,StillPlaying,4219897
128.008613825,128,10,PLAY,StillPlaying,4219897
128.670174837,128,11,PLAY,Writing,4219897
128.742054939,128,12,PLAY,Writing,4219897
130.007545948,130,11,PLAY,StillPlaying,4219897
132.007583857,132,10,PLAY,StillPlaying,4219897
132.914893866,132,11,PLAY,Writing,4219897
132.994658947,132,12,PLAY,Writing,4219897
134.007961035,134,11,PLAY,StillPlaying,4219897
136.007629871,136,10,PLAY,StillPlaying,4219897
