EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0,0,INITIAL_BUFFERING,Starting,0
0,0,0,INITIAL_BUFFERING,Starting,0
0.000320911407471,0,1,INITIAL_BUFFERING,Writing,89283
0.00474500656128,0,1,PLAY,InitialBuffering-Play,0
0.00637698173523,0,0,PLAY,StillPlaying,89283
1.17750501633,1,1,PLAY,Writing,89283
2.00740408897,2,0,PLAY,StillPlaying,89283
3.91355109215,3,1,PLAY,Writing,262537
4.00737595558,4,0,PLAY,StillPlaying,262537
6.00770306587,6,0,BUFFERING,Play-Buffering,0
7.17833900452,6,1,BUFFERING,Writing,262537
7.1800429821,6,1,PLAY,Buffering-Play,0
7.18065905571,6,0,PLAY,StillPlaying,262537
9.18132400513,8,0,BUFFERING,Play-Buffering,0
10.3953399658,8,1,BUFFERING,Writing,262537
10.3969900608,8,1,PLAY,Buffering-Play,0
10.3976149559,8,0,PLAY,StillPlaying,262537
12.3982050419,10,0,BUFFERING,Play-Buffering,0
13.6854979992,10,1,BUFFERING,Writing,262537
13.6871111393,10,1,PLAY,Buffering-Play,0
13.6877400875,10,0,PLAY,StillPlaying,262537
15.6883950233,12,0,BUFFERING,Play-Buffering,0
16.9556159973,12,1,BUFFERING,Writing,262537
16.9598469734,12,1,PLAY,Buffering-Play,0
16.9611871243,12,0,PLAY,StillPlaying,262537
18.9628500938,14,0,BUFFERING,Play-Buffering,0
19.8239719868,14,1,BUFFERING,Writing,262537
19.8278701305,14,1,PLAY,Buffering-Play,0
19.8291101456,14,0,PLAY,StillPlaying,262537
21.829679966,16,0,BUFFERING,Play-Buffering,0
24.2654790878,16,1,BUFFERING,Writing,262537
24.270195961,16,1,PLAY,Buffering-Play,0
24.2716209888,16,0,PLAY,StillPlaying,262537
26.2726309299,18,0,BUFFERING,Play-Buffering,0
27.0309150219,18,1,BUFFERING,Writing,262537
27.0326099396,18,1,PLAY,Buffering-Play,0
27.0332210064,18,0,PLAY,StillPlaying,262537
29.033839941,20,0,BUFFERING,Play-Buffering,0
29.4150519371,20,1,BUFFERING,Writing,262537
29.4168169498,20,1,PLAY,Buffering-Play,0
29.4174220562,20,0,PLAY,StillPlaying,262537
31.4180109501,22,0,BUFFERING,Play-Buffering,0
32.1585841179,22,1,BUFFERING,Writing,262537
32.16031003,22,1,PLAY,Buffering-Play,0
32.1608700752,22,0,PLAY,StillPlaying,262537
34.161536932,24,0,BUFFERING,Play-Buffering,0
34.6002159119,24,1,BUFFERING,Writing,262537
34.6018929482,24,1,PLAY,Buffering-Play,0
34.6024880409,24,0,PLAY,StillPlaying,262537
36.6030650139,26,0,BUFFERING,Play-Buffering,0
37.7874069214,26,1,BUFFERING,Writing,262537
37.7890970707,26,1,PLAY,Buffering-Play,0
37.7896380424,26,0,PLAY,StillPlaying,262537
39.7902810574,28,0,BUFFERING,Play-Buffering,0
40.880147934,28,1,BUFFERING,Writing,262537
40.8820550442,28,1,PLAY,Buffering-Play,0
40.8826501369,28,0,PLAY,StillPlaying,262537
42.8833229542,30,0,BUFFERING,Play-Buffering,0
44.1654880047,30,1,BUFFERING,Writing,262537
44.167288065,30,1,PLAY,Buffering-Play,0
44.1680030823,30,0,PLAY,StillPlaying,262537
46.1686019897,32,0,BUFFERING,Play-Buffering,0
46.580024004,32,1,BUFFERING,Writing,89283
46.5816891193,32,1,PLAY,Buffering-Play,0
46.5822350979,32,0,PLAY,StillPlaying,89283
48.5829310417,34,0,BUFFERING,Play-Buffering,0
49.60678792,34,1,BUFFERING,Writing,262537
49.608506918,34,1,PLAY,Buffering-Play,0
49.6090819836,34,0,PLAY,StillPlaying,262537
51.6096470356,36,0,BUFFERING,Play-Buffering,0
52.6563680172,36,1,BUFFERING,Writing,262537
52.6582279205,36,1,PLAY,Buffering-Play,0
52.6587541103,36,0,PLAY,StillPlaying,262537
54.6594409943,38,0,BUFFERING,Play-Buffering,0
56.0727579594,38,1,BUFFERING,Writing,262537
56.0746209621,38,1,PLAY,Buffering-Play,0
56.0752370358,38,0,PLAY,StillPlaying,262537
58.0757739544,40,0,BUFFERING,Play-Buffering,0
59.2935581207,40,1,BUFFERING,Writing,262537
59.2952589989,40,1,PLAY,Buffering-Play,0
59.2957849503,40,0,PLAY,StillPlaying,262537
61.2963480949,42,0,BUFFERING,Play-Buffering,0
62.8395121098,42,1,BUFFERING,Writing,262537
62.8412771225,42,1,PLAY,Buffering-Play,0
62.8418579102,42,0,PLAY,StillPlaying,262537
64.8426029682,44,0,BUFFERING,Play-Buffering,0
66.015171051,44,1,BUFFERING,Writing,262537
66.0170240402,44,1,PLAY,Buffering-Play,0
66.017660141,44,0,PLAY,StillPlaying,262537
68.0181720257,46,0,BUFFERING,Play-Buffering,0
69.2037930489,46,1,BUFFERING,Writing,262537
69.2056500912,46,1,PLAY,Buffering-Play,0
69.2062349319,46,0,PLAY,StillPlaying,262537
70.3915650845,47,1,PLAY,Writing,89283
71.2065451145,48,0,PLAY,StillPlaying,89283
72.1760139465,48,1,PLAY,Writing,89283
73.2070100307,50,0,PLAY,StillPlaying,89283
75.2075150013,52,0,BUFFERING,Play-Buffering,0
75.3580961227,52,1,BUFFERING,Writing,262537
75.362154007,52,1,PLAY,Buffering-Play,0
75.3634159565,52,0,PLAY,StillPlaying,262537
77.3640720844,54,0,BUFFERING,Play-Buffering,0
78.6563880444,54,1,BUFFERING,Writing,262537
78.6609930992,54,1,PLAY,Buffering-Play,0
78.662348032,54,0,PLAY,StillPlaying,262537
80.6633489132,56,0,BUFFERING,Play-Buffering,0
82.3224260807,56,1,BUFFERING,Writing,262537
82.3242270947,56,1,PLAY,Buffering-Play,0
82.324846983,56,0,PLAY,StillPlaying,262537
84.325469017,58,0,BUFFERING,Play-Buffering,0
84.7095010281,58,1,BUFFERING,Writing,262537
84.7112381458,58,1,PLAY,Buffering-Play,0
84.7118310928,58,0,PLAY,StillPlaying,262537
85.829654932,59,1,PLAY,Writing,89283
86.7121441364,60,0,PLAY,StillPlaying,89283
88.2455589771,61,1,PLAY,Writing,262537
88.712141037,62,0,PLAY,StillPlaying,262537
90.7124099731,64,0,BUFFERING,Play-Buffering,0
91.1625859737,64,1,BUFFERING,Writing,262537
91.1668589115,64,1,PLAY,Buffering-Play,0
91.1681640148,64,0,PLAY,StillPlaying,262537
93.1698999405,66,0,BUFFERING,Play-Buffering,0
93.7553119659,66,1,BUFFERING,Writing,262537
93.7570729256,66,1,PLAY,Buffering-Play,0
93.7576470375,66,0,PLAY,StillPlaying,262537
95.7578511238,68,0,BUFFERING,Play-Buffering,0
97.6036090851,68,1,BUFFERING,Writing,262537
97.6054110527,68,1,PLAY,Buffering-Play,0
97.6060020924,68,0,PLAY,StillPlaying,262537
99.6066141129,70,0,BUFFERING,Play-Buffering,0
100.790755033,70,1,BUFFERING,Writing,262537
100.793179989,70,1,PLAY,Buffering-Play,0
100.793766022,70,0,PLAY,StillPlaying,262537
102.794403076,72,0,BUFFERING,Play-Buffering,0
103.12116909,72,1,BUFFERING,Writing,262537
103.123058081,72,1,PLAY,Buffering-Play,0
103.123613119,72,0,PLAY,StillPlaying,262537
105.124217033,74,0,BUFFERING,Play-Buffering,0
105.672521114,74,1,BUFFERING,Writing,262537
105.674597025,74,1,PLAY,Buffering-Play,0
105.675220966,74,0,PLAY,StillPlaying,262537
107.675817966,76,0,BUFFERING,Play-Buffering,0
108.05605197,76,1,BUFFERING,Writing,89283
108.058097124,76,1,PLAY,Buffering-Play,0
108.058689117,76,0,PLAY,StillPlaying,89283
110.059283972,78,0,BUFFERING,Play-Buffering,0
