EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0,0,INITIAL_BUFFERING,Starting,0
0,0,0,INITIAL_BUFFERING,Starting,0
0.000535011291504,0,1,INITIAL_BUFFERING,Writing,89283
0.00520706176758,0,1,PLAY,InitialBuffering-Play,0
0.00691890716553,0,0,PLAY,StillPlaying,89283
1.19515800476,1,1,PLAY,Writing,262537
2.00783491135,2,0,PLAY,StillPlaying,262537
2.15131187439,2,1,PLAY,Writing,262537
3.26826691628,3,2,PLAY,Writing,262537
4.00783085823,4,1,PLAY,StillPlaying,262537
4.38335704803,4,2,PLAY,Writing,262537
5.49891591072,5,3,PLAY,Writing,262537
6.00794887543,6,2,PLAY,StillPlaying,262537
6.62899208069,6,3,PLAY,Writing,262537
7.58049201965,7,4,PLAY,Writing,262537
8.00788593292,8,3,PLAY,StillPlaying,262537
8.79548788071,8,4,PLAY,Writing,262537
9.75370192528,9,5,PLAY,Writing,262537
10.0078258514,10,4,PLAY,StillPlaying,262537
10.6015460491,10,5,PLAY,Writing,262537
11.5250980854,11,6,PLAY,Writing,262537
12.0078370571,12,5,PLAY,StillPlaying,262537
12.3599190712,12,6,PLAY,Writing,262537
13.4391820431,13,7,PLAY,Writing,262537
14.0078320503,14,6,PLAY,StillPlaying,262537
14.5201740265,14,7,PLAY,Writing,262537
15.6338400841,15,8,PLAY,Writing,262537
16.0079469681,16,7,PLAY,StillPlaying,262537
16.7976238728,16,8,PLAY,Writing,262537
17.7999429703,17,9,PLAY,Writing,262537
18.0078370571,18,8,PLAY,StillPlaying,262537
18.8701188564,18,9,PLAY,Writing,262537
19.9630968571,19,10,PLAY,Writing,262537
20.0078279972,20,9,PLAY,StillPlaying,262537
21.0850038528,21,10,PLAY,Writing,262537
22.0078668594,22,9,PLAY,StillPlaying,262537
22.2268159389,22,10,PLAY,Writing,262537
23.3320529461,23,11,PLAY,Writing,262537
24.0078380108,24,10,PLAY,StillPlaying,262537
26.0079400539,26,9,PLAY,StillPlaying,262537
26.3856799603,26,10,PLAY,Writing,262537
27.5305230618,27,11,PLAY,Writing,262537
28.0078320503,28,10,PLAY,StillPlaying,262537
30.0078969002,30,9,PLAY,StillPlaying,262537
30.6395728588,30,10,PLAY,Writing,262537
31.7293288708,31,11,PLAY,Writing,262537
32.0494980812,32,10,PLAY,StillPlaying,262537
34.0078990459,34,9,PLAY,StillPlaying,262537
34.8151490688,34,10,PLAY,Writing,262537
35.9398479462,35,11,PLAY,Writing,262537
36.0078270435,36,10,PLAY,StillPlaying,262537
38.007930994,38,9,PLAY,StillPlaying,262537
38.779859066,38,10,PLAY,Writing,262537
39.5474748611,39,11,PLAY,Writing,262537
40.0078279972,40,10,PLAY,StillPlaying,262537
42.0079009533,42,9,PLAY,StillPlaying,262537
42.392127037,42,10,PLAY,Writing,262537
43.4177958965,43,11,PLAY,Writing,262537
44.0078380108,44,10,PLAY,StillPlaying,262537
46.0079209805,46,9,PLAY,StillPlaying,262537
46.3041779995,46,10,PLAY,Writing,262537
47.4136638641,47,11,PLAY,Writing,262537
48.0078270435,48,10,PLAY,StillPlaying,262537
50.0079240799,50,9,PLAY,StillPlaying,262537
50.4591400623,50,10,PLAY,Writing,262537
51.2601978779,51,11,PLAY,Writing,262537
52.007874012,52,10,PLAY,StillPlaying,262537
54.0078949928,54,9,PLAY,StillPlaying,262537
54.1058559418,54,10,PLAY,Writing,262537
55.3198640347,55,11,PLAY,Writing,262537
56.0079369545,56,10,PLAY,StillPlaying,262537
58.0083229542,58,9,PLAY,StillPlaying,262537
58.3745410442,58,10,PLAY,Writing,262537
59.6596200466,59,11,PLAY,Writing,262537
60.0078270435,60,10,PLAY,StillPlaying,262537
62.007901907,62,9,PLAY,StillPlaying,262537
62.6278078556,62,10,PLAY,Writing,262537
63.7761800289,63,11,PLAY,Writing,262537
64.0078220367,64,10,PLAY,StillPlaying,262537
66.0079710484,66,9,PLAY,StillPlaying,262537
66.5774440765,66,10,PLAY,Writing,262537
67.7056679726,67,11,PLAY,Writing,262537
68.0078930855,68,10,PLAY,StillPlaying,262537
70.0082850456,70,9,PLAY,StillPlaying,262537
70.4891579151,70,10,PLAY,Writing,262537
71.4121990204,71,11,PLAY,Writing,262537
72.0083210468,72,10,PLAY,StillPlaying,262537
74.0083220005,74,9,PLAY,StillPlaying,262537
74.1574568748,74,10,PLAY,Writing,262537
75.1941249371,75,11,PLAY,Writing,262537
76.0079159737,76,10,PLAY,StillPlaying,262537
78.0083339214,78,9,PLAY,StillPlaying,262537
78.2645030022,78,10,PLAY,Writing,262537
79.0573198795,79,11,PLAY,Writing,262537
80.0083448887,80,10,PLAY,StillPlaying,262537
81.8630170822,81,11,PLAY,Writing,262537
82.0079090595,82,10,PLAY,StillPlaying,262537
84.0081009865,84,9,PLAY,StillPlaying,262537
84.870210886,84,10,PLAY,Writing,262537
85.8591248989,85,11,PLAY,Writing,262537
86.0078880787,86,10,PLAY,StillPlaying,262537
88.0078930855,88,9,PLAY,StillPlaying,262537
88.9093170166,88,10,PLAY,Writing,262537
89.837127924,89,11,PLAY,Writing,262537
90.0078399181,90,10,PLAY,StillPlaying,262537
92.0079209805,92,9,PLAY,StillPlaying,262537
92.8558409214,92,10,PLAY,Writing,262537
93.9639480114,93,11,PLAY,Writing,262537
94.0078320503,94,10,PLAY,StillPlaying,262537
96.0079109669,96,9,PLAY,StillPlaying,262537
96.9747309685,96,10,PLAY,Writing,262537
98.085105896,98,9,PLAY,StillPlaying,262537
98.0945050716,98,10,PLAY,Writing,262537
99.1179709435,99,11,PLAY,Writing,262537
100.007824898,100,10,PLAY,StillPlaying,262537
102.00830102,102,9,PLAY,StillPlaying,262537
102.124221087,102,10,PLAY,Writing,262537
103.231580973,103,11,PLAY,Writing,262537
104.007910013,104,10,PLAY,StillPlaying,262537
106.007894039,106,9,PLAY,StillPlaying,262537
106.198318005,106,10,PLAY,Writing,262537
107.26205802,107,11,PLAY,Writing,262537
108.007833958,108,10,PLAY,StillPlaying,262537
110.007926941,110,9,PLAY,StillPlaying,262537
110.268193007,110,10,PLAY,Writing,262537
111.36962986,111,11,PLAY,Writing,262537
112.007835865,112,10,PLAY,StillPlaying,262537
114.007960081,114,9,PLAY,StillPlaying,262537
114.414210081,114,10,PLAY,Writing,262537
115.501461983,115,11,PLAY,Writing,262537
116.007830858,116,10,PLAY,StillPlaying,262537
118.0078969,118,9,PLAY,StillPlaying,262537
118.549465895,118,10,PLAY,Writing,262537
119.696013927,119,11,PLAY,Writing,262537
120.007825851,120,10,PLAY,StillPlaying,262537
122.007989883,122,9,PLAY,StillPlaying,262537
122.801862001,122,10,PLAY,Writing,262537
123.952702999,123,11,PLAY,Writing,262537
124.007840872,124,10,PLAY,StillPlaying,262537
126.007983923,126,9,PLAY,StillPlaying,262537
126.962025881,126,10,PLAY,Writing,262537
127.95669508,127,11,PLAY,Writing,262537
128.007835865,128,10,PLAY,StillPlaying,262537
130.007894039,130,9,PLAY,StillPlaying,262537
130.842251062,130,10,PLAY,Writing,262537
131.819791079,131,11,PLAY,Writing,262537
132.007906914,132,10,PLAY,StillPlaying,262537
134.007936954,134,9,PLAY,StillPlaying,262537
134.873761892,134,10,PLAY,Writing,262537
135.884151936,135,11,PLAY,Writing,262537
136.007833004,136,10,PLAY,StillPlaying,262537
138.007880926,138,9,PLAY,StillPlaying,262537
138.794628859,138,10,PLAY,Writing,262537
139.872614861,139,11,PLAY,Writing,262537
140.007827997,140,10,PLAY,StillPlaying,262537
142.007885933,142,9,PLAY,StillPlaying,262537
142.842216015,142,10,PLAY,Writing,262537
