EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0,0,INITIAL_BUFFERING,Starting,0
0,0,0,INITIAL_BUFFERING,Starting,0
0.000530958175659,0,1,INITIAL_BUFFERING,Writing,89283
0.0051748752594,0,1,PLAY,InitialBuffering-Play,0
0.00634789466858,0,0,PLAY,StillPlaying,89283
2.00795292854,2,0,BUFFERING,Play-Buffering,0
2.29646992683,2,1,BUFFERING,Writing,791182
2.30118608475,2,1,PLAY,Buffering-Play,0
2.30264306068,2,0,PLAY,StillPlaying,791182
2.99799799919,2,1,PLAY,Writing,262537
3.830108881,3,2,PLAY,Writing,262537
4.30321907997,4,1,PLAY,StillPlaying,262537
4.66088986397,4,2,PLAY,Writing,262537
5.51942586899,5,3,PLAY,Writing,262537
6.30333209038,6,2,PLAY,StillPlaying,262537
6.41799688339,6,3,PLAY,Writing,262537
7.17290306091,6,4,PLAY,Writing,262537
8.03258895874,7,5,PLAY,Writing,262537
8.30358600616,8,4,PLAY,StillPlaying,262537
8.75171804428,8,5,PLAY,Writing,262537
9.35804200172,9,6,PLAY,Writing,262537
10.0457940102,9,7,PLAY,Writing,262537
10.303196907,10,6,PLAY,StillPlaying,262537
10.6775848866,10,7,PLAY,Writing,262537
11.5383999348,11,8,PLAY,Writing,262537
12.3033459187,12,7,PLAY,StillPlaying,262537
12.3237378597,12,8,PLAY,Writing,262537
13.1707160473,12,9,PLAY,Writing,262537
13.9862549305,13,10,PLAY,Writing,262537
14.3032109737,14,9,PLAY,StillPlaying,262537
14.7242679596,14,10,PLAY,Writing,262537
15.5323760509,15,11,PLAY,Writing,262537
16.3032429218,16,10,PLAY,StillPlaying,262537
16.3688380718,16,11,PLAY,Writing,262537
17.2348470688,16,12,PLAY,Writing,262537
18.0624549389,17,13,PLAY,Writing,262537
18.3032319546,18,12,PLAY,StillPlaying,262537
18.8645699024,18,13,PLAY,Writing,262537
19.7199139595,19,14,PLAY,Writing,262537
20.3032770157,20,13,PLAY,StillPlaying,262537
20.5682508945,20,14,PLAY,Writing,262537
21.3788340092,21,15,PLAY,Writing,262537
22.1853618622,21,16,PLAY,Writing,262537
22.3031949997,22,15,PLAY,StillPlaying,262537
23.0830478668,22,16,PLAY,Writing,262537
23.8962059021,23,17,PLAY,Writing,262537
24.303262949,24,16,PLAY,StillPlaying,262537
24.5203530788,24,17,PLAY,Writing,262537
25.0715088844,24,18,PLAY,Writing,262537
25.7507328987,25,19,PLAY,Writing,262537
26.3032500744,26,18,PLAY,StillPlaying,262537
26.5062730312,26,19,PLAY,Writing,262537
27.2302310467,26,20,PLAY,Writing,262537
28.1144640446,27,21,PLAY,Writing,262537
28.3032519817,28,20,PLAY,StillPlaying,262537
28.9306828976,28,21,PLAY,Writing,262537
29.5456838608,29,22,PLAY,Writing,262537
30.2257680893,29,23,PLAY,Writing,262537
30.3032360077,30,22,PLAY,StillPlaying,262537
31.0271270275,30,23,PLAY,Writing,262537
31.8681359291,31,24,PLAY,Writing,262537
32.3032140732,32,23,PLAY,StillPlaying,262537
32.7798190117,32,24,PLAY,Writing,262537
33.5350458622,33,25,PLAY,Writing,262537
34.3032019138,34,24,PLAY,StillPlaying,262537
34.4318749905,34,25,PLAY,Writing,262537
35.0479309559,34,26,PLAY,Writing,262537
35.9076659679,35,27,PLAY,Writing,262537
36.3032009602,36,26,PLAY,StillPlaying,262537
36.5387458801,36,27,PLAY,Writing,262537
37.1880168915,36,28,PLAY,Writing,262537
37.8040339947,37,29,PLAY,Writing,262537
38.3031949997,38,28,PLAY,StillPlaying,262537
38.5746178627,38,29,PLAY,Writing,262537
39.3991708755,39,30,PLAY,Writing,262537
39.9987940788,39,31,PLAY,Writing,262537
40.303196907,40,30,PLAY,StillPlaying,262537
40.7570688725,40,31,PLAY,Writing,262537
41.5323009491,41,32,PLAY,Writing,262537
42.3631289005,42,31,PLAY,StillPlaying,262537
44.1341979504,43,32,PLAY,Writing,791182
44.3032009602,44,31,PLAY,StillPlaying,262537
46.3032279015,46,30,PLAY,StillPlaying,262537
47.0612020493,46,31,PLAY,Writing,791182
47.7892949581,47,32,PLAY,Writing,262537
48.3032338619,48,31,PLAY,StillPlaying,262537
50.2336170673,49,32,PLAY,Writing,791182
50.3031849861,50,31,PLAY,StillPlaying,262537
52.3372919559,52,30,PLAY,StillPlaying,262537
53.3242459297,53,31,PLAY,Writing,791182
54.0938448906,53,32,PLAY,Writing,262537
54.3033869267,54,31,PLAY,StillPlaying,262537
56.303262949,56,30,PLAY,StillPlaying,262537
57.2581510544,56,31,PLAY,Writing,791182
58.1334969997,57,32,PLAY,Writing,262537
58.3032069206,58,31,PLAY,StillPlaying,262537
60.3032660484,60,30,PLAY,StillPlaying,262537
61.3461248875,61,31,PLAY,Writing,791182
62.2119948864,61,32,PLAY,Writing,262537
62.303194046,62,31,PLAY,StillPlaying,262537
64.303301096,64,30,PLAY,StillPlaying,262537
64.9283659458,64,31,PLAY,Writing,791182
65.7345340252,65,32,PLAY,Writing,262537
66.3031830788,66,31,PLAY,StillPlaying,262537
68.3033108711,68,30,PLAY,StillPlaying,262537
69.2056529522,68,31,PLAY,Writing,791182
70.0494968891,69,32,PLAY,Writing,262537
70.3032009602,70,31,PLAY,StillPlaying,262537
72.3032538891,72,30,PLAY,StillPlaying,262537
73.5310909748,73,31,PLAY,Writing,791182
74.3032090664,74,30,PLAY,StillPlaying,262537
74.3975498676,74,31,PLAY,Writing,262537
75.333411932,75,32,PLAY,Writing,262537
76.3032159805,76,31,PLAY,StillPlaying,262537
78.3033099174,78,30,PLAY,StillPlaying,262537
78.7596540451,78,31,PLAY,Writing,791182
79.651679039,79,32,PLAY,Writing,262537
80.3036239147,80,31,PLAY,StillPlaying,262537
82.3032720089,82,30,PLAY,StillPlaying,262537
83.4867620468,83,31,PLAY,Writing,791182
84.2862970829,83,32,PLAY,Writing,262537
84.3031990528,84,31,PLAY,StillPlaying,262537
86.3032810688,86,30,PLAY,StillPlaying,262537
86.4469978809,86,31,PLAY,Writing,791182
87.1586019993,86,32,PLAY,Writing,262537
88.3033130169,88,31,PLAY,StillPlaying,262537
89.387032032,89,32,PLAY,Writing,791182
90.3032810688,90,31,PLAY,StillPlaying,262537
91.8825690746,91,32,PLAY,Writing,791182
92.3032019138,92,31,PLAY,StillPlaying,262537
94.3033220768,94,30,PLAY,StillPlaying,262537
94.6235380173,94,31,PLAY,Writing,791182
95.3732039928,95,32,PLAY,Writing,262537
96.3032579422,96,31,PLAY,StillPlaying,262537
98.1964840889,97,32,PLAY,Writing,791182
98.3031978607,98,31,PLAY,StillPlaying,262537
100.303307056,100,30,PLAY,StillPlaying,262537
101.501420021,101,31,PLAY,Writing,791182
102.276866913,101,32,PLAY,Writing,262537
102.303227901,102,31,PLAY,StillPlaying,262537
104.303704977,104,30,PLAY,StillPlaying,262537
105.652999878,105,31,PLAY,Writing,791182
106.303641081,106,30,PLAY,StillPlaying,791182
106.357070923,106,31,PLAY,Writing,262537
107.230069876,106,32,PLAY,Writing,262537
108.303678989,108,31,PLAY,StillPlaying,791182
109.201408863,108,32,PLAY,Writing,791182
110.303714991,110,31,PLAY,StillPlaying,262537
112.298034906,111,32,PLAY,Writing,791182
112.30321002,112,31,PLAY,StillPlaying,791182
114.303734064,114,30,PLAY,StillPlaying,791182
115.605078936,115,31,PLAY,Writing,791182
116.303637028,116,30,PLAY,StillPlaying,262537
116.608035088,116,31,PLAY,Writing,262537
117.408025026,117,32,PLAY,Writing,262537
118.30369401,118,31,PLAY,StillPlaying,791182
120.303265095,120,30,PLAY,StillPlaying,262537
