EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0,0,INITIAL_BUFFERING,Starting,0
0,0,0,INITIAL_BUFFERING,Starting,0
0.000712871551514,0,1,INITIAL_BUFFERING,Writing,89283
0.0067720413208,0,1,PLAY,InitialBuffering-Play,0
0.00871396064758,0,0,PLAY,StillPlaying,89283
1.12881183624,1,1,PLAY,Writing,89283
2.00941491127,1,2,PLAY,Writing,89283
2.01242494583,2,1,PLAY,StillPlaying,89283
3.1441180706,3,2,PLAY,Writing,89283
4.0120639801,4,1,PLAY,StillPlaying,89283
4.09956502914,4,2,PLAY,Writing,89283
5.22145199776,5,3,PLAY,Writing,89283
6.0119998455,6,2,PLAY,StillPlaying,89283
6.53678894043,6,3,PLAY,Writing,89283
7.49088406563,7,4,PLAY,Writing,89283
8.01206994057,8,3,PLAY,StillPlaying,89283
8.55690598488,8,4,PLAY,Writing,89283
9.55691504478,9,5,PLAY,Writing,89283
10.0120129585,10,4,PLAY,StillPlaying,89283
10.6249239445,10,5,PLAY,Writing,89283
11.7982120514,11,6,PLAY,Writing,89283
12.0120019913,12,5,PLAY,StillPlaying,89283
12.6958148479,12,6,PLAY,Writing,89283
13.536908865,13,7,PLAY,Writing,89283
14.0120439529,14,6,PLAY,StillPlaying,89283
14.6820950508,14,7,PLAY,Writing,89283
15.8568570614,15,8,PLAY,Writing,89283
16.0120148659,16,7,PLAY,StillPlaying,89283
16.9360499382,16,8,PLAY,Writing,89283
17.9791619778,17,9,PLAY,Writing,89283
18.0124030113,18,8,PLAY,StillPlaying,89283
18.9422998428,18,9,PLAY,Writing,89283
20.0120210648,20,8,PLAY,StillPlaying,89283
20.0624990463,20,9,PLAY,Writing,89283
21.2398478985,21,10,PLAY,Writing,89283
22.012018919,22,9,PLAY,StillPlaying,89283
22.1993038654,22,10,PLAY,Writing,89283
23.1268160343,23,11,PLAY,Writing,89283
24.0121369362,24,10,PLAY,StillPlaying,89283
24.1339478493,24,11,PLAY,Writing,89283
25.2472670078,25,12,PLAY,Writing,89283
26.0120279789,26,11,PLAY,StillPlaying,89283
26.2524478436,26,12,PLAY,Writing,89283
27.3599619865,27,13,PLAY,Writing,89283
28.0125510693,28,12,PLAY,StillPlaying,89283
28.1628279686,28,13,PLAY,Writing,89283
29.3546299934,29,14,PLAY,Writing,89283
30.0120749474,30,13,PLAY,StillPlaying,89283
30.2896869183,30,14,PLAY,Writing,89283
31.2645289898,31,15,PLAY,Writing,89283
32.0120170116,32,14,PLAY,StillPlaying,89283
32.1958608627,32,15,PLAY,Writing,89283
33.2070019245,33,16,PLAY,Writing,89283
34.0120439529,34,15,PLAY,StillPlaying,89283
34.1633639336,34,16,PLAY,Writing,89283
35.033728838,35,17,PLAY,Writing,89283
36.0120480061,36,16,PLAY,StillPlaying,89283
36.3809769154,36,17,PLAY,Writing,89283
37.2809638977,37,18,PLAY,Writing,89283
38.0120990276,38,17,PLAY,StillPlaying,89283
38.1441369057,38,18,PLAY,Writing,89283
39.2093219757,39,19,PLAY,Writing,89283
40.0120210648,40,18,PLAY,StillPlaying,89283
40.2527248859,40,19,PLAY,Writing,89283
41.4601340294,41,20,PLAY,Writing,89283
42.0121309757,42,19,PLAY,StillPlaying,89283
42.4178359509,42,20,PLAY,Writing,89283
43.5433628559,43,21,PLAY,Writing,89283
44.0120069981,44,20,PLAY,StillPlaying,89283
44.5127949715,44,21,PLAY,Writing,89283
45.6115980148,45,22,PLAY,Writing,89283
46.0120048523,46,21,PLAY,StillPlaying,89283
46.5166099072,46,22,PLAY,Writing,89283
47.4239058495,47,23,PLAY,Writing,89283
48.0120549202,48,22,PLAY,StillPlaying,89283
48.3402588367,48,23,PLAY,Writing,89283
49.3079049587,49,24,PLAY,Writing,89283
50.0120210648,50,23,PLAY,StillPlaying,89283
50.4942438602,50,24,PLAY,Writing,89283
51.4171149731,51,25,PLAY,Writing,89283
52.0120148659,52,24,PLAY,StillPlaying,89283
52.243295908,52,25,PLAY,Writing,89283
53.269785881,53,26,PLAY,Writing,89283
54.0119869709,54,25,PLAY,StillPlaying,89283
54.24051404,54,26,PLAY,Writing,89283
55.29073596,55,27,PLAY,Writing,89283
56.0120499134,56,26,PLAY,StillPlaying,89283
56.4081280231,56,27,PLAY,Writing,89283
57.4837770462,57,28,PLAY,Writing,89283
58.0120520592,58,27,PLAY,StillPlaying,89283
58.5329618454,58,28,PLAY,Writing,89283
59.4967329502,59,29,PLAY,Writing,89283
60.0120229721,60,28,PLAY,StillPlaying,89283
60.6129589081,60,29,PLAY,Writing,89283
61.6588439941,61,30,PLAY,Writing,89283
62.0120198727,62,29,PLAY,StillPlaying,89283
62.5786159039,62,30,PLAY,Writing,89283
63.6781659126,63,31,PLAY,Writing,89283
64.0120048523,64,30,PLAY,StillPlaying,89283
64.62864995,64,31,PLAY,Writing,89283
65.4864368439,65,32,PLAY,Writing,89283
66.0120558739,66,31,PLAY,StillPlaying,89283
66.5135829449,66,32,PLAY,Writing,89283
67.4567480087,67,33,PLAY,Writing,89283
68.0120229721,68,32,PLAY,StillPlaying,89283
68.2875480652,68,33,PLAY,Writing,89283
69.3678238392,69,34,PLAY,Writing,89283
70.0120129585,70,33,PLAY,StillPlaying,89283
70.38149786,70,34,PLAY,Writing,89283
71.4472000599,71,35,PLAY,Writing,89283
72.012059927,72,34,PLAY,StillPlaying,89283
72.557505846,72,35,PLAY,Writing,89283
73.5960738659,73,36,PLAY,Writing,89283
74.0120198727,74,35,PLAY,StillPlaying,89283
74.5883898735,74,36,PLAY,Writing,89283
75.5043709278,75,37,PLAY,Writing,89283
76.0125050545,76,36,PLAY,StillPlaying,89283
76.3714849949,76,37,PLAY,Writing,89283
77.3908479214,77,38,PLAY,Writing,89283
78.0120060444,78,37,PLAY,StillPlaying,89283
78.4528598785,78,38,PLAY,Writing,89283
79.2441010475,79,39,PLAY,Writing,89283
80.0120079517,80,38,PLAY,StillPlaying,89283
80.4233138561,80,39,PLAY,Writing,89283
81.4013979435,81,40,PLAY,Writing,89283
82.053591013,82,39,PLAY,StillPlaying,89283
82.343957901,82,40,PLAY,Writing,89283
83.3579418659,83,41,PLAY,Writing,89283
84.0126440525,84,40,PLAY,StillPlaying,89283
84.3787019253,84,41,PLAY,Writing,89283
85.342345953,85,42,PLAY,Writing,89283
86.0120449066,86,41,PLAY,StillPlaying,89283
86.4679880142,86,42,PLAY,Writing,89283
87.3910398483,87,43,PLAY,Writing,89283
88.0120239258,88,42,PLAY,StillPlaying,89283
88.5029449463,88,43,PLAY,Writing,89283
89.5630378723,89,44,PLAY,Writing,89283
90.0120129585,90,43,PLAY,StillPlaying,89283
90.6071400642,90,44,PLAY,Writing,89283
91.6204898357,91,45,PLAY,Writing,89283
92.0124840736,92,44,PLAY,StillPlaying,89283
92.4639070034,92,45,PLAY,Writing,89283
93.7359280586,93,46,PLAY,Writing,89283
94.0125029087,94,45,PLAY,StillPlaying,89283
94.6174650192,94,46,PLAY,Writing,89283
95.86916399,95,47,PLAY,Writing,89283
96.012016058,96,46,PLAY,StillPlaying,89283
96.8774628639,96,47,PLAY,Writing,89283
97.6497108936,97,48,PLAY,Writing,89283
98.0119988918,98,47,PLAY,StillPlaying,89283
98.7810089588,98,48,PLAY,Writing,89283
99.9692909718,99,49,PLAY,Writing,89283
100.012006044,100,48,PLAY,StillPlaying,89283
100.904322863,100,49,PLAY,Writing,89283
101.966268063,101,50,PLAY,Writing,89283
102.011914015,102,49,PLAY,StillPlaying,89283
102.943269014,102,50,PLAY,Writing,89283
103.935839891,103,51,PLAY,Writing,89283
