EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0,0,INITIAL_BUFFERING,Starting,0
0,0,0,INITIAL_BUFFERING,Starting,0
0.000679969787598,0,1,INITIAL_BUFFERING,Writing,89283
0.00545907020569,0,1,PLAY,InitialBuffering-Play,0
0.007404088974,0,0,PLAY,StillPlaying,89283
0.0687620639801,0,1,PLAY,Writing,262537.0
0.142370939255,0,2,PLAY,Writing,791182.0
0.618433952332,0,3,PLAY,Writing,2484135.0
1.54373407364,1,4,PLAY,Writing,4219897.0
2.00922703743,2,3,PLAY,StillPlaying,262537.0
2.75923895836,2,4,PLAY,Writing,4219897.0
3.55916905403,3,5,PLAY,Writing,4219897.0
4.00967097282,4,4,PLAY,StillPlaying,791182.0
4.43598508835,4,5,PLAY,Writing,4219897.0
5.30730605125,5,6,PLAY,Writing,4219897.0
5.5485830307,5,7,PLAY,Writing,4219897.0
5.7720079422,5,8,PLAY,Writing,4219897.0
6.00935101509,6,7,PLAY,StillPlaying,2484135.0
6.015198946,6,8,PLAY,Writing,4219897.0
6.37001800537,6,9,PLAY,Writing,4219897.0
6.97394108772,6,10,PLAY,Writing,4219897.0
7.40410494804,7,11,PLAY,Writing,4219897.0
8.00905609131,8,10,PLAY,StillPlaying,4219897.0
9.72977304459,9,11,PLAY,Writing,4219897.0
10.0084309578,10,10,PLAY,StillPlaying,4219897.0
11.9140329361,11,11,PLAY,Writing,4219897.0
12.0087170601,12,10,PLAY,StillPlaying,4219897.0
14.0092699528,14,9,PLAY,StillPlaying,4219897.0
14.0978910923,14,10,PLAY,Writing,4219897.0
14.2454049587,14,11,PLAY,Writing,4219897.0
16.0090250969,16,10,PLAY,StillPlaying,4219897.0
16.38478899,16,11,PLAY,Writing,4219897.0
18.0090060234,18,10,PLAY,StillPlaying,4219897.0
18.5175390244,18,11,PLAY,Writing,4219897.0
20.0090210438,20,10,PLAY,StillPlaying,4219897.0
20.6767880917,20,11,PLAY,Writing,4219897.0
22.0089609623,22,10,PLAY,StillPlaying,4219897.0
22.7613871098,22,11,PLAY,Writing,4219897.0
24.0089719296,24,10,PLAY,StillPlaying,4219897.0
24.9000310898,24,11,PLAY,Writing,4219897.0
26.0090811253,26,10,PLAY,StillPlaying,4219897.0
27.0039689541,26,11,PLAY,Writing,4219897.0
28.0089299679,28,10,PLAY,StillPlaying,4219897.0
29.2252969742,29,11,PLAY,Writing,4219897.0
30.0086510181,30,10,PLAY,StillPlaying,4219897.0
31.387417078,31,11,PLAY,Writing,4219897.0
32.0089931488,32,10,PLAY,StillPlaying,4219897.0
33.5415229797,33,11,PLAY,Writing,4219897.0
34.0090639591,34,10,PLAY,StillPlaying,4219897.0
35.7053749561,35,11,PLAY,Writing,4219897.0
36.0085670948,36,10,PLAY,StillPlaying,4219897.0
37.7507381439,37,11,PLAY,Writing,4219897.0
38.0085561275,38,10,PLAY,StillPlaying,4219897.0
39.7877709866,39,11,PLAY,Writing,4219897.0
40.0085060596,40,10,PLAY,StillPlaying,4219897.0
41.8446891308,41,11,PLAY,Writing,4219897.0
42.0083999634,42,10,PLAY,StillPlaying,4219897.0
43.912815094,43,11,PLAY,Writing,4219897.0
44.0084249973,44,10,PLAY,StillPlaying,4219897.0
45.9841361046,45,11,PLAY,Writing,4219897.0
46.0083889961,46,10,PLAY,StillPlaying,4219897.0
48.0085160732,48,9,PLAY,StillPlaying,4219897.0
48.0793781281,48,10,PLAY,Writing,4219897.0
48.1564071178,48,11,PLAY,Writing,4219897.0
50.0085980892,50,10,PLAY,StillPlaying,4219897.0
50.2186961174,50,11,PLAY,Writing,4219897.0
52.0085959435,52,10,PLAY,StillPlaying,4219897.0
52.2803890705,52,11,PLAY,Writing,4219897.0
54.0089869499,54,10,PLAY,StillPlaying,4219897.0
54.4234919548,54,11,PLAY,Writing,4219897.0
56.0088989735,56,10,PLAY,StillPlaying,4219897.0
56.6043069363,56,11,PLAY,Writing,4219897.0
58.0085809231,58,10,PLAY,StillPlaying,4219897.0
58.7976169586,58,11,PLAY,Writing,4219897.0
60.0089900494,60,10,PLAY,StillPlaying,4219897.0
60.8861310482,60,11,PLAY,Writing,4219897.0
62.0833261013,62,10,PLAY,StillPlaying,4219897.0
62.9542119503,62,11,PLAY,Writing,4219897.0
64.0085830688,64,10,PLAY,StillPlaying,4219897.0
64.986552,64,11,PLAY,Writing,4219897.0
66.0084431171,66,10,PLAY,StillPlaying,4219897.0
67.0346779823,67,11,PLAY,Writing,4219897.0
68.0086040497,68,10,PLAY,StillPlaying,4219897.0
69.1054120064,69,11,PLAY,Writing,4219897.0
70.0089559555,70,10,PLAY,StillPlaying,4219897.0
71.1792929173,71,11,PLAY,Writing,4219897.0
72.0174050331,72,10,PLAY,StillPlaying,4219897.0
73.2121050358,73,11,PLAY,Writing,4219897.0
74.0085890293,74,10,PLAY,StillPlaying,4219897.0
75.2676401138,75,11,PLAY,Writing,4219897.0
76.0087869167,76,10,PLAY,StillPlaying,4219897.0
77.3231401443,77,11,PLAY,Writing,4219897.0
78.0084600449,78,10,PLAY,StillPlaying,4219897.0
79.3733069897,79,11,PLAY,Writing,4219897.0
80.0085661411,80,10,PLAY,StillPlaying,4219897.0
81.4539749622,81,11,PLAY,Writing,4219897.0
82.0084741116,82,10,PLAY,StillPlaying,4219897.0
83.5255689621,83,11,PLAY,Writing,4219897.0
84.0085229874,84,10,PLAY,StillPlaying,4219897.0
85.5761449337,85,11,PLAY,Writing,4219897.0
86.0084290504,86,10,PLAY,StillPlaying,4219897.0
87.6252961159,87,11,PLAY,Writing,4219897.0
88.0084140301,88,10,PLAY,StillPlaying,4219897.0
89.6887640953,89,11,PLAY,Writing,4219897.0
90.0088219643,90,10,PLAY,StillPlaying,4219897.0
91.7601881027,91,11,PLAY,Writing,4219897.0
92.0088939667,92,10,PLAY,StillPlaying,4219897.0
93.8912940025,93,11,PLAY,Writing,4219897.0
94.008742094,94,10,PLAY,StillPlaying,4219897.0
95.9797289371,95,11,PLAY,Writing,4219897.0
96.0084171295,96,10,PLAY,StillPlaying,4219897.0
98.0089149475,98,9,PLAY,StillPlaying,4219897.0
98.0832509995,98,10,PLAY,Writing,4219897.0
98.2391719818,98,11,PLAY,Writing,4219897.0
100.008609056,100,10,PLAY,StillPlaying,4219897.0
100.347939014,100,11,PLAY,Writing,4219897.0
102.00861311,102,10,PLAY,StillPlaying,4219897.0
102.432140112,102,11,PLAY,Writing,4219897.0
104.008620977,104,10,PLAY,StillPlaying,4219897.0
104.493400097,104,11,PLAY,Writing,4219897.0
106.008584023,106,10,PLAY,StillPlaying,4219897.0
106.583580017,106,11,PLAY,Writing,4219897.0
108.009016991,108,10,PLAY,StillPlaying,4219897.0
108.656172037,108,11,PLAY,Writing,4219897.0
110.008602142,110,10,PLAY,StillPlaying,4219897.0
110.778641939,110,11,PLAY,Writing,4219897.0
112.008616924,112,10,PLAY,StillPlaying,4219897.0
112.864942074,112,11,PLAY,Writing,4219897.0
114.00860405,114,10,PLAY,StillPlaying,4219897.0
114.955171108,114,11,PLAY,Writing,4219897.0
116.008578062,116,10,PLAY,StillPlaying,4219897.0
117.037928104,117,11,PLAY,Writing,4219897.0
118.009006023,118,10,PLAY,StillPlaying,4219897.0
119.13142395,119,11,PLAY,Writing,4219897.0
120.008589983,120,10,PLAY,StillPlaying,4219897.0
121.216874123,121,11,PLAY,Writing,4219897.0
122.008609056,122,10,PLAY,StillPlaying,4219897.0
123.31885314,123,11,PLAY,Writing,4219897.0
124.008557081,124,10,PLAY,StillPlaying,4219897.0
125.389001131,125,11,PLAY,Writing,4219897.0
