EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0,0,INITIAL_BUFFERING,Starting,0
0,0,0,INITIAL_BUFFERING,Starting,0
0.000635862350464,0,1,INITIAL_BUFFERING,Writing,89283
0.00480198860168,0,1,PLAY,InitialBuffering-Play,0
0.00653696060181,0,0,PLAY,StillPlaying,89283
0.014967918396,0,1,PLAY,Writing,89283
0.0291218757629,0,2,PLAY,Writing,89283
0.673788070679,0,3,PLAY,Writing,262537
0.739075899124,0,4,PLAY,Writing,262537
0.806653022766,0,5,PLAY,Writing,262537
0.96581196785,0,6,PLAY,Writing,791182
2.00760698318,2,5,PLAY,StillPlaying,89283
2.7262339592,2,6,PLAY,Writing,791182
2.90701699257,2,7,PLAY,Writing,791182
4.00759100914,4,6,PLAY,StillPlaying,89283
4.69611096382,4,7,PLAY,Writing,791182
4.84914302826,4,8,PLAY,Writing,791182
6.00799107552,6,7,PLAY,StillPlaying,262537
6.55080509186,6,8,PLAY,Writing,791182
6.67527508736,6,9,PLAY,Writing,791182
8.00803899765,8,8,PLAY,StillPlaying,262537
8.59497499466,8,9,PLAY,Writing,791182
8.74751496315,8,10,PLAY,Writing,791182
10.0079898834,10,9,PLAY,StillPlaying,262537
10.7463920116,10,10,PLAY,Writing,791182
12.007641077,12,9,PLAY,StillPlaying,791182
14.008095026,14,8,PLAY,StillPlaying,791182
16.0080509186,16,7,PLAY,StillPlaying,791182
18.0076758862,18,6,PLAY,StillPlaying,791182
20.0076539516,20,5,PLAY,StillPlaying,791182
22.0080418587,22,4,PLAY,StillPlaying,791182
24.0080499649,24,3,PLAY,StillPlaying,791182
26.0076160431,26,2,PLAY,StillPlaying,791182
28.0076549053,28,1,PLAY,StillPlaying,791182
29.2816948891,29,2,PLAY,Writing,4219897
29.715610981,29,3,PLAY,Writing,89283
29.9369149208,29,4,PLAY,Writing,89283
30.0075559616,30,3,PLAY,StillPlaying,791182
30.3265759945,30,4,PLAY,Writing,262537
30.4866950512,30,5,PLAY,Writing,262537
30.7231490612,30,6,PLAY,Writing,262537
30.9441199303,30,7,PLAY,Writing,262537
32.0077180862,32,6,PLAY,StillPlaying,4219897
32.2657239437,32,7,PLAY,Writing,791182
34.0075938702,34,6,PLAY,StillPlaying,89283
36.0076670647,36,5,PLAY,StillPlaying,89283
37.3639900684,37,6,PLAY,Writing,791182
37.5351440907,37,7,PLAY,Writing,262537
37.6034748554,37,8,PLAY,Writing,262537
38.0079278946,38,7,PLAY,StillPlaying,262537
38.2766339779,38,8,PLAY,Writing,262537
38.3713719845,38,9,PLAY,Writing,262537
38.9234340191,38,10,PLAY,Writing,262537
38.9896390438,38,11,PLAY,Writing,262537
39.0976409912,39,12,PLAY,Writing,791182
40.0076770782,40,11,PLAY,StillPlaying,262537
42.0076830387,42,10,PLAY,StillPlaying,262537
44.0076198578,44,9,PLAY,StillPlaying,262537
44.3050498962,44,10,PLAY,Writing,791182
44.4699048996,44,11,PLAY,Writing,791182
46.0076398849,46,10,PLAY,StillPlaying,791182
48.0076608658,48,9,PLAY,StillPlaying,791182
50.007694006,50,8,PLAY,StillPlaying,262537
52.0076248646,52,7,PLAY,StillPlaying,262537
54.0076150894,54,6,PLAY,StillPlaying,262537
54.3147349358,54,7,PLAY,Writing,4219897
54.9473099709,54,8,PLAY,Writing,791182
55.5445199013,55,9,PLAY,Writing,791182
55.6755170822,55,10,PLAY,Writing,791182
56.0074899197,56,9,PLAY,StillPlaying,262537
57.9128530025,57,10,PLAY,Writing,791182
58.0075240135,58,9,PLAY,StillPlaying,262537
60.007652998,60,8,PLAY,StillPlaying,262537
62.0076398849,62,7,PLAY,StillPlaying,791182
64.0076599121,64,6,PLAY,StillPlaying,791182
66.0076439381,66,5,PLAY,StillPlaying,791182
68.0076329708,68,4,PLAY,StillPlaying,4219897
70.0076260567,70,3,PLAY,StillPlaying,791182
72.007682085,72,2,PLAY,StillPlaying,791182
74.0076379776,74,1,PLAY,StillPlaying,791182
74.6183378696,74,2,PLAY,Writing,791182
74.9617629051,74,3,PLAY,Writing,89283
75.4193179607,75,4,PLAY,Writing,89283
75.9411280155,75,5,PLAY,Writing,89283
76.0078470707,76,4,PLAY,StillPlaying,791182
76.2135689259,76,5,PLAY,Writing,89283
76.4532148838,76,6,PLAY,Writing,89283
76.661616087,76,7,PLAY,Writing,89283
77.1607339382,77,8,PLAY,Writing,262537
77.6355259418,77,9,PLAY,Writing,262537
77.6905450821,77,10,PLAY,Writing,262537
77.8106989861,77,11,PLAY,Writing,791182
78.0079779625,78,10,PLAY,StillPlaying,791182
80.00761199,80,9,PLAY,StillPlaying,89283
82.0076460838,82,8,PLAY,StillPlaying,89283
83.0695779324,83,9,PLAY,Writing,4219897
83.1921029091,83,10,PLAY,Writing,791182
83.3330850601,83,11,PLAY,Writing,791182
83.4677538872,83,12,PLAY,Writing,791182
84.0079879761,84,11,PLAY,StillPlaying,89283
86.0076329708,86,10,PLAY,StillPlaying,89283
87.509980917,87,11,PLAY,Writing,791182
87.5407979488,87,12,PLAY,Writing,791182
88.0079090595,88,11,PLAY,StillPlaying,89283
90.0076489449,90,10,PLAY,StillPlaying,89283
91.9972438812,91,11,PLAY,Writing,791182
92.0075218678,92,10,PLAY,StillPlaying,262537
94.0076580048,94,9,PLAY,StillPlaying,262537
96.0076580048,96,8,PLAY,StillPlaying,262537
98.0076398849,98,7,PLAY,StillPlaying,791182
100.007699966,100,6,PLAY,StillPlaying,4219897
101.598618984,101,7,PLAY,Writing,4219897
102.008004904,102,6,PLAY,StillPlaying,791182
102.307142019,102,7,PLAY,Writing,791182
102.968713045,102,8,PLAY,Writing,791182
103.679467916,103,9,PLAY,Writing,791182
103.98538208,103,10,PLAY,Writing,791182
104.007874012,104,9,PLAY,StillPlaying,791182
104.68285799,104,10,PLAY,Writing,791182
104.837236881,104,11,PLAY,Writing,791182
105.175895929,105,12,PLAY,Writing,2484135
106.008055925,106,11,PLAY,StillPlaying,791182
108.007647038,108,10,PLAY,StillPlaying,791182
110.181246042,110,9,PLAY,StillPlaying,791182
112.007900953,112,8,PLAY,StillPlaying,791182
114.007600069,114,7,PLAY,StillPlaying,4219897
116.007828951,116,6,PLAY,StillPlaying,791182
116.112395048,116,7,PLAY,Writing,2484135
116.297396898,116,8,PLAY,Writing,791182
116.456628084,116,9,PLAY,Writing,791182
116.629621029,116,10,PLAY,Writing,791182
117.079354048,117,11,PLAY,Writing,2484135
117.531028032,117,12,PLAY,Writing,2484135
118.007996082,118,11,PLAY,StillPlaying,791182
120.007708073,120,10,PLAY,StillPlaying,791182
121.69720006,121,11,PLAY,Writing,4219897
122.007902861,122,10,PLAY,StillPlaying,791182
124.007639885,124,9,PLAY,StillPlaying,791182
126.007632017,126,8,PLAY,StillPlaying,791182
128.007629871,128,7,PLAY,StillPlaying,2484135
130.007637978,130,6,PLAY,StillPlaying,2484135
131.82851696,131,7,PLAY,Writing,4219897
132.009238005,132,6,PLAY,StillPlaying,791182
132.054916859,132,7,PLAY,Writing,791182
132.431653023,132,8,PLAY,Writing,2484135
134.007611036,134,7,PLAY,StillPlaying,791182
136.007643938,136,6,PLAY,StillPlaying,791182
138.048786879,138,5,PLAY,StillPlaying,2484135
139.522449017,139,6,PLAY,Writing,2484135
140.007814884,140,5,PLAY,StillPlaying,2484135
141.015074015,141,6,PLAY,Writing,2484135
141.165205956,141,7,PLAY,Writing,791182
141.304666042,141,8,PLAY,Writing,791182
141.925410986,141,9,PLAY,Writing,791182
142.007778883,142,8,PLAY,StillPlaying,4219897
142.622204065,142,9,PLAY,Writing,791182
