EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0,0,INITIAL_BUFFERING,Starting,0
0,0,0,INITIAL_BUFFERING,Starting,0
0.000525951385498,0,1,INITIAL_BUFFERING,Writing,89283
0.00486898422241,0,1,PLAY,InitialBuffering-Play,0
0.00604295730591,0,0,PLAY,StillPlaying,89283
0.0179240703583,0,1,PLAY,Writing,89283
0.0408329963684,0,2,PLAY,Writing,262537
0.109425067902,0,3,PLAY,Writing,791182
0.201065063477,0,4,PLAY,Writing,791182
0.30079293251,0,5,PLAY,Writing,791182
0.390696048737,0,6,PLAY,Writing,791182
0.481938123703,0,7,PLAY,Writing,791182
0.580724954605,0,8,PLAY,Writing,791182
0.668828964233,0,9,PLAY,Writing,791182
0.746104955673,0,10,PLAY,Writing,791182
0.840208053589,0,11,PLAY,Writing,791182
0.913772106171,0,12,PLAY,Writing,791182
0.998912096024,0,13,PLAY,Writing,791182
1.08245205879,1,14,PLAY,Writing,791182
1.17275905609,1,15,PLAY,Writing,791182
1.2687189579,1,16,PLAY,Writing,791182
1.3724091053,1,17,PLAY,Writing,791182
1.48295593262,1,18,PLAY,Writing,791182
1.60144495964,1,19,PLAY,Writing,791182
1.65539908409,1,20,PLAY,Writing,791182
1.71085596085,1,21,PLAY,Writing,791182
1.76507902145,1,22,PLAY,Writing,791182
1.82333397865,1,23,PLAY,Writing,791182
1.86287903786,1,24,PLAY,Writing,791182
1.9563369751,1,25,PLAY,Writing,791182
2.00748991966,2,24,PLAY,StillPlaying,89283
2.05767202377,2,25,PLAY,Writing,791182
2.15933609009,2,26,PLAY,Writing,791182
3.41293001175,3,27,PLAY,Writing,791182
4.00727796555,4,26,PLAY,StillPlaying,262537
5.71111607552,5,27,PLAY,Writing,791182
6.00730395317,6,26,PLAY,StillPlaying,791182
6.40270495415,6,27,PLAY,Writing,791182
7.4013440609,7,28,PLAY,Writing,791182
8.00731897354,8,27,PLAY,StillPlaying,791182
9.01369094849,9,28,PLAY,Writing,791182
10.0073680878,10,27,PLAY,StillPlaying,791182
11.2709829807,11,28,PLAY,Writing,791182
12.0074009895,12,27,PLAY,StillPlaying,791182
13.4282090664,13,28,PLAY,Writing,791182
14.0072460175,14,27,PLAY,StillPlaying,791182
15.8677699566,15,28,PLAY,Writing,791182
16.0072889328,16,27,PLAY,StillPlaying,791182
18.0077540874,18,26,PLAY,StillPlaying,791182
18.2548179626,18,27,PLAY,Writing,791182
20.0072579384,20,26,PLAY,StillPlaying,791182
20.3524169922,20,27,PLAY,Writing,791182
21.367331028,21,28,PLAY,Writing,791182
22.0072700977,22,27,PLAY,StillPlaying,791182
22.520401001,22,28,PLAY,Writing,791182
23.7780089378,23,29,PLAY,Writing,791182
24.0073120594,24,28,PLAY,StillPlaying,791182
25.2311611176,25,29,PLAY,Writing,791182
26.0072820187,26,28,PLAY,StillPlaying,791182
26.0103180408,26,29,PLAY,Writing,791182
26.4028689861,26,30,PLAY,Writing,791182
27.3677480221,27,31,PLAY,Writing,791182
27.9202921391,27,32,PLAY,Writing,791182
28.0073540211,28,31,PLAY,StillPlaying,791182
28.2579009533,28,32,PLAY,Writing,2484135
30.0073211193,30,31,PLAY,StillPlaying,791182
30.1931331158,30,32,PLAY,Writing,2484135
32.0074169636,32,31,PLAY,StillPlaying,791182
32.4732589722,32,32,PLAY,Writing,2484135
34.0073471069,34,31,PLAY,StillPlaying,791182
36.0073680878,36,30,PLAY,StillPlaying,791182
37.3261539936,37,31,PLAY,Writing,2484135
38.0073339939,38,30,PLAY,StillPlaying,791182
38.7302250862,38,31,PLAY,Writing,791182
40.0073001385,40,30,PLAY,StillPlaying,791182
40.4258220196,40,31,PLAY,Writing,791182
42.0073139668,42,30,PLAY,StillPlaying,791182
42.2015080452,42,31,PLAY,Writing,791182
43.111230135,43,32,PLAY,Writing,791182
44.0072729588,44,31,PLAY,StillPlaying,791182
45.3728380203,45,32,PLAY,Writing,2484135
46.0072870255,46,31,PLAY,StillPlaying,791182
48.0073459148,48,30,PLAY,StillPlaying,791182
48.2631430626,48,31,PLAY,Writing,2484135
49.1325380802,49,32,PLAY,Writing,791182
50.0072910786,50,31,PLAY,StillPlaying,791182
52.0073199272,52,30,PLAY,StillPlaying,791182
52.9703290462,52,31,PLAY,Writing,2484135
53.8588500023,53,32,PLAY,Writing,791182
54.0072700977,54,31,PLAY,StillPlaying,791182
56.0073471069,56,30,PLAY,StillPlaying,791182
58.0072989464,58,29,PLAY,StillPlaying,791182
60.0073370934,60,28,PLAY,StillPlaying,791182
62.0073330402,62,27,PLAY,StillPlaying,791182
62.3313441277,62,28,PLAY,Writing,2484135
62.4157040119,62,29,PLAY,Writing,791182
63.6490719318,63,30,PLAY,Writing,791182
64.0076239109,64,29,PLAY,StillPlaying,791182
66.0073549747,66,28,PLAY,StillPlaying,791182
66.4356789589,66,29,PLAY,Writing,791182
67.2940649986,67,30,PLAY,Writing,791182
68.0076289177,68,29,PLAY,StillPlaying,791182
68.2151479721,68,30,PLAY,Writing,791182
69.1754739285,69,31,PLAY,Writing,791182
70.007682085,70,30,PLAY,StillPlaying,791182
72.0073211193,72,29,PLAY,StillPlaying,791182
72.1008570194,72,30,PLAY,Writing,791182
73.157818079,73,31,PLAY,Writing,791182
74.0077199936,74,30,PLAY,StillPlaying,791182
74.139674902,74,31,PLAY,Writing,791182
76.0077469349,76,30,PLAY,StillPlaying,791182
78.0073950291,78,29,PLAY,StillPlaying,791182
78.0428769588,78,30,PLAY,Writing,791182
79.026622057,79,31,PLAY,Writing,791182
80.0083429813,80,30,PLAY,StillPlaying,791182
80.0184500217,80,31,PLAY,Writing,791182
81.0538060665,81,32,PLAY,Writing,791182
82.0073759556,82,31,PLAY,StillPlaying,791182
84.0073800087,84,30,PLAY,StillPlaying,791182
86.0073459148,86,29,PLAY,StillPlaying,791182
87.0451879501,87,30,PLAY,Writing,2484135
87.9788980484,87,31,PLAY,Writing,791182
88.0072519779,88,30,PLAY,StillPlaying,791182
90.0073120594,90,29,PLAY,StillPlaying,791182
91.7070090771,91,30,PLAY,Writing,791182
92.0568749905,92,29,PLAY,StillPlaying,2484135
94.0073211193,94,28,PLAY,StillPlaying,2484135
96.0073421001,96,27,PLAY,StillPlaying,2484135
96.4431650639,96,28,PLAY,Writing,791182
97.4121339321,97,29,PLAY,Writing,791182
98.0075309277,98,28,PLAY,StillPlaying,2484135
100.007288933,100,27,PLAY,StillPlaying,791182
100.778734922,100,28,PLAY,Writing,791182
102.007354021,102,27,PLAY,StillPlaying,791182
104.007386923,104,26,PLAY,StillPlaying,791182
104.502846003,104,27,PLAY,Writing,791182
105.457807064,105,28,PLAY,Writing,791182
106.007249117,106,27,PLAY,StillPlaying,791182
108.007357121,108,26,PLAY,StillPlaying,2484135
109.153069019,109,27,PLAY,Writing,791182
110.007251978,110,26,PLAY,StillPlaying,2484135
112.00732708,112,25,PLAY,StillPlaying,791182
112.976635933,112,26,PLAY,Writing,791182
113.983644009,113,27,PLAY,Writing,791182
114.007285118,114,26,PLAY,StillPlaying,2484135
116.00729394,116,25,PLAY,StillPlaying,791182
117.879693985,117,26,PLAY,Writing,791182
118.007246971,118,25,PLAY,StillPlaying,2484135
118.981923103,118,26,PLAY,Writing,791182
120.007301092,120,25,PLAY,StillPlaying,791182
122.00773406,122,24,PLAY,StillPlaying,791182
122.644948006,122,25,PLAY,Writing,791182
123.441319942,123,26,PLAY,Writing,791182
124.055768967,124,25,PLAY,StillPlaying,791182
126.007297993,126,24,PLAY,StillPlaying,791182
127.299410105,127,25,PLAY,Writing,791182
