EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0,0,INITIAL_BUFFERING,Starting,0
0,0,0,INITIAL_BUFFERING,Starting,0
0.000619888305664,0,1,INITIAL_BUFFERING,Writing,89283
0.00525283813477,0,1,PLAY,InitialBuffering-Play,0
0.00687384605408,0,0,PLAY,StillPlaying,89283
0.515748023987,0,1,PLAY,Writing,89283.0
2.00797986984,2,0,PLAY,StillPlaying,89283.0
2.8895008564,2,1,PLAY,Writing,262537.0
4.00797796249,4,0,PLAY,StillPlaying,262537.0
4.15820503235,4,1,PLAY,Writing,89283.0
5.73593187332,5,2,PLAY,Writing,262537.0
6.00800800323,6,1,PLAY,StillPlaying,89283.0
7.22251200676,7,2,PLAY,Writing,89283.0
8.00838279724,8,1,PLAY,StillPlaying,262537.0
10.0080749989,10,0,PLAY,StillPlaying,89283.0
10.5157740116,10,1,PLAY,Writing,262537.0
12.0467188358,12,0,PLAY,StillPlaying,262537.0
12.4707868099,12,1,PLAY,Writing,89283.0
14.0084860325,14,0,PLAY,StillPlaying,89283.0
14.0304298401,14,1,PLAY,Writing,262537.0
14.962127924,14,2,PLAY,Writing,89283.0
16.0080268383,16,1,PLAY,StillPlaying,262537.0
16.201985836,16,2,PLAY,Writing,262537.0
18.0084519386,18,1,PLAY,StillPlaying,89283.0
18.130261898,18,2,PLAY,Writing,89283.0
19.4991497993,19,3,PLAY,Writing,262537.0
20.0079848766,20,2,PLAY,StillPlaying,262537.0
20.3975980282,20,3,PLAY,Writing,89283.0
22.0084269047,22,2,PLAY,StillPlaying,89283.0
22.1156740189,22,3,PLAY,Writing,262537.0
23.2376358509,23,4,PLAY,Writing,89283.0
24.0083799362,24,3,PLAY,StillPlaying,262537.0
25.8150680065,25,4,PLAY,Writing,262537.0
26.0080699921,26,3,PLAY,StillPlaying,89283.0
26.4939379692,26,4,PLAY,Writing,89283.0
28.04793787,28,3,PLAY,StillPlaying,262537.0
28.689442873,28,4,PLAY,Writing,262537.0
30.0079948902,30,3,PLAY,StillPlaying,89283.0
30.3432869911,30,4,PLAY,Writing,89283.0
31.9173820019,31,5,PLAY,Writing,262537.0
32.0083289146,32,4,PLAY,StillPlaying,262537.0
32.3864939213,32,5,PLAY,Writing,89283.0
34.0084488392,34,4,PLAY,StillPlaying,89283.0
36.0080289841,36,3,PLAY,StillPlaying,262537.0
36.8443188667,36,4,PLAY,Writing,262537.0
37.3888409138,37,5,PLAY,Writing,89283.0
38.0080089569,38,4,PLAY,StillPlaying,89283.0
39.4791889191,39,5,PLAY,Writing,262537.0
40.007999897,40,4,PLAY,StillPlaying,262537.0
42.0085058212,42,3,PLAY,StillPlaying,89283.0
42.4492499828,42,4,PLAY,Writing,89283.0
43.9407289028,43,5,PLAY,Writing,262537.0
44.0080800056,44,4,PLAY,StillPlaying,262537.0
44.418738842,44,5,PLAY,Writing,89283.0
46.0080850124,46,4,PLAY,StillPlaying,89283.0
46.1572978497,46,5,PLAY,Writing,262537.0
47.4683449268,47,6,PLAY,Writing,89283.0
48.0080518723,48,5,PLAY,StillPlaying,262537.0
49.7412629128,49,6,PLAY,Writing,262537.0
50.0079989433,50,5,PLAY,StillPlaying,89283.0
50.2125399113,50,6,PLAY,Writing,89283.0
52.00801301,52,5,PLAY,StillPlaying,262537.0
52.046836853,52,6,PLAY,Writing,262537.0
53.6071279049,53,7,PLAY,Writing,89283.0
54.0081210136,54,6,PLAY,StillPlaying,89283.0
56.0084729195,56,5,PLAY,StillPlaying,262537.0
56.5449049473,56,6,PLAY,Writing,262537.0
57.0860500336,57,7,PLAY,Writing,89283.0
58.0081119537,58,6,PLAY,StillPlaying,89283.0
58.2532520294,58,7,PLAY,Writing,262537.0
60.0081129074,60,6,PLAY,StillPlaying,262537.0
60.0621328354,60,7,PLAY,Writing,89283.0
62.0080339909,62,6,PLAY,StillPlaying,89283.0
63.1317138672,63,7,PLAY,Writing,262537.0
63.6621468067,63,8,PLAY,Writing,89283.0
64.0081129074,64,7,PLAY,StillPlaying,262537.0
65.3142528534,65,8,PLAY,Writing,262537.0
66.0081260204,66,7,PLAY,StillPlaying,89283.0
66.9883699417,66,8,PLAY,Writing,89283.0
68.0080759525,68,7,PLAY,StillPlaying,262537.0
69.7110869884,69,8,PLAY,Writing,262537.0
70.008054018,70,7,PLAY,StillPlaying,89283.0
71.9039099216,71,8,PLAY,Writing,89283.0
72.0080399513,72,7,PLAY,StillPlaying,262537.0
73.3530340195,73,8,PLAY,Writing,262537.0
74.0080139637,74,7,PLAY,StillPlaying,89283.0
74.140789032,74,8,PLAY,Writing,89283.0
75.2485659122,75,9,PLAY,Writing,262537.0
76.0080068111,76,8,PLAY,StillPlaying,262537.0
76.3682799339,76,9,PLAY,Writing,89283.0
77.6863079071,77,10,PLAY,Writing,262537.0
78.0084187984,78,9,PLAY,StillPlaying,89283.0
80.0084438324,80,8,PLAY,StillPlaying,262537.0
82.0085418224,82,7,PLAY,StillPlaying,89283.0
84.0081348419,84,6,PLAY,StillPlaying,262537.0
84.0934269428,84,7,PLAY,Writing,791182.0
85.2639348507,85,8,PLAY,Writing,89283.0
86.0084249973,86,7,PLAY,StillPlaying,89283.0
86.4506688118,86,8,PLAY,Writing,262537.0
87.0123929977,87,9,PLAY,Writing,89283.0
88.00801301,88,8,PLAY,StillPlaying,262537.0
88.9815459251,88,9,PLAY,Writing,262537.0
90.0080509186,90,8,PLAY,StillPlaying,89283.0
90.1468248367,90,9,PLAY,Writing,89283.0
91.5054228306,91,10,PLAY,Writing,262537.0
92.008054018,92,9,PLAY,StillPlaying,262537.0
92.0228359699,92,10,PLAY,Writing,89283.0
94.0080738068,94,9,PLAY,StillPlaying,89283.0
95.1863279343,95,10,PLAY,Writing,262537.0
95.96960783,95,11,PLAY,Writing,89283.0
96.0079889297,96,10,PLAY,StillPlaying,262537.0
98.0083138943,98,9,PLAY,StillPlaying,791182.0
99.7854528427,99,10,PLAY,Writing,262537.0
100.008198023,100,9,PLAY,StillPlaying,89283.0
100.252514839,100,10,PLAY,Writing,89283.0
101.814781904,101,11,PLAY,Writing,262537.0
102.008001804,102,10,PLAY,StillPlaying,262537.0
104.008443832,104,9,PLAY,StillPlaying,89283.0
104.428920984,104,10,PLAY,Writing,89283.0
105.910204887,105,11,PLAY,Writing,262537.0
106.007982969,106,10,PLAY,StillPlaying,262537.0
108.008425951,108,9,PLAY,StillPlaying,89283.0
110.008601904,110,8,PLAY,StillPlaying,262537.0
112.008490801,112,7,PLAY,StillPlaying,89283.0
113.243922949,113,8,PLAY,Writing,791182.0
114.008550882,114,7,PLAY,StillPlaying,262537.0
114.773211002,114,8,PLAY,Writing,262537.0
116.008430004,116,7,PLAY,StillPlaying,89283.0
118.008450985,118,6,PLAY,StillPlaying,262537.0
120.008438826,120,5,PLAY,StillPlaying,89283.0
120.553483009,120,6,PLAY,Writing,791182.0
121.016970873,121,7,PLAY,Writing,89283.0
122.008445024,122,6,PLAY,StillPlaying,262537.0
123.285202026,123,7,PLAY,Writing,262537.0
123.816385984,123,8,PLAY,Writing,89283.0
124.008004904,124,7,PLAY,StillPlaying,89283.0
125.494772911,125,8,PLAY,Writing,262537.0
126.008091927,126,7,PLAY,StillPlaying,262537.0
126.052932024,126,8,PLAY,Writing,89283.0
128.008137941,128,7,PLAY,StillPlaying,791182.0
129.288439989,129,8,PLAY,Writing,262537.0
129.742983818,129,9,PLAY,Writing,89283.0
130.008065939,130,8,PLAY,StillPlaying,262537.0
131.538095951,131,9,PLAY,Writing,262537.0
132.008085966,132,8,PLAY,StillPlaying,791182.0
