EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0,0,INITIAL_BUFFERING,Starting,0
0,0,0,INITIAL_BUFFERING,Starting,0
0.000572919845581,0,1,INITIAL_BUFFERING,Writing,89283
0.00500106811523,0,1,PLAY,InitialBuffering-Play,0
0.00624799728394,0,0,PLAY,StillPlaying,89283
0.25891494751,0,1,PLAY,Writing,89283
0.465231895447,0,2,PLAY,Writing,89283
0.707839012146,0,3,PLAY,Writing,89283
0.955163002014,0,4,PLAY,Writing,89283
1.19419407845,1,5,PLAY,Writing,89283
1.48645186424,1,6,PLAY,Writing,89283
1.71198487282,1,7,PLAY,Writing,89283
1.9656920433,1,8,PLAY,Writing,89283
2.00737595558,2,7,PLAY,StillPlaying,89283
2.62807202339,2,8,PLAY,Writing,262537
3.18377494812,3,9,PLAY,Writing,262537
3.80519890785,3,10,PLAY,Writing,262537
4.00748801231,4,9,PLAY,StillPlaying,89283
4.37102794647,4,10,PLAY,Writing,262537
5.11349892616,5,11,PLAY,Writing,262537
5.84644293785,5,12,PLAY,Writing,262537
6.00743889809,6,11,PLAY,StillPlaying,89283
6.62821102142,6,12,PLAY,Writing,262537
7.40769386292,7,13,PLAY,Writing,262537
8.00785207748,8,12,PLAY,StillPlaying,89283
8.12634205818,8,13,PLAY,Writing,262537
8.85174393654,8,14,PLAY,Writing,262537
9.634567976,9,15,PLAY,Writing,262537
10.0074739456,10,14,PLAY,StillPlaying,89283
10.4144759178,10,15,PLAY,Writing,262537
11.1943790913,11,16,PLAY,Writing,262537
11.9161400795,11,17,PLAY,Writing,262537
12.0077688694,12,16,PLAY,StillPlaying,89283
12.6879479885,12,17,PLAY,Writing,262537
13.4698898792,13,18,PLAY,Writing,262537
14.0078339577,14,17,PLAY,StillPlaying,89283
14.1835529804,14,18,PLAY,Writing,262537
14.9543678761,14,19,PLAY,Writing,262537
15.7384209633,15,20,PLAY,Writing,262537
16.0079159737,16,19,PLAY,StillPlaying,89283
18.0075309277,18,18,PLAY,StillPlaying,262537
18.9093630314,18,19,PLAY,Writing,791182
19.5403010845,19,20,PLAY,Writing,262537
20.00750494,20,19,PLAY,StillPlaying,262537
21.9547040462,21,20,PLAY,Writing,791182
22.0074999332,22,19,PLAY,StillPlaying,262537
23.6773779392,23,20,PLAY,Writing,791182
24.0074598789,24,19,PLAY,StillPlaying,262537
26.1919260025,26,18,PLAY,StillPlaying,262537
26.815103054,26,19,PLAY,Writing,791182
27.4428739548,27,20,PLAY,Writing,262537
28.0074210167,28,19,PLAY,StillPlaying,262537
30.0079100132,30,18,PLAY,StillPlaying,262537
31.0571200848,31,19,PLAY,Writing,791182
31.7760779858,31,20,PLAY,Writing,262537
32.0077679157,32,19,PLAY,StillPlaying,262537
34.0074799061,34,18,PLAY,StillPlaying,262537
34.5830659866,34,19,PLAY,Writing,791182
35.1721870899,35,20,PLAY,Writing,262537
36.0074529648,36,19,PLAY,StillPlaying,262537
38.0075640678,38,18,PLAY,StillPlaying,262537
38.6903309822,38,19,PLAY,Writing,791182
39.413697958,39,20,PLAY,Writing,262537
40.0078599453,40,19,PLAY,StillPlaying,262537
42.0079259872,42,18,PLAY,StillPlaying,262537
43.4057619572,43,19,PLAY,Writing,791182
44.0074360371,44,18,PLAY,StillPlaying,262537
44.9578459263,44,19,PLAY,Writing,262537
46.0074350834,46,18,PLAY,StillPlaying,262537
46.0468089581,46,19,PLAY,Writing,262537
46.6122090816,46,20,PLAY,Writing,262537
48.0078918934,48,19,PLAY,StillPlaying,262537
50.0075230598,50,18,PLAY,StillPlaying,262537
50.1172719002,50,19,PLAY,Writing,791182
50.6666538715,50,20,PLAY,Writing,262537
52.0074989796,52,19,PLAY,StillPlaying,262537
53.5429470539,53,20,PLAY,Writing,791182
54.0073778629,54,19,PLAY,StillPlaying,262537
55.220220089,55,20,PLAY,Writing,791182
56.0074169636,56,19,PLAY,StillPlaying,791182
58.0078668594,58,18,PLAY,StillPlaying,262537
58.6383728981,58,19,PLAY,Writing,791182
59.3785419464,59,20,PLAY,Writing,262537
60.0074470043,60,19,PLAY,StillPlaying,791182
61.8414170742,61,20,PLAY,Writing,791182
62.007390976,62,19,PLAY,StillPlaying,791182
63.6759560108,63,20,PLAY,Writing,791182
64.007390976,64,19,PLAY,StillPlaying,791182
66.0078060627,66,18,PLAY,StillPlaying,262537
67.1120860577,67,19,PLAY,Writing,791182
67.8057699203,67,20,PLAY,Writing,262537
68.0076780319,68,19,PLAY,StillPlaying,791182
70.0074720383,70,18,PLAY,StillPlaying,262537
71.0704479218,71,19,PLAY,Writing,791182
71.7349600792,71,20,PLAY,Writing,262537
72.0073919296,72,19,PLAY,StillPlaying,791182
74.0075569153,74,18,PLAY,StillPlaying,262537
74.7160339355,74,19,PLAY,Writing,791182
75.4873809814,75,20,PLAY,Writing,262537
76.0074000359,76,19,PLAY,StillPlaying,791182
78.0074830055,78,18,PLAY,StillPlaying,262537
78.5602459908,78,19,PLAY,Writing,791182
79.3607759476,79,20,PLAY,Writing,262537
80.0074560642,80,19,PLAY,StillPlaying,791182
82.0078969002,82,18,PLAY,StillPlaying,262537
82.8121058941,82,19,PLAY,Writing,791182
83.5058028698,83,20,PLAY,Writing,262537
84.00750494,84,19,PLAY,StillPlaying,262537
86.0078969002,86,18,PLAY,StillPlaying,262537
87.0285410881,87,19,PLAY,Writing,791182
87.7261300087,87,20,PLAY,Writing,262537
88.0074448586,88,19,PLAY,StillPlaying,791182
89.8167819977,89,20,PLAY,Writing,791182
90.0077679157,90,19,PLAY,StillPlaying,262537
91.9506258965,91,20,PLAY,Writing,791182
92.0073940754,92,19,PLAY,StillPlaying,791182
94.0075149536,94,18,PLAY,StillPlaying,791182
94.2400529385,94,19,PLAY,Writing,791182
94.9564628601,94,20,PLAY,Writing,262537
96.0074989796,96,19,PLAY,StillPlaying,791182
97.9999740124,97,20,PLAY,Writing,791182
98.0074429512,98,19,PLAY,StillPlaying,262537
100.007545948,100,18,PLAY,StillPlaying,791182
101.134250879,101,19,PLAY,Writing,791182
101.903136015,101,20,PLAY,Writing,262537
102.007453918,102,19,PLAY,StillPlaying,791182
104.00761199,104,18,PLAY,StillPlaying,791182
104.189445019,104,19,PLAY,Writing,791182
104.941732883,104,20,PLAY,Writing,262537
106.007947922,106,19,PLAY,StillPlaying,262537
107.106436968,107,20,PLAY,Writing,791182
108.007840872,108,19,PLAY,StillPlaying,791182
109.700139999,109,20,PLAY,Writing,791182
110.00741291,110,19,PLAY,StillPlaying,262537
111.527548075,111,20,PLAY,Writing,791182
112.007467985,112,19,PLAY,StillPlaying,791182
114.007498026,114,18,PLAY,StillPlaying,262537
114.634178877,114,19,PLAY,Writing,791182
115.390866041,115,20,PLAY,Writing,262537
116.007869959,116,19,PLAY,StillPlaying,791182
118.007883072,118,18,PLAY,StillPlaying,262537
118.504868984,118,19,PLAY,Writing,791182
119.114796877,119,20,PLAY,Writing,262537
120.007435083,120,19,PLAY,StillPlaying,791182
122.00750494,122,18,PLAY,StillPlaying,262537
122.408227921,122,19,PLAY,Writing,791182
123.098432064,123,20,PLAY,Writing,262537
124.007479906,124,19,PLAY,StillPlaying,791182
126.007552862,126,18,PLAY,StillPlaying,262537
126.125366926,126,19,PLAY,Writing,791182
126.878268003,126,20,PLAY,Writing,262537
128.007610083,128,19,PLAY,StillPlaying,791182
129.7278409,129,20,PLAY,Writing,791182
130.007461071,130,19,PLAY,StillPlaying,791182
132.007502079,132,18,PLAY,StillPlaying,791182
132.193264008,132,19,PLAY,Writing,791182
133.395605087,133,20,PLAY,Writing,262537
