EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0,0,INITIAL_BUFFERING,Starting,0
0,0,0,INITIAL_BUFFERING,Starting,0
0.000540971755981,0,1,INITIAL_BUFFERING,Writing,89283
0.00459909439087,0,1,PLAY,InitialBuffering-Play,0
0.00601100921631,0,0,PLAY,StillPlaying,89283
0.343406915665,0,1,PLAY,Writing,89283
0.618673086166,0,2,PLAY,Writing,89283
0.923125982285,0,3,PLAY,Writing,89283
1.24836993217,1,4,PLAY,Writing,89283
1.61047697067,1,5,PLAY,Writing,89283
2.00735712051,2,4,PLAY,StillPlaying,89283
2.64221596718,2,5,PLAY,Writing,262537
2.95907092094,2,6,PLAY,Writing,89283
3.94593811035,3,7,PLAY,Writing,262537
4.00731801987,4,6,PLAY,StillPlaying,89283
4.83363103867,4,7,PLAY,Writing,262537
5.57621312141,5,8,PLAY,Writing,262537
6.00697588921,6,7,PLAY,StillPlaying,89283
6.40536499023,6,8,PLAY,Writing,262537
7.15919399261,7,9,PLAY,Writing,262537
8.00738191605,8,8,PLAY,StillPlaying,89283
8.14859294891,8,9,PLAY,Writing,262537
9.14602398872,9,10,PLAY,Writing,262537
10.0250070095,10,9,PLAY,StillPlaying,89283
10.1870839596,10,10,PLAY,Writing,262537
11.2284479141,11,11,PLAY,Writing,262537
12.0073840618,12,10,PLAY,StillPlaying,262537
14.0074489117,14,9,PLAY,StillPlaying,89283
14.2633430958,14,10,PLAY,Writing,791182
15.2229878902,15,11,PLAY,Writing,262537
16.0070021152,16,10,PLAY,StillPlaying,262537
18.0070769787,18,9,PLAY,StillPlaying,262537
18.2046329975,18,10,PLAY,Writing,791182
19.2315840721,19,11,PLAY,Writing,262537
20.0611240864,20,10,PLAY,StillPlaying,262537
20.2710559368,20,11,PLAY,Writing,262537
21.2738800049,21,12,PLAY,Writing,262537
22.0070750713,22,11,PLAY,StillPlaying,262537
24.0074989796,24,10,PLAY,StillPlaying,262537
26.0074419975,26,9,PLAY,StillPlaying,262537
28.0070419312,28,8,PLAY,StillPlaying,262537
30.0070400238,30,7,PLAY,StillPlaying,262537
32.0074679852,32,6,PLAY,StillPlaying,262537
34.0074360371,34,5,PLAY,StillPlaying,791182
36.0074501038,36,4,PLAY,StillPlaying,262537
38.0070769787,38,3,PLAY,StillPlaying,791182
40.0077309608,40,2,PLAY,StillPlaying,262537
42.0074589252,42,1,PLAY,StillPlaying,262537
42.161648035,42,2,PLAY,Writing,4219897
44.0074911118,44,1,PLAY,StillPlaying,262537
46.0148041248,46,0,PLAY,StillPlaying,4219897
48.0080718994,48,0,BUFFERING,Play-Buffering,0
52.4388051033,48,1,BUFFERING,Writing,89283
52.4434900284,48,1,PLAY,Buffering-Play,0
52.4448349476,48,0,PLAY,StillPlaying,89283
54.446185112,50,0,BUFFERING,Play-Buffering,0
62.1147520542,50,1,BUFFERING,Writing,89283
62.1192080975,50,1,PLAY,Buffering-Play,0
62.1205530167,50,0,PLAY,StillPlaying,89283
62.4644479752,50,1,PLAY,Writing,89283
62.6775479317,50,2,PLAY,Writing,89283
63.1190578938,50,3,PLAY,Writing,89283
63.3972570896,51,4,PLAY,Writing,89283
63.7145419121,51,5,PLAY,Writing,89283
64.0255849361,51,6,PLAY,Writing,89283
64.1213459969,52,5,PLAY,StillPlaying,89283
64.9137480259,52,6,PLAY,Writing,262537
65.7646329403,53,7,PLAY,Writing,262537
66.1211950779,54,6,PLAY,StillPlaying,89283
66.759100914,54,7,PLAY,Writing,262537
67.7448339462,55,8,PLAY,Writing,262537
68.1213629246,56,7,PLAY,StillPlaying,89283
68.4652841091,56,8,PLAY,Writing,262537
69.2702538967,57,9,PLAY,Writing,262537
70.1214160919,58,8,PLAY,StillPlaying,89283
70.2153670788,58,9,PLAY,Writing,262537
71.2166109085,59,10,PLAY,Writing,262537
72.1212611198,60,9,PLAY,StillPlaying,89283
74.1213169098,62,8,PLAY,StillPlaying,89283
74.5488541126,62,9,PLAY,Writing,791182
75.4701828957,63,10,PLAY,Writing,262537
76.1208848953,64,9,PLAY,StillPlaying,262537
76.5111749172,64,10,PLAY,Writing,262537
78.1208970547,66,9,PLAY,StillPlaying,262537
78.7574501038,66,10,PLAY,Writing,791182
79.7669129372,67,11,PLAY,Writing,262537
80.1431460381,68,10,PLAY,StillPlaying,262537
80.5085151196,68,11,PLAY,Writing,262537
81.2512369156,69,12,PLAY,Writing,262537
82.1214189529,70,11,PLAY,StillPlaying,262537
84.1214051247,72,10,PLAY,StillPlaying,262537
86.1208570004,74,9,PLAY,StillPlaying,262537
88.1208779812,76,8,PLAY,StillPlaying,262537
90.12093997,78,7,PLAY,StillPlaying,262537
90.5808649063,78,8,PLAY,Writing,4219897
91.453856945,79,9,PLAY,Writing,262537
92.1208050251,80,8,PLAY,StillPlaying,791182
92.4914200306,80,9,PLAY,Writing,262537
93.1893689632,81,10,PLAY,Writing,262537
94.1208629608,82,9,PLAY,StillPlaying,262537
95.5995650291,83,10,PLAY,Writing,791182
96.1207969189,84,9,PLAY,StillPlaying,262537
96.5079250336,84,10,PLAY,Writing,262537
97.7948679924,85,11,PLAY,Writing,262537
98.1208040714,86,10,PLAY,StillPlaying,791182
100.12093401,88,9,PLAY,StillPlaying,262537
102.120944023,90,8,PLAY,StillPlaying,262537
104.12135911,92,7,PLAY,StillPlaying,262537
106.121301889,94,6,PLAY,StillPlaying,4219897
106.678184032,94,7,PLAY,Writing,262537
107.029644966,94,8,PLAY,Writing,89283
107.394520044,95,9,PLAY,Writing,89283
107.748166084,95,10,PLAY,Writing,89283
107.956984997,95,11,PLAY,Writing,89283
108.121200085,96,10,PLAY,StillPlaying,262537
108.387160063,96,11,PLAY,Writing,89283
108.748519897,96,12,PLAY,Writing,89283
110.120907068,98,11,PLAY,StillPlaying,262537
112.121369123,100,10,PLAY,StillPlaying,262537
114.120968103,102,9,PLAY,StillPlaying,791182
116.121337891,104,8,PLAY,StillPlaying,262537
118.161293983,106,7,PLAY,StillPlaying,262537
120.121391058,108,6,PLAY,StillPlaying,262537
122.121341944,110,5,PLAY,StillPlaying,89283
124.121299028,112,4,PLAY,StillPlaying,89283
126.121292114,114,3,PLAY,StillPlaying,89283
128.120888948,116,2,PLAY,StillPlaying,89283
130.121292114,118,1,PLAY,StillPlaying,89283
132.120991945,120,0,PLAY,StillPlaying,89283
134.121269941,122,0,BUFFERING,Play-Buffering,0
138.299189091,122,1,BUFFERING,Writing,4219897
138.304578066,122,1,PLAY,Buffering-Play,0
138.305851936,122,0,PLAY,StillPlaying,4219897
140.306792974,124,0,BUFFERING,Play-Buffering,0
144.063034058,124,1,BUFFERING,Writing,89283
144.064583063,124,1,PLAY,Buffering-Play,0
144.065136909,124,0,PLAY,StillPlaying,89283
144.385667086,124,1,PLAY,Writing,89283
144.704663038,124,2,PLAY,Writing,89283
144.974339008,124,3,PLAY,Writing,89283
145.309561014,125,4,PLAY,Writing,89283
145.631151915,125,5,PLAY,Writing,89283
145.837861061,125,6,PLAY,Writing,89283
146.065368891,126,5,PLAY,StillPlaying,89283
146.906488895,126,6,PLAY,Writing,262537
147.940710068,127,7,PLAY,Writing,262537
148.065356016,128,6,PLAY,StillPlaying,89283
148.99388504,128,7,PLAY,Writing,262537
150.029284,129,8,PLAY,Writing,262537
150.065412045,130,7,PLAY,StillPlaying,89283
150.979451895,130,8,PLAY,Writing,262537
151.860708952,131,9,PLAY,Writing,262537
152.065356016,132,8,PLAY,StillPlaying,89283
152.647417068,132,9,PLAY,Writing,262537
154.065511942,134,8,PLAY,StillPlaying,89283
155.449609995,135,9,PLAY,Writing,791182
