EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0,0,INITIAL_BUFFERING,Starting,0
0,0,0,INITIAL_BUFFERING,Starting,0
0.000596046447754,0,1,INITIAL_BUFFERING,Writing,89283
0.00510907173157,0,1,PLAY,InitialBuffering-Play,0
0.00681805610657,0,0,PLAY,StillPlaying,89283
2.00812602043,2,0,BUFFERING,Play-Buffering,0
3.35259103775,2,1,BUFFERING,Writing,262537
3.35443806648,2,1,PLAY,Buffering-Play,0
3.3550131321,2,0,PLAY,StillPlaying,262537
5.35583496094,4,0,BUFFERING,Play-Buffering,0
5.9037361145,4,1,BUFFERING,Writing,262537
5.90821003914,4,1,PLAY,Buffering-Play,0
5.90952205658,4,0,PLAY,StillPlaying,262537
7.91047406197,6,0,BUFFERING,Play-Buffering,0
9.17632508278,6,1,BUFFERING,Writing,262537
9.17816615105,6,1,PLAY,Buffering-Play,0
9.17877912521,6,0,PLAY,StillPlaying,262537
11.1794490814,8,0,BUFFERING,Play-Buffering,0
12.3933269978,8,1,BUFFERING,Writing,262537
12.3953990936,8,1,PLAY,Buffering-Play,0
12.3960101604,8,0,PLAY,StillPlaying,262537
14.3965630531,10,0,BUFFERING,Play-Buffering,0
15.6834380627,10,1,BUFFERING,Writing,262537
15.6852831841,10,1,PLAY,Buffering-Play,0
15.6858830452,10,0,PLAY,StillPlaying,262537
17.6865370274,12,0,BUFFERING,Play-Buffering,0
18.9734330177,12,1,BUFFERING,Writing,262537
18.9755060673,12,1,PLAY,Buffering-Play,0
18.9760789871,12,0,PLAY,StillPlaying,262537
20.9766540527,14,0,BUFFERING,Play-Buffering,0
21.8418130875,14,1,BUFFERING,Writing,262537
21.8442041874,14,1,PLAY,Buffering-Play,0
21.8447811604,14,0,PLAY,StillPlaying,262537
23.8453650475,16,0,BUFFERING,Play-Buffering,0
25.0364990234,16,1,BUFFERING,Writing,262537
25.0383880138,16,1,PLAY,Buffering-Play,0
25.0389840603,16,0,PLAY,StillPlaying,262537
27.0396909714,18,0,BUFFERING,Play-Buffering,0
27.8032970428,18,1,BUFFERING,Writing,262537
27.8051960468,18,1,PLAY,Buffering-Play,0
27.8057630062,18,0,PLAY,StillPlaying,262537
29.8064031601,20,0,BUFFERING,Play-Buffering,0
30.2371091843,20,1,BUFFERING,Writing,262537
30.2389950752,20,1,PLAY,Buffering-Play,0
30.2395710945,20,0,PLAY,StillPlaying,262537
32.2402040958,22,0,BUFFERING,Play-Buffering,0
32.8856890202,22,1,BUFFERING,Writing,262537
32.8880550861,22,1,PLAY,Buffering-Play,0
32.8886330128,22,0,PLAY,StillPlaying,262537
34.8891639709,24,0,BUFFERING,Play-Buffering,0
35.3602790833,24,1,BUFFERING,Writing,262537
35.3621490002,24,1,PLAY,Buffering-Play,0
35.3627831936,24,0,PLAY,StillPlaying,262537
37.3634591103,26,0,BUFFERING,Play-Buffering,0
38.5476121902,26,1,BUFFERING,Writing,262537
38.5494930744,26,1,PLAY,Buffering-Play,0
38.5500731468,26,0,PLAY,StillPlaying,262537
40.5506381989,28,0,BUFFERING,Play-Buffering,0
41.6403951645,28,1,BUFFERING,Writing,262537
41.6424160004,28,1,PLAY,Buffering-Play,0
41.6429960728,28,0,PLAY,StillPlaying,262537
43.6437520981,30,0,BUFFERING,Play-Buffering,0
44.9253270626,30,1,BUFFERING,Writing,262537
44.9273190498,30,1,PLAY,Buffering-Play,0
44.9278461933,30,0,PLAY,StillPlaying,262537
46.9283261299,32,0,BUFFERING,Play-Buffering,0
48.1475050449,32,1,BUFFERING,Writing,262537
48.1496171951,32,1,PLAY,Buffering-Play,0
48.1502239704,32,0,PLAY,StillPlaying,262537
50.1508681774,34,0,BUFFERING,Play-Buffering,0
51.2171499729,34,1,BUFFERING,Writing,262537
51.2190790176,34,1,PLAY,Buffering-Play,0
51.2196810246,34,0,PLAY,StillPlaying,262537
53.2202861309,36,0,BUFFERING,Play-Buffering,0
54.2461190224,36,1,BUFFERING,Writing,262537
54.2481870651,36,1,PLAY,Buffering-Play,0
54.2487080097,36,0,PLAY,StillPlaying,262537
56.292016983,38,0,BUFFERING,Play-Buffering,0
57.5387160778,38,1,BUFFERING,Writing,262537
57.5407681465,38,1,PLAY,Buffering-Play,0
57.5413491726,38,0,PLAY,StillPlaying,262537
59.4992611408,40,0,BUFFERING,Play-Buffering,0
60.7595801353,40,1,BUFFERING,Writing,262537
60.7614591122,40,1,PLAY,Buffering-Play,0
60.7619850636,40,0,PLAY,StillPlaying,262537
62.7625770569,42,0,BUFFERING,Play-Buffering,0
64.0392379761,42,1,BUFFERING,Writing,262537
64.041134119,42,1,PLAY,Buffering-Play,0
64.0416560173,42,0,PLAY,StillPlaying,262537
66.042222023,44,0,BUFFERING,Play-Buffering,0
67.2581729889,44,1,BUFFERING,Writing,262537
67.260406971,44,1,PLAY,Buffering-Play,0
67.2609920502,44,0,PLAY,StillPlaying,262537
69.2615981102,46,0,BUFFERING,Play-Buffering,0
70.4468801022,46,1,BUFFERING,Writing,262537
70.4488840103,46,1,PLAY,Buffering-Play,0
70.4494700432,46,0,PLAY,StillPlaying,262537
72.4501190186,48,0,BUFFERING,Play-Buffering,0
73.7362341881,48,1,BUFFERING,Writing,262537
73.7382099628,48,1,PLAY,Buffering-Play,0
73.7388260365,48,0,PLAY,StillPlaying,262537
75.7394230366,50,0,BUFFERING,Play-Buffering,0
76.9079291821,50,1,BUFFERING,Writing,262537
76.9098780155,50,1,PLAY,Buffering-Play,0
76.9104230404,50,0,PLAY,StillPlaying,262537
78.9109961987,52,0,BUFFERING,Play-Buffering,0
79.9949390888,52,1,BUFFERING,Writing,262537
79.99685812,52,1,PLAY,Buffering-Play,0
79.9973800182,52,0,PLAY,StillPlaying,262537
81.9979560375,54,0,BUFFERING,Play-Buffering,0
83.2933120728,54,1,BUFFERING,Writing,262537
83.2955169678,54,1,PLAY,Buffering-Play,0
83.2961239815,54,0,PLAY,StillPlaying,262537
85.2967290878,56,0,BUFFERING,Play-Buffering,0
86.4989440441,56,1,BUFFERING,Writing,262537
86.5010490417,56,1,PLAY,Buffering-Play,0
86.5016431808,56,0,PLAY,StillPlaying,262537
88.502259016,58,0,BUFFERING,Play-Buffering,0
88.88580513,58,1,BUFFERING,Writing,262537
88.8882269859,58,1,PLAY,Buffering-Play,0
88.8888030052,58,0,PLAY,StillPlaying,262537
90.8893921375,60,0,BUFFERING,Play-Buffering,0
91.1225850582,60,1,BUFFERING,Writing,262537
91.1245920658,60,1,PLAY,Buffering-Play,0
91.1251900196,60,0,PLAY,StillPlaying,262537
93.1258189678,62,0,BUFFERING,Play-Buffering,0
93.7138471603,62,1,BUFFERING,Writing,262537
93.7163050175,62,1,PLAY,Buffering-Play,0
93.7169001102,62,0,PLAY,StillPlaying,262537
95.7174921036,64,0,BUFFERING,Play-Buffering,0
96.6307439804,64,1,BUFFERING,Writing,262537
96.6326591969,64,1,PLAY,Buffering-Play,0
96.6332521439,64,0,PLAY,StillPlaying,262537
98.6338939667,66,0,BUFFERING,Play-Buffering,0
99.22422719,66,1,BUFFERING,Writing,262537
99.2262091637,66,1,PLAY,Buffering-Play,0
99.2268240452,66,0,PLAY,StillPlaying,262537
101.227396011,68,0,BUFFERING,Play-Buffering,0
102.370055199,68,1,BUFFERING,Writing,262537
102.376617193,68,1,PLAY,Buffering-Play,0
102.377822161,68,0,PLAY,StillPlaying,262537
104.378800154,70,0,BUFFERING,Play-Buffering,0
105.482062101,70,1,BUFFERING,Writing,262537
105.484326124,70,1,PLAY,Buffering-Play,0
105.484912157,70,0,PLAY,StillPlaying,262537
