EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0,0,INITIAL_BUFFERING,Starting,0
0,0,0,INITIAL_BUFFERING,Starting,0
0.000570058822632,0,1,INITIAL_BUFFERING,Writing,89283
0.00545001029968,0,1,PLAY,InitialBuffering-Play,0
0.00699400901794,0,0,PLAY,StillPlaying,89283
1.22408604622,1,1,PLAY,Writing,89283
2.00799202919,2,0,PLAY,StillPlaying,89283
3.95764803886,3,1,PLAY,Writing,262537
4.00799918175,4,0,PLAY,StillPlaying,262537
6.00904202461,6,0,BUFFERING,Play-Buffering,0
7.22682309151,6,1,BUFFERING,Writing,262537
7.22868204117,6,1,PLAY,Buffering-Play,0
7.22929215431,6,0,PLAY,StillPlaying,262537
9.2294549942,8,0,BUFFERING,Play-Buffering,0
10.5155241489,8,1,BUFFERING,Writing,262537
10.5173990726,8,1,PLAY,Buffering-Play,0
10.5179970264,8,0,PLAY,StillPlaying,262537
12.5186550617,10,0,BUFFERING,Play-Buffering,0
13.7416992188,10,1,BUFFERING,Writing,262537
13.7436220646,10,1,PLAY,Buffering-Play,0
13.744218111,10,0,PLAY,StillPlaying,262537
15.7448151112,12,0,BUFFERING,Play-Buffering,0
17.005603075,12,1,BUFFERING,Writing,262537
17.007417202,12,1,PLAY,Buffering-Play,0
17.0079669952,12,0,PLAY,StillPlaying,262537
19.0086359978,14,0,BUFFERING,Play-Buffering,0
19.8737971783,14,1,BUFFERING,Writing,262537
19.8756592274,14,1,PLAY,Buffering-Play,0
19.8762550354,14,0,PLAY,StillPlaying,262537
21.8769071102,16,0,BUFFERING,Play-Buffering,0
23.0701510906,16,1,BUFFERING,Writing,262537
23.0720591545,16,1,PLAY,Buffering-Play,0
23.0727031231,16,0,PLAY,StillPlaying,262537
25.0732610226,18,0,BUFFERING,Play-Buffering,0
25.8925931454,18,1,BUFFERING,Writing,262537
25.8948922157,18,1,PLAY,Buffering-Play,0
25.8954350948,18,0,PLAY,StillPlaying,262537
27.8960571289,20,0,BUFFERING,Play-Buffering,0
28.2782320976,20,1,BUFFERING,Writing,262537
28.2835710049,20,1,PLAY,Buffering-Play,0
28.2853391171,20,0,PLAY,StillPlaying,262537
30.2862131596,22,0,BUFFERING,Play-Buffering,0
30.9655761719,22,1,BUFFERING,Writing,262537
30.9674220085,22,1,PLAY,Buffering-Play,0
30.9680352211,22,0,PLAY,StillPlaying,262537
32.9687271118,24,0,BUFFERING,Play-Buffering,0
33.3482120037,24,1,BUFFERING,Writing,262537
33.3501520157,24,1,PLAY,Buffering-Play,0
33.3506970406,24,0,PLAY,StillPlaying,262537
35.3512511253,26,0,BUFFERING,Play-Buffering,0
36.5357022285,26,1,BUFFERING,Writing,262537
36.5376591682,26,1,PLAY,Buffering-Play,0
36.538244009,26,0,PLAY,StillPlaying,262537
38.5388820171,28,0,BUFFERING,Play-Buffering,0
39.6282892227,28,1,BUFFERING,Writing,262537
39.6303110123,28,1,PLAY,Buffering-Play,0
39.630947113,28,0,PLAY,StillPlaying,262537
41.6315619946,30,0,BUFFERING,Play-Buffering,0
43.379278183,30,1,BUFFERING,Writing,262537
43.3812839985,30,1,PLAY,Buffering-Play,0
43.3818831444,30,0,PLAY,StillPlaying,262537
45.3257901669,31,1,PLAY,Writing,89283
45.3821570873,32,0,PLAY,StillPlaying,89283
47.3824591637,34,0,BUFFERING,Play-Buffering,0
48.2740662098,34,1,BUFFERING,Writing,262537
48.2759380341,34,1,PLAY,Buffering-Play,0
48.2765831947,34,0,PLAY,StillPlaying,262537
50.2771570683,36,0,BUFFERING,Play-Buffering,0
50.9394161701,36,1,BUFFERING,Writing,89283
50.9413881302,36,1,PLAY,Buffering-Play,0
50.9419491291,36,0,PLAY,StillPlaying,89283
52.9425451756,38,0,BUFFERING,Play-Buffering,0
54.2995331287,38,1,BUFFERING,Writing,262537
54.3014690876,38,1,PLAY,Buffering-Play,0
54.30204916,38,0,PLAY,StillPlaying,262537
55.6136310101,39,1,PLAY,Writing,89283
56.3023691177,40,0,PLAY,StillPlaying,89283
58.3026840687,42,0,BUFFERING,Play-Buffering,0
58.8842840195,42,1,BUFFERING,Writing,262537
58.8863692284,42,1,PLAY,Buffering-Play,0
58.886893034,42,0,PLAY,StillPlaying,262537
60.8874151707,44,0,BUFFERING,Play-Buffering,0
62.1116092205,44,1,BUFFERING,Writing,262537
62.113628149,44,1,PLAY,Buffering-Play,0
62.1142132282,44,0,PLAY,StillPlaying,262537
64.1148531437,46,0,BUFFERING,Play-Buffering,0
65.4707551003,46,1,BUFFERING,Writing,262537
65.4726891518,46,1,PLAY,Buffering-Play,0
65.4733231068,46,0,PLAY,StillPlaying,262537
67.0522780418,47,1,PLAY,Writing,89283
67.473649025,48,0,PLAY,StillPlaying,89283
69.4739170074,50,0,BUFFERING,Play-Buffering,0
70.1798779964,50,1,BUFFERING,Writing,262537
70.1818561554,50,1,PLAY,Buffering-Play,0
70.1824362278,50,0,PLAY,StillPlaying,262537
72.1830770969,52,0,BUFFERING,Play-Buffering,0
73.3759741783,52,1,BUFFERING,Writing,262537
73.3779931068,52,1,PLAY,Buffering-Play,0
73.378537178,52,0,PLAY,StillPlaying,262537
75.3791980743,54,0,BUFFERING,Play-Buffering,0
78.1228971481,54,1,BUFFERING,Writing,262537
78.1249032021,54,1,PLAY,Buffering-Play,0
78.125521183,54,0,PLAY,StillPlaying,262537
80.126057148,56,0,BUFFERING,Play-Buffering,0
81.0371601582,56,1,BUFFERING,Writing,89283
81.0391590595,56,1,PLAY,Buffering-Play,0
81.0396950245,56,0,PLAY,StillPlaying,89283
83.0403151512,58,0,BUFFERING,Play-Buffering,0
83.3477981091,58,1,BUFFERING,Writing,262537
83.3498950005,58,1,PLAY,Buffering-Play,0
83.3504781723,58,0,PLAY,StillPlaying,262537
85.3510801792,60,0,BUFFERING,Play-Buffering,0
86.1774451733,60,1,BUFFERING,Writing,262537
86.1794011593,60,1,PLAY,Buffering-Play,0
86.1799871922,60,0,PLAY,StillPlaying,262537
88.1807332039,62,0,BUFFERING,Play-Buffering,0
89.5600430965,62,1,BUFFERING,Writing,262537
89.5620291233,62,1,PLAY,Buffering-Play,0
89.5626180172,62,0,PLAY,StillPlaying,262537
91.5639951229,64,0,BUFFERING,Play-Buffering,0
92.4764740467,64,1,BUFFERING,Writing,262537
92.4790081978,64,1,PLAY,Buffering-Play,0
92.4795920849,64,0,PLAY,StillPlaying,262537
94.4799261093,66,0,BUFFERING,Play-Buffering,0
95.0135149956,66,1,BUFFERING,Writing,262537
95.0153880119,66,1,PLAY,Buffering-Play,0
95.0159070492,66,0,PLAY,StillPlaying,262537
97.0164051056,68,0,BUFFERING,Play-Buffering,0
98.4237251282,68,1,BUFFERING,Writing,262537
98.4257071018,68,1,PLAY,Buffering-Play,0
98.4262781143,68,0,PLAY,StillPlaying,262537
100.426900148,70,0,BUFFERING,Play-Buffering,0
101.539373159,70,1,BUFFERING,Writing,262537
101.541496038,70,1,PLAY,Buffering-Play,0
101.542077065,70,0,PLAY,StillPlaying,262537
103.542658091,72,0,BUFFERING,Play-Buffering,0
104.616375208,72,1,BUFFERING,Writing,262537
104.617458105,72,1,PLAY,Buffering-Play,0
104.618038177,72,0,PLAY,StillPlaying,262537
106.618647099,74,0,BUFFERING,Play-Buffering,0
107.250997066,74,1,BUFFERING,Writing,262537
107.253035069,74,1,PLAY,Buffering-Play,0
107.253641129,74,0,PLAY,StillPlaying,262537
109.254313231,76,0,BUFFERING,Play-Buffering,0
111.577361107,76,1,BUFFERING,Writing,262537
111.579375029,76,1,PLAY,Buffering-Play,0
