EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0,0,INITIAL_BUFFERING,Starting,0
0,0,0,INITIAL_BUFFERING,Starting,0
0.000607967376709,0,1,INITIAL_BUFFERING,Writing,89283
0.00517296791077,0,1,PLAY,InitialBuffering-Play,0
0.00647211074829,0,0,PLAY,StillPlaying,89283
1.67422199249,1,1,PLAY,Writing,262537
2.0077650547,2,0,PLAY,StillPlaying,262537
3.03093004227,3,1,PLAY,Writing,262537
4.00745892525,4,0,PLAY,StillPlaying,262537
4.60278010368,4,1,PLAY,Writing,262537
6.00749111176,6,0,PLAY,StillPlaying,262537
6.3114221096,6,1,PLAY,Writing,262537
7.93796992302,7,2,PLAY,Writing,262537
8.00744199753,8,1,PLAY,StillPlaying,262537
9.57771611214,9,2,PLAY,Writing,262537
10.0074570179,10,1,PLAY,StillPlaying,262537
11.009540081,11,2,PLAY,Writing,262537
12.0074620247,12,1,PLAY,StillPlaying,262537
12.6301419735,12,2,PLAY,Writing,262537
14.0091040134,14,2,PLAY,Writing,262537
14.0133221149,14,2,PLAY,StillPlaying,262537
15.2268071175,15,3,PLAY,Writing,262537
16.0077719688,16,2,PLAY,StillPlaying,262537
16.5752589703,16,3,PLAY,Writing,262537
17.7977030277,17,4,PLAY,Writing,262537
18.0078029633,18,3,PLAY,StillPlaying,262537
19.3513009548,19,4,PLAY,Writing,262537
20.0075769424,20,3,PLAY,StillPlaying,262537
20.9544770718,20,4,PLAY,Writing,262537
22.0458920002,22,3,PLAY,StillPlaying,262537
23.157433033,23,4,PLAY,Writing,89283
24.0075240135,24,3,PLAY,StillPlaying,262537
24.7896249294,24,4,PLAY,Writing,262537
26.0079629421,26,3,PLAY,StillPlaying,262537
26.3005449772,26,4,PLAY,Writing,262537
27.7701969147,27,5,PLAY,Writing,262537
28.0078260899,28,4,PLAY,StillPlaying,262537
29.4105570316,29,5,PLAY,Writing,262537
30.0078380108,30,4,PLAY,StillPlaying,89283
31.07842803,31,5,PLAY,Writing,262537
32.0079090595,32,4,PLAY,StillPlaying,262537
33.1799080372,33,5,PLAY,Writing,89283
33.7942419052,33,6,PLAY,Writing,89283
34.0079069138,34,5,PLAY,StillPlaying,262537
35.3750760555,35,6,PLAY,Writing,262537
36.0078790188,36,5,PLAY,StillPlaying,262537
36.9555881023,36,6,PLAY,Writing,262537
38.0079960823,38,5,PLAY,StillPlaying,262537
38.4565570354,38,6,PLAY,Writing,262537
40.0075349808,40,5,PLAY,StillPlaying,262537
40.1345441341,40,6,PLAY,Writing,262537
41.7187781334,41,7,PLAY,Writing,262537
42.0074341297,42,6,PLAY,StillPlaying,89283
42.5675289631,42,7,PLAY,Writing,89283
43.8058860302,43,8,PLAY,Writing,262537
44.0078780651,44,7,PLAY,StillPlaying,89283
44.9166429043,44,8,PLAY,Writing,262537
46.0075039864,46,7,PLAY,StillPlaying,262537
46.2023451328,46,8,PLAY,Writing,262537
48.02658391,48,7,PLAY,StillPlaying,262537
48.2896370888,48,8,PLAY,Writing,262537
49.6035749912,49,9,PLAY,Writing,262537
50.0074911118,50,8,PLAY,StillPlaying,262537
51.373374939,51,9,PLAY,Writing,89283
52.0074799061,52,8,PLAY,StillPlaying,262537
53.0602800846,53,9,PLAY,Writing,262537
54.0075240135,54,8,PLAY,StillPlaying,262537
54.225440979,54,9,PLAY,Writing,262537
55.5352730751,55,10,PLAY,Writing,262537
56.0075039864,56,9,PLAY,StillPlaying,89283
57.0780029297,57,10,PLAY,Writing,262537
58.0277020931,58,9,PLAY,StillPlaying,262537
58.6537771225,58,10,PLAY,Writing,262537
60.0075409412,60,9,PLAY,StillPlaying,262537
60.405518055,60,10,PLAY,Writing,262537
62.0074419975,62,9,PLAY,StillPlaying,262537
62.3621809483,62,10,PLAY,Writing,262537
63.9976069927,63,11,PLAY,Writing,262537
64.0074410439,64,10,PLAY,StillPlaying,262537
65.1174731255,65,11,PLAY,Writing,262537
66.0074410439,66,10,PLAY,StillPlaying,262537
66.6812081337,66,11,PLAY,Writing,262537
67.8976659775,67,12,PLAY,Writing,262537
68.0074250698,68,11,PLAY,StillPlaying,89283
70.007956028,70,10,PLAY,StillPlaying,262537
72.0074830055,72,9,PLAY,StillPlaying,262537
73.79322505,73,10,PLAY,Writing,262537
74.0074391365,74,9,PLAY,StillPlaying,262537
74.9146969318,74,10,PLAY,Writing,262537
76.007529974,76,9,PLAY,StillPlaying,262537
76.4012339115,76,10,PLAY,Writing,262537
77.9105210304,77,11,PLAY,Writing,262537
78.0074260235,78,10,PLAY,StillPlaying,262537
79.1245861053,79,11,PLAY,Writing,262537
80.0074341297,80,10,PLAY,StillPlaying,262537
80.8099770546,80,11,PLAY,Writing,89283
82.0078480244,82,10,PLAY,StillPlaying,262537
82.2645559311,82,11,PLAY,Writing,262537
83.7886090279,83,12,PLAY,Writing,262537
84.0074341297,84,11,PLAY,StillPlaying,262537
86.0432960987,86,10,PLAY,StillPlaying,262537
88.0074720383,88,9,PLAY,StillPlaying,262537
89.2792699337,89,10,PLAY,Writing,262537
90.0078339577,90,9,PLAY,StillPlaying,262537
90.6670520306,90,10,PLAY,Writing,262537
92.0074980259,92,9,PLAY,StillPlaying,262537
92.1447269917,92,10,PLAY,Writing,262537
93.7606990337,93,11,PLAY,Writing,262537
94.0078060627,94,10,PLAY,StillPlaying,262537
95.2117760181,95,11,PLAY,Writing,262537
96.0074419975,96,10,PLAY,StillPlaying,262537
98.0075209141,98,9,PLAY,StillPlaying,262537
98.254899025,98,10,PLAY,Writing,262537
98.8930699825,98,11,PLAY,Writing,89283
100.007906914,100,10,PLAY,StillPlaying,262537
100.504585028,100,11,PLAY,Writing,262537
102.007911921,102,10,PLAY,StillPlaying,89283
102.075196028,102,11,PLAY,Writing,262537
103.533762932,103,12,PLAY,Writing,262537
104.007777929,104,11,PLAY,StillPlaying,262537
106.007952929,106,10,PLAY,StillPlaying,262537
108.007512093,108,9,PLAY,StillPlaying,262537
110.007954121,110,8,PLAY,StillPlaying,262537
110.009776115,110,9,PLAY,Writing,262537
111.467534065,111,10,PLAY,Writing,262537
112.007801056,112,9,PLAY,StillPlaying,262537
113.18234396,113,10,PLAY,Writing,262537
114.007893085,114,9,PLAY,StillPlaying,262537
114.627061129,114,10,PLAY,Writing,262537
116.007508039,116,9,PLAY,StillPlaying,262537
116.209531069,116,10,PLAY,Writing,262537
117.727626085,117,11,PLAY,Writing,89283
118.007837057,118,10,PLAY,StillPlaying,262537
119.490121126,119,11,PLAY,Writing,262537
120.007848024,120,10,PLAY,StillPlaying,89283
121.1469841,121,11,PLAY,Writing,262537
122.007887125,122,10,PLAY,StillPlaying,262537
122.718678951,122,11,PLAY,Writing,262537
124.007514,124,10,PLAY,StillPlaying,262537
124.277636051,124,11,PLAY,Writing,262537
125.647233009,125,12,PLAY,Writing,262537
126.00743103,126,11,PLAY,StillPlaying,262537
128.007941961,128,10,PLAY,StillPlaying,262537
130.007555962,130,9,PLAY,StillPlaying,262537
132.007956028,132,8,PLAY,StillPlaying,262537
133.70886302,133,9,PLAY,Writing,791182
134.007477999,134,8,PLAY,StillPlaying,262537
135.094213009,135,9,PLAY,Writing,262537
135.708490133,135,10,PLAY,Writing,89283
136.007550955,136,9,PLAY,StillPlaying,262537
137.15211606,137,10,PLAY,Writing,262537
138.00750494,138,9,PLAY,StillPlaying,89283
138.485346079,138,10,PLAY,Writing,262537
140.007970095,140,9,PLAY,StillPlaying,262537
140.593562126,140,10,PLAY,Writing,262537
142.007563114,142,9,PLAY,StillPlaying,262537
142.136124134,142,10,PLAY,Writing,262537
